proposal_key	ontology_id	status
COLOR:cream	PATO:0104031	existing_pato_reused_as_generic
COLOR:cream_rhs_5	FLOPO:0980586	new_flopo_local_sensu
COLOR:cream_saccardo_1891	FLOPO:0980587	new_flopo_local_sensu
COLOR:crimson	PATO:0104314	new_pato_generic
COLOR:crimson_wilson_h22	FLOPO:0980588	new_flopo_local_sensu
COLOR:crimson_tcca_65013	FLOPO:0980589	new_flopo_local_sensu
COLOR:scarlet	PATO:0104317	new_pato_generic
COLOR:scarlet_saccardo_1891	FLOPO:0980590	new_flopo_local_sensu
COLOR:scarlet_ridgway_1912	FLOPO:0980591	new_flopo_local_sensu
COLOR:scarlet_wilson_h19	FLOPO:0980592	new_flopo_local_sensu
COLOR:scarlet_reviewed_union		deferred_optional_closed_union
COLOR:lemon_yellow	PATO:0104321	new_pato_generic
COLOR:lemon_yellow_saccardo_1891	FLOPO:0980593	new_flopo_local_sensu
COLOR:lemon_yellow_ridgway_1912	FLOPO:0980594	new_flopo_local_sensu
COLOR:mahogany_red	PATO:0104324	new_pato_generic
COLOR:mahogany_red_ridgway_1912	FLOPO:0980595	new_flopo_local_sensu
COLOR:salmon	PATO:0104326	new_pato_generic
COLOR:salmon_saccardo_1891	FLOPO:0980596	new_flopo_local_sensu
COLOR:salmon_ridgway_1912	FLOPO:0980597	new_flopo_local_sensu
COLOR:chestnut	PATO:0104329	new_pato_generic
COLOR:chestnut_saccardo_1891	FLOPO:0980598	new_flopo_local_sensu
COLOR:chestnut_ridgway_1912	FLOPO:0980599	new_flopo_local_sensu
COLOR:chestnut_brown_ridgway_1912	FLOPO:0980600	new_flopo_local_sensu
COLOR:chocolate_brown	PATO:0104333	new_pato_generic
COLOR:chocolate_brown_saccardo_1891	FLOPO:0980601	new_flopo_local_sensu
COLOR:chocolate_ridgway_1912	FLOPO:0980602	new_flopo_local_sensu
COLOR:olive	PATO:0104336	new_pato_generic
COLOR:olive_green_saccardo_1891	FLOPO:0980603	new_flopo_local_sensu
COLOR:olive_ridgway_1912	FLOPO:0980604	new_flopo_local_sensu
COLOR:olive_green_ridgway_1912	FLOPO:0980605	new_flopo_local_sensu
COLOR:rose	PATO:0001425	existing_pato_reused_and_corrected
COLOR:rose_saccardo_1891	FLOPO:0980606	new_flopo_local_sensu
COLOR:rose_color_ridgway_1912	FLOPO:0980607	new_flopo_local_sensu
COLOR:rose_pink_ridgway_1912	FLOPO:0980608	new_flopo_local_sensu
COLOR:straw_yellow	PATO:0104343	new_pato_generic
COLOR:straw_saccardo_1891	FLOPO:0980609	new_flopo_local_sensu
COLOR:straw_yellow_ridgway_1912	FLOPO:0980610	new_flopo_local_sensu
