word	language	ontology_id	backbone_label	backbone_level	scope	synonym_type	match_kind	evidence	candidate_blocks	flags	corpus_mentions	word_sources	rationale	design_key
blanc	fr	FLOPO:0988009	white	1	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		translation	3892	corpus	French 'blanc' read as English 'white'. Literal ISCC-NBS name 'white' (level 1).	ISCCNBS:L1_011
jaune	fr	FLOPO:0988004	yellow	1	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		level_homonym|translation	3044	corpus	French 'jaune' read as English 'yellow'. Literal ISCC-NBS name 'yellow' (level 1).	ISCCNBS:L1_005
brun	fr	FLOPO:0988003	brown	1	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		level_homonym|translation	3005	botanical_terminology|corpus	French 'brun' read as English 'brown'. Literal ISCC-NBS name 'brown' (level 1).	ISCCNBS:L1_004
vert	fr	FLOPO:0988006	green	1	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		level_homonym|translation	2185	corpus	French 'vert' read as English 'green'. Literal ISCC-NBS name 'green' (level 1).	ISCCNBS:L1_008
rouge	fr	FLOPO:0988001	red	1	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		level_homonym|translation	1574	corpus	French 'rouge' read as English 'red'. Literal ISCC-NBS name 'red' (level 1).	ISCCNBS:L1_002
reddish	en	FLOPO:0988001	red	1	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440			1377	FLOPO value label|PATO related synonym|botanical_terminology|corpus	Hue-tendency adjective; ISCC-NBS uses 'reddish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'red', not a block.	ISCCNBS:L1_002
brownish	en	FLOPO:0988003	brown	1	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440			1357	FLOPO value label|PATO related synonym|botanical_terminology|corpus	Hue-tendency adjective; ISCC-NBS uses 'brownish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'brown', not a block.	ISCCNBS:L1_004
blanchâtre	fr	FLOPO:0988009	white	1	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440		translation	1285	corpus	French 'blanchâtre' read as English 'whitish'. Hue-tendency adjective; ISCC-NBS uses 'whitish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'white', not a block.	ISCCNBS:L1_011
yellowish	en	FLOPO:0988004	yellow	1	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440			1249	FLOPO value label|PATO related synonym|botanical_terminology|corpus	Hue-tendency adjective; ISCC-NBS uses 'yellowish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'yellow', not a block.	ISCCNBS:L1_005
jaunâtre	fr	FLOPO:0988004	yellow	1	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440		translation	1190	corpus	French 'jaunâtre' read as English 'yellowish'. Hue-tendency adjective; ISCC-NBS uses 'yellowish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'yellow', not a block.	ISCCNBS:L1_005
noir	fr	FLOPO:0988011	black	1	EXACT	botanical_colour_name	translation	EVID:NIST_SP440		translation	1136	corpus	French 'noir' read as English 'black'. Literal ISCC-NBS name 'black' (level 1).	ISCCNBS:L1_013
brunâtre	fr	FLOPO:0988003	brown	1	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440		translation	1018	corpus	French 'brunâtre' read as English 'brownish'. Hue-tendency adjective; ISCC-NBS uses 'brownish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'brown', not a block.	ISCCNBS:L1_004
cream	en	FLOPO:0988019	yellow (ISCC-NBS level 2)	2	NARROW	botanical_colour_name	vernacular	EVID:NIST_SP440	89	no_botanical_source_tier_general|single_source_lifted_to_level2	986	PATO label|botanical_terminology|corpus	Documented senses fall in ISCC-NBS block(s) 89; lowest covering backbone class is level 2 'yellow'. PDF p.140 Sense tier used: general (1 sense(s)); all sources give blocks 89 90 92. Only one source places the word in a single block, so it is attached to that block's level-2 class rather than to the block itself.	ISCCNBS:L2_010
purplish	en	FLOPO:0988008	purple	1	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440			947	FLOPO value label|PATO related synonym|botanical_terminology|corpus	Hue-tendency adjective; ISCC-NBS uses 'purplish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'purple', not a block.	ISCCNBS:L1_010
rougeâtre	fr	FLOPO:0988001	red	1	RELATED	botanical_colour_name	ish_tendency	EVID:NIST_SP440		translation	913	corpus	French 'rougeâtre' read as English 'reddish'. Hue-tendency adjective; ISCC-NBS uses 'reddish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'red', not a block.	ISCCNBS:L1_002
ferruginous	en	FLOPO:0988002	orange	1	RELATED	botanical_colour_name	vernacular	EVID:NIST_SP440	37 38 43 55	crosses_level1	892	corpus	Documented senses span ISCC-NBS block(s) 37 38 43 55 across level-1 categories brown, orange; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. line number approximate (entry not cleanly matched in layout OCR); PDF p.143 Sense tier used: botanical (2 sense(s)); all sources give blocks 37 38 43 55.	ISCCNBS:L1_003
