term_id	surface_form	normalized_form	language	semantic_role	category	organ_context	definition	source_id	source_record_id	source_version	source_url	license	translation_group	target_id	target_label	target_namespace	mapping_relation	mapping_confidence	mapping_method	review_status	curator_orcid	mapping_date	component_ids	logical_operator	attribute_id	candidate_ids	candidate_labels	candidate_scores	corpus_frequency	evidence	notes
BTERM:botanical_attributes:0009db441dddb5	Dotted	dotted	en	quality	Distribution of Colors (Variegation)			botanical_attributes	row-1039:0	2014-03-19		not recorded		PATO_0001512	punctate	PATO	skos:relatedMatch	0.85	ontology_scoped_synonym_proposal	proposed						PATO_0001512	punctate	0.8500	2		definition_excluded_by_source_manifest
BTERM:botanical_attributes:0059124d6a4b91	Caulocarpic	caulocarpic	en	quality	Duration			botanical_attributes	row-979:0	2014-03-19		not recorded					flopo:unmapped	0.2408	hybrid_candidate_retrieval	proposed						PATO_0002350|PATO_0002454	cauline to|carpel-like	0.2408|0.2354	0		definition_excluded_by_source_manifest
BTERM:botanical_attributes:0065ff5ccabf8c	Variegated	variegated	en	quality	Distribution of Colors (Variegation)			botanical_attributes	row-312:0	2014-03-19		not recorded		PATO_0001533	multi-colored	PATO	skos:exactMatch	0.97	ontology_synonym_exact	auto						PATO_0001533	multi-colored	0.9700	0		definition_excluded_by_source_manifest
BTERM:botanical_attributes:01027067a6e7a3	Epipetalous	epipetalous	en	quality	Position > k. Stamen Position			botanical_attributes	row-431:0	2014-03-19		not recorded					flopo:unmapped	0.2408	hybrid_candidate_retrieval	proposed						PATO_0002519|PATO_0002340	cancellous|hispidulous	0.2408|0.2354	0		definition_excluded_by_source_manifest
BTERM:botanical_attributes:010ad0231de408	Distichous	distichous	en	quality	Arrangement > General			botanical_attributes	row-446:0	2014-03-19		not recorded		PATO_0001952	distichous	PATO	skos:exactMatch	0.99	ontology_primary_label_exact	auto						PATO_0001952	distichous	0.9900	0		definition_excluded_by_source_manifest
BTERM:botanical_attributes:01bf0ad73d3996	Fenestrate	fenestrate	en	quality	Configuration of Surface			botanical_attributes	row-747:0	2014-03-19		not recorded					flopo:unmapped	0.452	hybrid_candidate_retrieval	proposed						PATO_0002064|PATO_0000631|PATO_0000161|PATO_0000912|PATO_0001574|PATO_0001206|PATO_0002215|PATO_0000395|PATO_0002038|PATO_0002367	fenestrated|prostrate|rate|increased rate|flow rate|serrated|falciform|moderate|non-degenerate|castrated male	0.4520|0.3296|0.2956|0.2913|0.2913|0.2676|0.2676|0.2600|0.2571|0.2571	0		definition_excluded_by_source_manifest
BTERM:botanical_attributes:01dfbe805a79c4	Pubescent	pubescent	en	quality	Surface			botanical_attributes	row-817:0	2014-03-19		not recorded		PATO_0000455	pubescent	PATO	skos:exactMatch	0.99	ontology_primary_label_exact	auto						PATO_0000455	pubescent	0.9900	1		definition_excluded_by_source_manifest
BTERM:botanical_attributes:0235cfb3a3999a	Pleurorhizal	pleurorhizal	en	quality	Position > c. Cotyledon Position			botanical_attributes	row-372:1	2014-03-19		not recorded					flopo:unmapped	0.2408	hybrid_candidate_retrieval	proposed						PATO_0001364|PATO_0001187|PATO_0001188|PATO_0002336|PATO_0002107|PATO_0001356|PATO_0001869	rhizoidal|pupal|prepupal|pyramidal|peripheral|pleomorphic|pathological	0.2408|0.2257|0.2100|0.2056|0.2015|0.1978|0.1943	0		definition_excluded_by_source_manifest
BTERM:botanical_attributes:02688f7ae80e50	Equilateral	equilateral	en	quality	Symmetry			botanical_attributes	row-1007:0	2014-03-19		not recorded					flopo:unmapped	0.5616	hybrid_candidate_retrieval	proposed						PATO_0002306|PATO_0000618|PATO_0000634|PATO_0001193|PATO_0002035|PATO_0001649|PATO_0002152|PATO_0000626|PATO_0002171|PATO_0001324	equilateral triangular|bilateral|unilateral|lateral to|ipsilateral to|curved lateral|splayed lateral|lateralized|split bilaterally|bilateral symmetry	0.5616|0.3933|0.3816|0.3800|0.3708|0.3124|0.3053|0.2692|0.2650|0.2600	0		definition_excluded_by_source_manifest
BTERM:botanical_attributes:029522d4f7a0c0	Heterandrous	heterandrous	en	quality	Size			botanical_attributes	row-617:0	2014-03-19		not recorded					flopo:unmapped	0.2692	hybrid_candidate_retrieval	proposed						PATO_0002352|PATO_0000982|PATO_0000984|PATO_0002128|PATO_0002372|PATO_0001441|PATO_0001331|PATO_0000692|PATO_0002011|PATO_0001465	herbaceous|permeable|porous|serous|grand multi[arous|heterophilic|odorous|heterochronic|neoplastic|monstrous	0.2692|0.2600|0.2600|0.2600|0.2600|0.2571|0.2530|0.2517|0.2467|0.2408	0		definition_excluded_by_source_manifest
BTERM:botanical_attributes:02db348b26289d	Binate	binate	en	quality	Number			botanical_attributes	row-558:0	2014-03-19		not recorded					flopo:unmapped	0.364	hybrid_candidate_retrieval	proposed						PATO_0001406|PATO_0002215|PATO_0001357|PATO_0001964|PATO_0001965|PATO_0002228|PATO_0001870|PATO_0002161|PATO_0002234|PATO_0001324	binucleate|falciform|pulvinate|circinate|reclinate|acuminate|crescent-shaped|bicornuate|emarginate|bilateral symmetry	0.3640|0.3444|0.3316|0.3316|0.3316|0.3316|0.3200|0.3200|0.3200|0.3071	0		definition_excluded_by_source_manifest
BTERM:botanical_attributes:02f29c389d6b33	Verrucose	verrucose	en	quality	Surface			botanical_attributes	row-94:1	2014-03-19		not recorded					flopo:unmapped	0.2467	hybrid_candidate_retrieval	proposed						PATO_0001802|PATO_0001359|PATO_0002289|PATO_0104077|PATO_0001854|PATO_0001302|PATO_0002341|PATO_0002344|PATO_0002523|PATO_0104223	loose|rugose|setose|very pale blue|vertical|vermilion|tomentose|arachnose|vertical to|very pale green	0.2467|0.2389|0.2389|0.2304|0.2257|0.2200|0.2200|0.2200|0.2100|0.1943	0		definition_excluded_by_source_manifest
BTERM:botanical_attributes:030e5ed1823890	Annual	annual	en	quality	Duration			botanical_attributes	row-239:0	2014-03-19		not recorded					flopo:unmapped	0.2467	hybrid_candidate_retrieval	proposed						PATO_0000460|PATO_0001463|PATO_0000057	abnormal|action potential|occurrence quality	0.2467|0.2015|0.1978	13		definition_excluded_by_source_manifest
BTERM:botanical_attributes:03748238465ce5	Terminal	terminal	en	quality	Position > General			botanical_attributes	row-358:1	2014-03-19		not recorded		PATO_0002476	terminal	PATO	skos:exactMatch	0.99	ontology_primary_label_exact	auto						PATO_0002476	terminal	0.9900	26		definition_excluded_by_source_manifest
BTERM:botanical_attributes:038fe9c3f288d2	Monad	monad	en	quality	Number			botanical_attributes	row-570:0	2014-03-19		not recorded					flopo:unmapped	0.2956	hybrid_candidate_retrieval	proposed						PATO_0001376|PATO_0002525|PATO_0001532|PATO_0002274|PATO_0001386|PATO_0001465|PATO_0001773|PATO_0002088|PATO_0000394|PATO_0001422	monoploid|towards|mono-colored|mottled|monosomy|monstrous|monophasic|monocystic|mild|dead	0.2956|0.2833|0.2676|0.2650|0.2553|0.2467|0.2389|0.2389|0.2354|0.2354	0		definition_excluded_by_source_manifest
BTERM:botanical_attributes:039f84f176db00	Major	major	en	quality	Size			botanical_attributes	row-637:0	2014-03-19		not recorded					flopo:unmapped	0.2354	hybrid_candidate_retrieval	proposed						PATO_0000058|PATO_0000125|PATO_0000384|PATO_0000014|PATO_0000043|PATO_0001426|PATO_0001607|PATO_0001620|PATO_0001701|PATO_0000321	odor|mass|male|color|flavor|maroon|matted|turgor|mature|magenta	0.2354|0.2354|0.2354|0.2257|0.2173|0.2173|0.2173|0.2173|0.2173|0.2100	0		definition_excluded_by_source_manifest
BTERM:botanical_attributes:03cd2b03793041	Homophytous	homophytous	en	quality	General terms			botanical_attributes	row-320:0	2014-03-19		not recorded					flopo:unmapped	0.3112	hybrid_candidate_retrieval	proposed						PATO_0001440|PATO_0002352|PATO_0001360|PATO_0002090|PATO_0002314|PATO_0002340|PATO_0001971|PATO_0001967|PATO_0002423|PATO_0001969	homophilic|herbaceous|filamentous|adenomatous|ligamentous|hispidulous|cladodromous|actinodromous|papillomatous|craspedodromous	0.3112|0.2408|0.2354|0.2354|0.2354|0.2354|0.2304|0.2257|0.2257|0.2173	0		definition_excluded_by_source_manifest
BTERM:botanical_attributes:04215ecb23f993	Echinate	echinate	en	quality	Surface			botanical_attributes	row-801:0	2014-03-19		not recorded					flopo:unmapped	0.34	hybrid_candidate_retrieval	proposed						PATO_0002234|PATO_0002215|PATO_0001357|PATO_0001964|PATO_0001965|PATO_0002228|PATO_0001870|PATO_0001324|PATO_0001889|PATO_0001319	emarginate|falciform|pulvinate|circinate|reclinate|acuminate|crescent-shaped|bilateral symmetry|scalloped|discriminate	0.3400|0.3200|0.3095|0.3095|0.3095|0.3095|0.2956|0.2853|0.2853|0.2833	0		definition_excluded_by_source_manifest
BTERM:botanical_attributes:0422880f5f6d30	Glaucescent	glaucescent	en	quality	Surface			botanical_attributes	row-71:0	2014-03-19		not recorded					flopo:unmapped	0.32	hybrid_candidate_retrieval	proposed						PATO_0000455|PATO_0001487|PATO_0001189|PATO_0002277|PATO_0001290|PATO_0001186|PATO_0104277|PATO_0001354|PATO_0001484|PATO_0001870	pubescent|senescent|adolescent|iridescent|fluorescent|prepubescent|glaucous|translucent|recent|crescent-shaped	0.3200|0.3200|0.3112|0.3112|0.3031|0.2956|0.2913|0.2692|0.2676|0.2408	0		definition_excluded_by_source_manifest
