# Colour crosswalk for the extraction pipeline (generated by tools/build_flopo_colour_backbone.py; do not edit).
# canonical_id is the colour FLOPO uses in logical axioms for source_id; rows with eq_axiom=SubClassOf generalise the source and never define an EquivalentTo class.
source_id	source_label	source_status	word_scope	backbone_id	backbone_label	canonical_id	eq_axiom
FLOPO_0980085	greenish	flopo_obsolete	RELATED	FLOPO_0988006	green	PATO_0000014	SubClassOf
FLOPO_0980086	reddish	flopo_obsolete	RELATED	FLOPO_0988001	red	PATO_0000014	SubClassOf
FLOPO_0980087	pale lilac	flopo_obsolete	RELATED	FLOPO_0988008	purple	PATO_0000014	SubClassOf
FLOPO_0980089	greyish	flopo_obsolete	RELATED	FLOPO_0988010	gray	PATO_0000014	SubClassOf
FLOPO_0980092	silvery	flopo_obsolete	RELATED	FLOPO_0988009	white	PATO_0000014	SubClassOf
FLOPO_0980094	yellowish	flopo_obsolete	RELATED	FLOPO_0988004	yellow	PATO_0000014	SubClassOf
FLOPO_0980097	pinkish	flopo_obsolete	RELATED	FLOPO_0988000	pink	PATO_0000014	SubClassOf
FLOPO_0980100	purplish	flopo_obsolete	RELATED	FLOPO_0988008	purple	PATO_0000014	SubClassOf
FLOPO_0980101	pale greenish	flopo_obsolete	RELATED	FLOPO_0988006	green	PATO_0000014	SubClassOf
FLOPO_0980104	pure white	flopo_obsolete	NARROW	FLOPO_0988009	white	FLOPO_0988009	SubClassOf
FLOPO_0980105	scarlet	flopo_obsolete	RELATED	FLOPO_0988001	red	PATO_0000014	SubClassOf
FLOPO_0980106	crimson	flopo_obsolete	NARROW	FLOPO_0988001	red	FLOPO_0988001	SubClassOf
FLOPO_0980109	bright scarlet	flopo_obsolete	RELATED	FLOPO_0988001	red	PATO_0000014	SubClassOf
FLOPO_0980110	flushed with pink	flopo_obsolete	RELATED	FLOPO_0988000	pink	PATO_0000014	SubClassOf
FLOPO_0980111	deep lilac	flopo_obsolete	RELATED	FLOPO_0988008	purple	PATO_0000014	SubClassOf
FLOPO_0980112	bluish	flopo_obsolete	RELATED	FLOPO_0988007	blue	PATO_0000014	SubClassOf
FLOPO_0980116	deep crimson	flopo_obsolete	NARROW	FLOPO_0988001	red	FLOPO_0988001	SubClassOf
FLOPO_0980117	pale cream	flopo_obsolete	NARROW	FLOPO_0988019	yellow (ISCC-NBS level 2)	FLOPO_0988019	SubClassOf
FLOPO_0980119	pale scarlet	flopo_obsolete	RELATED	FLOPO_0988001	red	PATO_0000014	SubClassOf
FLOPO_0980127	blackish	flopo_obsolete	RELATED	FLOPO_0988011	black	PATO_0000014	SubClassOf
FLOPO_0980128	deep magenta	flopo_obsolete	RELATED	FLOPO_0988001	red	PATO_0000014	SubClassOf
FLOPO_0980130	brownish	flopo_obsolete	RELATED	FLOPO_0988003	brown	PATO_0000014	SubClassOf
FLOPO_0980132	pale pinkish	flopo_obsolete	RELATED	FLOPO_0988000	pink	PATO_0000014	SubClassOf
FLOPO_0980153	light scarlet	flopo_obsolete	RELATED	FLOPO_0988001	red	PATO_0000014	SubClassOf
FLOPO_0980154	mahogany-red	flopo_obsolete	NARROW	PATO_0001287	reddish brown	PATO_0001287	SubClassOf
FLOPO_0980159	lemon-yellow	flopo_obsolete	NARROW	FLOPO_0988004	yellow	FLOPO_0988004	SubClassOf
FLOPO_0980167	apricot-yellow	flopo_obsolete	NARROW	FLOPO_0988004	yellow	FLOPO_0988004	SubClassOf
FLOPO_0980174	golden	flopo_obsolete	RELATED	FLOPO_0988004	yellow	PATO_0000014	SubClassOf
FLOPO_0980185	golden-yellow	flopo_obsolete	RELATED	FLOPO_0988004	yellow	PATO_0000014	SubClassOf
FLOPO_0980189	slightly blue-green	flopo_obsolete	NARROW	PATO_0104020	bluish green	PATO_0104020	SubClassOf
FLOPO_0980201	pale yellowish	flopo_obsolete	RELATED	FLOPO_0988004	yellow	PATO_0000014	SubClassOf
FLOPO_0980202	very red	flopo_obsolete	NARROW	FLOPO_0988013	red (ISCC-NBS level 2)	FLOPO_0988013	SubClassOf
FLOPO_0980204	brilliant deep blue	flopo_obsolete	NARROW	PATO_0104064	deep blue	PATO_0104064	SubClassOf
FLOPO_0980211	bright dark green	flopo_obsolete	NARROW	PATO_0001249	dark green	PATO_0001249	SubClassOf
FLOPO_0980213	reddish line	flopo_obsolete	RELATED	FLOPO_0988001	red	PATO_0000014	SubClassOf
FLOPO_0980215	lilac flushed	flopo_obsolete	RELATED	FLOPO_0988008	purple	PATO_0000014	SubClassOf
FLOPO_0980217	pink (occasionally flushed)	flopo_obsolete	RELATED	FLOPO_0988000	pink	PATO_0000014	SubClassOf
