flopo_iri	label
http://purl.obolibrary.org/obo/FLOPO_0012530	androecium acute
http://purl.obolibrary.org/obo/FLOPO_0018417	androecium arrested
http://purl.obolibrary.org/obo/FLOPO_0010413	androecium duration
http://purl.obolibrary.org/obo/FLOPO_0019865	androecium female
http://purl.obolibrary.org/obo/FLOPO_0012537	androecium hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0017794	androecium male
http://purl.obolibrary.org/obo/FLOPO_0018418	androecium offset quality
http://purl.obolibrary.org/obo/FLOPO_0012538	androecium phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0010412	androecium subacute
http://purl.obolibrary.org/obo/FLOPO_0001657	androecium up
http://purl.obolibrary.org/obo/FLOPO_0003307	anther acute
http://purl.obolibrary.org/obo/FLOPO_0011783	anther continuous
http://purl.obolibrary.org/obo/FLOPO_0020361	anther down
http://purl.obolibrary.org/obo/FLOPO_0003308	anther duration
http://purl.obolibrary.org/obo/FLOPO_0019955	anther female
http://purl.obolibrary.org/obo/FLOPO_0006239	anther hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0006507	anther male
http://purl.obolibrary.org/obo/FLOPO_0011784	anther occurrence
http://purl.obolibrary.org/obo/FLOPO_0009174	anther onset quality
http://purl.obolibrary.org/obo/FLOPO_0006240	anther phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0009173	anther premature
http://purl.obolibrary.org/obo/FLOPO_0011057	anther subacute
http://purl.obolibrary.org/obo/FLOPO_0017352	anther theca onset quality
http://purl.obolibrary.org/obo/FLOPO_0017351	anther theca premature
http://purl.obolibrary.org/obo/FLOPO_0003930	anther up
http://purl.obolibrary.org/obo/FLOPO_0013810	apical hook female
http://purl.obolibrary.org/obo/FLOPO_0015063	apical hook hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0020450	apical hook male
http://purl.obolibrary.org/obo/FLOPO_0003982	apical hook onset quality
http://purl.obolibrary.org/obo/FLOPO_0013811	apical hook phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0003981	apical hook premature
http://purl.obolibrary.org/obo/FLOPO_0009369	aril up
http://purl.obolibrary.org/obo/FLOPO_0009179	awn acute
http://purl.obolibrary.org/obo/FLOPO_0023514	awn continuous
http://purl.obolibrary.org/obo/FLOPO_0023281	awn down
http://purl.obolibrary.org/obo/FLOPO_0009180	awn duration
http://purl.obolibrary.org/obo/FLOPO_0023231	awn hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0023515	awn occurrence
http://purl.obolibrary.org/obo/FLOPO_0023232	awn phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0006421	awn up
http://purl.obolibrary.org/obo/FLOPO_0013551	axil acute
http://purl.obolibrary.org/obo/FLOPO_0017470	axil arrested
http://purl.obolibrary.org/obo/FLOPO_0022619	axil down
http://purl.obolibrary.org/obo/FLOPO_0013552	axil duration
http://purl.obolibrary.org/obo/FLOPO_0008465	axil female
http://purl.obolibrary.org/obo/FLOPO_0008035	axil hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0005745	axil male
http://purl.obolibrary.org/obo/FLOPO_0017471	axil offset quality
http://purl.obolibrary.org/obo/FLOPO_0015384	axil onset quality
http://purl.obolibrary.org/obo/FLOPO_0005746	axil phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0015383	axil premature
http://purl.obolibrary.org/obo/FLOPO_0004664	axil up
http://purl.obolibrary.org/obo/FLOPO_0020931	axillary bud meristem arrested
http://purl.obolibrary.org/obo/FLOPO_0015028	axillary bud meristem female
http://purl.obolibrary.org/obo/FLOPO_0009075	axillary bud meristem hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0005171	axillary bud meristem male
http://purl.obolibrary.org/obo/FLOPO_0020932	axillary bud meristem offset quality
http://purl.obolibrary.org/obo/FLOPO_0021789	axillary bud meristem onset quality
http://purl.obolibrary.org/obo/FLOPO_0005172	axillary bud meristem phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0021788	axillary bud meristem premature
http://purl.obolibrary.org/obo/FLOPO_0014770	axillary bud up
http://purl.obolibrary.org/obo/FLOPO_0014863	bark area
http://purl.obolibrary.org/obo/FLOPO_0002888	bark direction
http://purl.obolibrary.org/obo/FLOPO_0005624	bark down
http://purl.obolibrary.org/obo/FLOPO_0017266	bark height
http://purl.obolibrary.org/obo/FLOPO_0022708	bark intensity
http://purl.obolibrary.org/obo/FLOPO_0022707	bark moderate intensity
http://purl.obolibrary.org/obo/FLOPO_0020649	bark onset quality
http://purl.obolibrary.org/obo/FLOPO_0020648	bark premature
http://purl.obolibrary.org/obo/FLOPO_0016481	bark right
http://purl.obolibrary.org/obo/FLOPO_0002887	bark up
http://purl.obolibrary.org/obo/FLOPO_0021624	bark variability
http://purl.obolibrary.org/obo/FLOPO_0021623	bark variant
http://purl.obolibrary.org/obo/FLOPO_0008769	bract acute
http://purl.obolibrary.org/obo/FLOPO_0008770	bract duration
http://purl.obolibrary.org/obo/FLOPO_0003799	bract female
http://purl.obolibrary.org/obo/FLOPO_0005251	bract hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0006273	bract male
http://purl.obolibrary.org/obo/FLOPO_0005744	bract onset quality
http://purl.obolibrary.org/obo/FLOPO_0003800	bract phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0005743	bract premature
http://purl.obolibrary.org/obo/FLOPO_0017983	bract subacute
http://purl.obolibrary.org/obo/FLOPO_0003845	bract up
http://purl.obolibrary.org/obo/FLOPO_0008679	bracteole acute
http://purl.obolibrary.org/obo/FLOPO_0023880	bracteole arrested
http://purl.obolibrary.org/obo/FLOPO_0008680	bracteole duration
http://purl.obolibrary.org/obo/FLOPO_0003692	bracteole female
http://purl.obolibrary.org/obo/FLOPO_0007724	bracteole hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0002410	bracteole male
http://purl.obolibrary.org/obo/FLOPO_0023881	bracteole offset quality
http://purl.obolibrary.org/obo/FLOPO_0008786	bracteole onset quality
http://purl.obolibrary.org/obo/FLOPO_0002411	bracteole phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0008785	bracteole premature
http://purl.obolibrary.org/obo/FLOPO_0012777	bracteole subacute
http://purl.obolibrary.org/obo/FLOPO_0003975	bracteole up
http://purl.obolibrary.org/obo/FLOPO_0012715	branch acute
http://purl.obolibrary.org/obo/FLOPO_0022464	branch arrested
http://purl.obolibrary.org/obo/FLOPO_0020911	branch down
http://purl.obolibrary.org/obo/FLOPO_0005837	branch duration
http://purl.obolibrary.org/obo/FLOPO_0010239	branch female
http://purl.obolibrary.org/obo/FLOPO_0021449	branch hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0007181	branch male
http://purl.obolibrary.org/obo/FLOPO_0010134	branch occurrence
http://purl.obolibrary.org/obo/FLOPO_0022465	branch offset quality
http://purl.obolibrary.org/obo/FLOPO_0003569	branch onset quality
http://purl.obolibrary.org/obo/FLOPO_0007182	branch phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0003568	branch premature
http://purl.obolibrary.org/obo/FLOPO_0005836	branch subacute
http://purl.obolibrary.org/obo/FLOPO_0010133	branch synchronous
http://purl.obolibrary.org/obo/FLOPO_0000178	branch up
http://purl.obolibrary.org/obo/FLOPO_0001876	bud acute
http://purl.obolibrary.org/obo/FLOPO_0008903	bud arrested
http://purl.obolibrary.org/obo/FLOPO_0001877	bud duration
http://purl.obolibrary.org/obo/FLOPO_0013097	bud female
http://purl.obolibrary.org/obo/FLOPO_0017347	bud hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0009151	bud male
http://purl.obolibrary.org/obo/FLOPO_0008904	bud offset quality
http://purl.obolibrary.org/obo/FLOPO_0011575	bud onset quality
http://purl.obolibrary.org/obo/FLOPO_0009152	bud phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0011574	bud premature
http://purl.obolibrary.org/obo/FLOPO_0006843	bud subacute
http://purl.obolibrary.org/obo/FLOPO_0001420	bud up
http://purl.obolibrary.org/obo/FLOPO_0005077	bulb up
http://purl.obolibrary.org/obo/FLOPO_0002252	calyx acute
http://purl.obolibrary.org/obo/FLOPO_0019380	calyx arrested
http://purl.obolibrary.org/obo/FLOPO_0009860	calyx continuous
http://purl.obolibrary.org/obo/FLOPO_0003870	calyx down
http://purl.obolibrary.org/obo/FLOPO_0002253	calyx duration
http://purl.obolibrary.org/obo/FLOPO_0001322	calyx female
http://purl.obolibrary.org/obo/FLOPO_0016133	calyx hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0003583	calyx male
http://purl.obolibrary.org/obo/FLOPO_0009861	calyx occurrence
http://purl.obolibrary.org/obo/FLOPO_0019381	calyx offset quality
http://purl.obolibrary.org/obo/FLOPO_0021733	calyx onset quality
http://purl.obolibrary.org/obo/FLOPO_0001323	calyx phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0021732	calyx premature
http://purl.obolibrary.org/obo/FLOPO_0019506	calyx rate
http://purl.obolibrary.org/obo/FLOPO_0007453	calyx subacute
http://purl.obolibrary.org/obo/FLOPO_0003295	calyx up
http://purl.obolibrary.org/obo/FLOPO_0021016	calyx variability
http://purl.obolibrary.org/obo/FLOPO_0021015	calyx variant
