proposal_key	flopo_id	label	kind	provisional_for
PATO-CAND:campanulate	FLOPO_0985000	campanulate	supporting_quality	PATO
PATO-CAND:filiform	FLOPO_0985001	filiform	supporting_quality	PATO
PATO-CAND:hastate	FLOPO_0985002	hastate	supporting_quality	PATO
PATO-CAND:reflexed	FLOPO_0985003	reflexed	supporting_quality	PATO
PATO-CAND:winged	FLOPO_0985004	winged	supporting_quality	PATO
PATO-CAND:ascending	FLOPO_0985005	ascending	supporting_quality	PATO
PATO-CAND:spreading	FLOPO_0985006	spreading	supporting_quality	PATO
PATO-CAND:lanate	FLOPO_0985007	lanate	supporting_quality	PATO
PATO-CAND:sericeous	FLOPO_0985008	sericeous	supporting_quality	PATO
PATO-CAND:entire_margin	FLOPO_0985009	entire	supporting_quality	PATO
PATO-CAND:annual_life_span	FLOPO_0985010	annual life span	supporting_quality	PATO
PATO-CAND:perennial_life_span	FLOPO_0985011	perennial life span	supporting_quality	PATO
PATO-CAND:dissected	FLOPO_0985012	dissected	supporting_quality	PATO
PATO-CAND:clasping	FLOPO_0985013	clasping	supporting_quality	PATO
PATO-CAND:mealy_surface	FLOPO_0985014	mealy	supporting_quality	PATO
PATO-CAND:plicate	FLOPO_0985015	plicate	supporting_quality	PATO
PATO-CAND:floccose_cottony	FLOPO_0985016	floccose	supporting_quality	PATO
PO-CAND:corolla_lip	FLOPO_0985017	corolla lip	supporting_entity	PO
PO-CAND:corolla_tube	FLOPO_0985018	corolla tube	supporting_entity	PO
PO-CAND:parasitic_plant_haustorium	FLOPO_0985019	parasitic plant haustorium	supporting_entity	PO
SURFACE-CAND:corona	FLOPO_0985020	floral corona	supporting_entity	PO
PO-CAND:corolline_corona	FLOPO_0985021	corolline corona	supporting_entity	PO
PO-CAND:staminal_corona	FLOPO_0985022	staminal corona	supporting_entity	PO
PO-CAND:plant_structure_apex	FLOPO_0985023	plant organ apex	supporting_entity	PO
PO-CAND:plant_structure_base	FLOPO_0985024	plant organ base	supporting_entity	PO
PO-CAND:trunk	FLOPO_0985025	trunk	supporting_entity	PO
PO-CAND:frond	FLOPO_0985026	frond	supporting_entity	PO
PO-CAND:pinna	FLOPO_0985027	pinna	supporting_entity	PO
PO-CAND:pinnule	FLOPO_0985028	pinnule	supporting_entity	PO
PO-CAND:cyathium	FLOPO_0985029	cyathium	supporting_entity	PO
PO-CAND:tree_crown	FLOPO_0985030	tree crown	supporting_entity	PO
FLOPO-CAND:climber	FLOPO_0985031	whole plant climbing phenotype	phenotype	FLOPO
FLOPO-CAND:vine	FLOPO_0985032	whole plant vine phenotype	phenotype	FLOPO
FLOPO-CAND:simple_scrambling	FLOPO_0985033	simple scrambling climbing phenotype	phenotype	FLOPO
FLOPO-CAND:twining	FLOPO_0985034	twining climbing phenotype	phenotype	FLOPO
FLOPO-CAND:leafless	FLOPO_0985035	whole plant leafless phenotype	phenotype	FLOPO
FLOPO-CAND:caespitose_growth	FLOPO_0985036	whole plant caespitose phenotype	phenotype	FLOPO
FLOPO-PATTERN:creeping_trailing_sprawling	FLOPO_0985037	ground-oriented whole-plant growth phenotype	phenotype	FLOPO
