proposal_key	flopo_id	label	kind
TOP:continuant_target_phenotype	FLOPO_0980417	plant continuant-target phenotype	phenotype
TOP:anatomical_entity_phenotype	FLOPO_0980418	plant anatomical entity phenotype	phenotype
TOP:plant_structure_phenotype	FLOPO_0980419	plant structure phenotype	phenotype
TOP:plant_anatomical_space_phenotype	FLOPO_0980420	plant anatomical space phenotype	phenotype
TOP:plant_material_aggregate_phenotype	FLOPO_0980421	plant material aggregate phenotype	phenotype
TOP:occurrent_target_phenotype	FLOPO_0980422	plant occurrent-target phenotype	phenotype
TOP:plant_process_phenotype	FLOPO_0980423	plant process phenotype	phenotype
LOCAL:trifoliolate_quality	FLOPO_0980424	trifoliolate	supporting_quality
LOCAL:bifoliolate_quality	FLOPO_0980425	bifoliolate	supporting_quality
LOCAL:bifoliolate_leaf	FLOPO_0980426	bifoliolate leaf phenotype	phenotype
LOCAL:stinging_disposition	FLOPO_0980427	stinging	supporting_quality
LOCAL:stinging_trichome	FLOPO_0980428	stinging trichome phenotype	phenotype
LOCAL:foliage_entity	FLOPO_0980429	foliage	supporting_entity
LOCAL:foliage_phenotype	FLOPO_0980430	foliage phenotype	phenotype
LOCAL:plant_latex_entity	FLOPO_0980431	plant latex	supporting_entity
