proposal_key	ontology_id	label	kind	iscc_nbs_level	iscc_nbs_number	status	canonical_key
ISCCNBS:L1_001	FLOPO:0988000	pink	backbone_class	1		new_flopo_local	ISCCNBS:L1_001
ISCCNBS:L1_002	FLOPO:0988001	red	backbone_class	1		new_flopo_local	ISCCNBS:L1_002
ISCCNBS:L1_003	FLOPO:0988002	orange	backbone_class	1		new_flopo_local	ISCCNBS:L1_003
ISCCNBS:L1_004	FLOPO:0988003	brown	backbone_class	1		new_flopo_local	ISCCNBS:L1_004
ISCCNBS:L1_005	FLOPO:0988004	yellow	backbone_class	1		new_flopo_local	ISCCNBS:L1_005
ISCCNBS:L1_006	FLOPO:0988005	olive	backbone_class	1		new_flopo_local	ISCCNBS:L1_006
ISCCNBS:L1_007	PATO:0001941	yellow green	backbone_class	1,2		existing_pato_reused	ISCCNBS:L1_007
ISCCNBS:L2_014	PATO:0001941	yellow green	backbone_class	2		merged_into_canonical	ISCCNBS:L1_007
ISCCNBS:L1_008	FLOPO:0988006	green	backbone_class	1		new_flopo_local	ISCCNBS:L1_008
ISCCNBS:L1_009	FLOPO:0988007	blue	backbone_class	1		new_flopo_local	ISCCNBS:L1_009
ISCCNBS:L1_010	FLOPO:0988008	purple	backbone_class	1		new_flopo_local	ISCCNBS:L1_010
ISCCNBS:L1_011	FLOPO:0988009	white	backbone_class	1,2,3	263	new_flopo_local	ISCCNBS:L1_011
ISCCNBS:L2_027	FLOPO:0988009	white	backbone_class	2	263	merged_into_canonical	ISCCNBS:L1_011
ISCCNBS:L3_263	FLOPO:0988009	white	backbone_class	3	263	merged_into_canonical	ISCCNBS:L1_011
ISCCNBS:L1_012	FLOPO:0988010	gray	backbone_class	1,2		new_flopo_local	ISCCNBS:L1_012
ISCCNBS:L2_028	FLOPO:0988010	gray	backbone_class	2		merged_into_canonical	ISCCNBS:L1_012
ISCCNBS:L1_013	FLOPO:0988011	black	backbone_class	1,2,3	267	new_flopo_local	ISCCNBS:L1_013
ISCCNBS:L2_029	FLOPO:0988011	black	backbone_class	2	267	merged_into_canonical	ISCCNBS:L1_013
ISCCNBS:L3_267	FLOPO:0988011	black	backbone_class	3	267	merged_into_canonical	ISCCNBS:L1_013
ISCCNBS:L2_001	FLOPO:0988012	pink (ISCC-NBS level 2)	backbone_class	2		new_flopo_local	ISCCNBS:L2_001
ISCCNBS:L2_002	FLOPO:0988013	red (ISCC-NBS level 2)	backbone_class	2		new_flopo_local	ISCCNBS:L2_002
ISCCNBS:L2_003	FLOPO:0988014	yellowish pink	backbone_class	2		new_flopo_local	ISCCNBS:L2_003
