flopo_id	label	class_kind	axiom_type	action	replacement_property	target	target_label	note
FLOPO:0980085	greenish	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988006	green	Hue-tendency adjective; ISCC-NBS uses 'greenish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'green', not a block.
FLOPO:0980086	reddish	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988001	red	Hue-tendency adjective; ISCC-NBS uses 'reddish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'red', not a block.
FLOPO:0980087	pale lilac	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988008	purple	Modifier 'pale' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'lilac'.
FLOPO:0980089	greyish	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988010	gray	Hue-tendency adjective; ISCC-NBS uses 'grayish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'gray', not a block.
FLOPO:0980092	silvery	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988009	white	Lexical equivalent of 'silver'. Documented senses fall in ISCC-NBS block(s) 263; lowest covering backbone class is level 1 'white'. Lustre is not a colour; hue component is white. Sense tier used: botanical (1 sense(s)); all sources give blocks 263.
FLOPO:0980094	yellowish	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988004	yellow	Hue-tendency adjective; ISCC-NBS uses 'yellowish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'yellow', not a block.
FLOPO:0980097	pinkish	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988000	pink	Hue-tendency adjective; ISCC-NBS uses 'pinkish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'pink', not a block.
FLOPO:0980100	purplish	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988008	purple	Hue-tendency adjective; ISCC-NBS uses 'purplish' only as a modifier inside compound names, so the bare word is RELATED to level-1 'purple', not a block.
FLOPO:0980101	pale greenish	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988006	green	Modifier 'pale' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'greenish'.
FLOPO:0980104	pure white	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988009	white	Modifier 'pure' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a NARROW synonym of the class of its head 'white'.
FLOPO:0980105	scarlet	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988001	red	Documented senses span ISCC-NBS block(s) 11 35 across level-1 categories orange, red; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. PDF p.180 Sense tier used: botanical (4 sense(s)); all sources give blocks 3 11 12 15 34 35.
FLOPO:0980106	crimson	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988001	red	Documented senses fall in ISCC-NBS block(s) 11 254; lowest covering backbone class is level 1 'red'. PDF p.140 Sense tier used: botanical (2 sense(s)); all sources give blocks 11 12 254 256.
FLOPO:0980109	bright scarlet	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988001	red	Modifier 'bright' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'scarlet'.
FLOPO:0980110	flushed with pink	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988000	pink	Label mixes the colour phrase 'pink' with pattern/position/stage wording; only the colour part is mapped. Literal ISCC-NBS name 'pink' (level 1).
FLOPO:0980111	deep lilac	single colour-name value	subclass	obsolete	oboInOwl:consider	FLOPO:0988008	purple	Modifier 'deep' is not an ISCC-NBS modifier for this head (or the phrase is not a level-3 name); the phrase is a RELATED synonym of the class of its head 'lilac'.
