flopo_id	label	definition	sources
FLOPO_0900000	inflorescence type	An inflorescence phenotype that characterizes the inflorescence by the branching pattern of its axes, the determinacy of those axes, and the manner in which its flowers are attached to them.	PO:0009049
FLOPO_0900001	inflorescence type spike	An inflorescence type phenotype in which the inflorescence is an unbranched, indeterminate axis bearing sessile flowers along its length.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=S&glossary=yes&page=nswfl#spike|PO:0009049
FLOPO_0900002	inflorescence type raceme	An inflorescence type phenotype in which the inflorescence is an unbranched, indeterminate axis bearing pedicellate flowers along its length.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=R&glossary=yes&page=nswfl#raceme|PO:0009049
FLOPO_0900003	inflorescence type umbel	An inflorescence type phenotype in which all flowers or their pedicels arise from a single point at the apex of the inflorescence axis.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=U&glossary=yes&page=nswfl#umbel|PO:0009049
FLOPO_0900004	inflorescence type panicle	An inflorescence type phenotype in which the inflorescence has a main axis with lateral branches that are themselves further branched, each axis ending in a flower or flower bud.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=P&glossary=yes&page=nswfl#panicle|PO:0009049
FLOPO_0900005	inflorescence type head	An inflorescence type phenotype in which more or less sessile flowers are densely clustered on a short, often broadened inflorescence axis.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=H&glossary=yes&page=nswfl#head|PO:0009049
FLOPO_0900006	inflorescence type cyme	An inflorescence type phenotype in which the main axis terminates in a flower and the inflorescence grows further only by lateral branches that each also terminate in a flower.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=C&glossary=yes&page=nswfl#cyme|PO:0009049
FLOPO_0900007	inflorescence type solitary	An inflorescence type phenotype in which flowers are borne singly and are not grouped with other flowers into a multi-flowered inflorescence.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=S&glossary=yes&page=nswfl#solitary|PO:0009046
FLOPO_0907000	inflorescence type fascicle	An inflorescence type phenotype in which several flowers arise in a close bundle from nearly the same point on a very short or undeveloped inflorescence axis.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=F&glossary=yes&page=nswfl#fascicled|PO:0009049
FLOPO_0900008	petal free	A petal structure phenotype in which the petals of a flower are not united with one another, each petal being attached separately to the receptacle.	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=P&glossary=yes&page=nswfl#polypetalous|https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?alpha=F&glossary=yes&page=nswfl#free|PO:0009032
