flopo_iri	flopo_num	label	signature	deprecated
http://purl.obolibrary.org/obo/FLOPO_0000000	0	flora phenotype	OTHER	0
http://purl.obolibrary.org/obo/FLOPO_0000001	1	stem phenotype	PHENO|PO_0009047	0
http://purl.obolibrary.org/obo/FLOPO_0000002	2	stem branched	EQ|PO_0009047|PATO_0000402	0
http://purl.obolibrary.org/obo/FLOPO_0000003	3	stem branchiness	EQ|PO_0009047|PATO_0002009	0
http://purl.obolibrary.org/obo/FLOPO_0000004	4	leaf phenotype	PHENO|PO_0025034	0
http://purl.obolibrary.org/obo/FLOPO_0000005	5	leaf lanceolate	EQ|PO_0025034|PATO_0001877	0
http://purl.obolibrary.org/obo/FLOPO_0000006	6	leaf sharpness	EQ|PO_0025034|PATO_0000944	0
http://purl.obolibrary.org/obo/FLOPO_0000007	7	leaf tendril phenotype	PHENO|PO_0025361	0
http://purl.obolibrary.org/obo/FLOPO_0000008	8	leaf tendril bifurcated	EQ|PO_0025361|PATO_0001784	0
http://purl.obolibrary.org/obo/FLOPO_0000009	9	leaf tendril branchiness	EQ|PO_0025361|PATO_0002009	0
http://purl.obolibrary.org/obo/FLOPO_0000010	10	bark phenotype	PHENO|PO_0004518	0
http://purl.obolibrary.org/obo/FLOPO_0000011	11	bark broken	EQ|PO_0004518|PATO_0001444	0
http://purl.obolibrary.org/obo/FLOPO_0000012	12	bark wholeness	EQ|PO_0004518|PATO_0001442	0
http://purl.obolibrary.org/obo/FLOPO_0000013	13	petal phenotype	PHENO|PO_0009032	0
http://purl.obolibrary.org/obo/FLOPO_0000014	14	petal linear	EQ|PO_0009032|PATO_0001199	0
http://purl.obolibrary.org/obo/FLOPO_0000015	15	petal shape	EQ|PO_0009032|PATO_0000052	0
http://purl.obolibrary.org/obo/FLOPO_0000016	16	shoot apex phenotype	PHENO|PO_0000037	0
http://purl.obolibrary.org/obo/FLOPO_0000017	17	shoot apex glabrous	EQ|PO_0000037|PATO_0000453	0
http://purl.obolibrary.org/obo/FLOPO_0000018	18	shoot apex pilosity	EQ|PO_0000037|PATO_0000066	0
http://purl.obolibrary.org/obo/FLOPO_0000019	19	corolla phenotype	PHENO|PO_0009059	0
http://purl.obolibrary.org/obo/FLOPO_0000020	20	corolla glabrous	EQ|PO_0009059|PATO_0000453	0
http://purl.obolibrary.org/obo/FLOPO_0000021	21	corolla pilosity	EQ|PO_0009059|PATO_0000066	0
http://purl.obolibrary.org/obo/FLOPO_0000022	22	involucre phenotype	PHENO|PO_0009100	0
http://purl.obolibrary.org/obo/FLOPO_0000023	23	involucre conspicuous	EQ|PO_0009100|PATO_0000463	0
http://purl.obolibrary.org/obo/FLOPO_0000024	24	axillary bud meristem phenotype	PHENO|PO_0000232	0
http://purl.obolibrary.org/obo/FLOPO_0000025	25	axillary bud meristem spherical	EQ|PO_0000232|PATO_0001499	0
http://purl.obolibrary.org/obo/FLOPO_0000026	26	axillary bud meristem convex 3-D shape	EQ|PO_0000232|PATO_0002007	0
http://purl.obolibrary.org/obo/FLOPO_0000027	27	testa phenotype	PHENO|PO_0020057	0
http://purl.obolibrary.org/obo/FLOPO_0000028	28	testa smooth	EQ|PO_0020057|PATO_0000701	0
http://purl.obolibrary.org/obo/FLOPO_0000029	29	testa texture	EQ|PO_0020057|PATO_0000150	0
http://purl.obolibrary.org/obo/FLOPO_0000030	30	fruit phenotype	PHENO|PO_0009001	0
http://purl.obolibrary.org/obo/FLOPO_0000031	31	fruit truncated	EQ|PO_0009001|PATO_0000936	0
http://purl.obolibrary.org/obo/FLOPO_0000032	32	fruit shape	EQ|PO_0009001|PATO_0000052	0
http://purl.obolibrary.org/obo/FLOPO_0000033	33	shoot apex hairy	EQ|PO_0000037|PATO_0000454	0
http://purl.obolibrary.org/obo/FLOPO_0000034	34	inflorescence phenotype	PHENO|PO_0009049	0
http://purl.obolibrary.org/obo/FLOPO_0000035	35	inflorescence leaf-like	EQ|PO_0009049|PATO_0002457	0
http://purl.obolibrary.org/obo/FLOPO_0000036	36	inflorescence shape	EQ|PO_0009049|PATO_0000052	0
http://purl.obolibrary.org/obo/FLOPO_0000037	37	shoot apex pinnate	EQ|PO_0000037|PATO_0000410	0
http://purl.obolibrary.org/obo/FLOPO_0000038	38	shoot apex shape	EQ|PO_0000037|PATO_0000052	0
http://purl.obolibrary.org/obo/FLOPO_0000039	39	root phenotype	PHENO|PO_0009005	0
http://purl.obolibrary.org/obo/FLOPO_0000040	40	root fleshy	EQ|PO_0009005|PATO_0002351	0
http://purl.obolibrary.org/obo/FLOPO_0000041	41	root composition	EQ|PO_0009005|PATO_0000025	0
http://purl.obolibrary.org/obo/FLOPO_0000042	42	calyx phenotype	PHENO|PO_0009060	0
http://purl.obolibrary.org/obo/FLOPO_0000043	43	calyx hairy	EQ|PO_0009060|PATO_0000454	0
http://purl.obolibrary.org/obo/FLOPO_0000044	44	calyx pilosity	EQ|PO_0009060|PATO_0000066	0
http://purl.obolibrary.org/obo/FLOPO_0000045	45	leaflet phenotype	PHENO|PO_0020049	0
http://purl.obolibrary.org/obo/FLOPO_0000046	46	leaflet symmetrical	EQ|PO_0020049|PATO_0000632	0
http://purl.obolibrary.org/obo/FLOPO_0000047	47	leaflet symmetry	EQ|PO_0020049|PATO_0000965	0
http://purl.obolibrary.org/obo/FLOPO_0000048	48	lamina phenotype	PHENO|PO_0025060	0
http://purl.obolibrary.org/obo/FLOPO_0000049	49	lamina unbranched	EQ|PO_0025060|PATO_0000414	0
http://purl.obolibrary.org/obo/FLOPO_0000050	50	lamina branchiness	EQ|PO_0025060|PATO_0002009	0
http://purl.obolibrary.org/obo/FLOPO_0000051	51	vascular leaf phenotype	PHENO|PO_0009025	0
http://purl.obolibrary.org/obo/FLOPO_0000052	52	vascular leaf increased length	EQ|PO_0009025|PATO_0000573	0
http://purl.obolibrary.org/obo/FLOPO_0000053	53	vascular leaf length	EQ|PO_0009025|PATO_0000122	0
http://purl.obolibrary.org/obo/FLOPO_0000054	54	shoot apex elliptic	EQ|PO_0000037|PATO_0000947	0
http://purl.obolibrary.org/obo/FLOPO_0000055	55	shoot apex 2-D shape	EQ|PO_0000037|PATO_0002006	0
http://purl.obolibrary.org/obo/FLOPO_0000056	56	keel phenotype	PHENO|PO_0025327	0
http://purl.obolibrary.org/obo/FLOPO_0000057	57	keel left	EQ|PO_0025327|PATO_0000366	0
http://purl.obolibrary.org/obo/FLOPO_0000058	58	keel direction	EQ|PO_0025327|PATO_0000039	0
