proposal_key	flopo_id	label	eq_signature	signature_sha256	campaign_id	item_id	consensus_signature_sha256	reviewer_ids	adjudicator_id	occurrence_count	admission_rule	curator_override
eqgap_029fe7220d4aad4714891dee	FLOPO_0980979	achene fruit red brown	EQ|PO_0030107|PATO_0001287	d2f4cb02610a760ff09792fc058bbb88d840266db70b1aaa44c6a50d5f283d18	campaign_b85f53253d0219787f3c0e40	cluster_05b6dcb2652f7cb80e328594	9d06954bed8bea458406939568e484787581319eccf2f39ba435a19aacd62b6b	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	3	two_family_exact_agreement_adversarial_no_blocker	
eqgap_05135e32ead6dec729d5fbed	FLOPO_0980980	leaf lamina yellowish green	EQ|PO_0020039|PATO_0104114	7e100cf3a288cb1f9c80c24f0e7b798d6fc80114db6858657e514dd4f8323960	campaign_b85f53253d0219787f3c0e40	cluster_dbc85f1e695349d9ceadf7fe	f7134745dc726d94b8a514d0dd9879401af39aab22559d503fd9edf5f7e72834	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	2	two_family_exact_agreement_adversarial_no_blocker	
eqgap_06740bc43c8572677afb668d	FLOPO_0980981	flower chocolate brown	EQ|PO_0009046|PATO_0104333	1b02efa4f6d325868c319a99be1948176226a28927e2b72d1d9530c43cc91982	campaign_b85f53253d0219787f3c0e40	cluster_b6c8c6da33a1ef807035d042	c7758ff7f1991aa0805f7b43f5cdec30026fb774136f1e0f9059cd7453de43ea	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_118ee0bc2cab6f91646c3089	FLOPO_0980982	seed yellow green	EQ|PO_0009010|PATO_0001941	09c386314d0b88a2d4ade15f3a700c0a642fc06c06b36b6ab3bcc70a429d0108	campaign_b85f53253d0219787f3c0e40	cluster_42a9e1ac7cdd3f7cad04d62f	76f7d6399c5fa4ad0d3200245e8003261fe169e8ac30eb5af263b64cf7d3a991	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_15ef576c431f095277b3d1b7	FLOPO_0980983	petal greyish green	EQ|PO_0009032|PATO_0104007	d87c2faae2234161759eac1c5ca26e9b5c7409eb88b7c534b9d6fca3fc0ef595	campaign_b85f53253d0219787f3c0e40	cluster_f13d86db010e7ea296fd42a4	79b810d49c54ca617fa0f8c285b2b5f1b2dc8f2e4ac849843ba9efebe968653e	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_185c0e8614fac2b467164fb9	FLOPO_0980984	fruit greenish yellow	EQ|PO_0009001|PATO_0104013	d66b116d1d546926843d33deb301cb4fa8999b727fe5dcd0bfcc598701a26725	campaign_b85f53253d0219787f3c0e40	cluster_f5e2562b64980f6f672e5b74	d2ddc15e8fdd1d2423453f0c46602dcef4323781032e1c12165ed3327f0e7062	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_191b35256cf170b05fdee478	FLOPO_0980985	petal purplish red	EQ|PO_0009032|PATO_0104311	e3708c982325c567fed7a232e04f1a358061cd702f770c9e2c955a38dba8d0a1	campaign_b85f53253d0219787f3c0e40	cluster_b738e2ab3c849587a9dad477	3509318cb0816efd5b1622f024df0138e676cd31d2705b8b8d60d8af66844395	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_19686990392aa11c515b4cfc	FLOPO_0980986	filament greenish white	EQ|PO_0009067|PATO_0104067	3d820659a8cacdcadf0637126aa6555fea3cecf2bd348c6a46bc8c4f6fde6777	campaign_b85f53253d0219787f3c0e40	cluster_ed1f639f19682d5c420861b3	52ddd6b159a289c92cf121c1d107e6d0027fd651295d9163b7293678cd85e12e	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_19ef6d920db51bf2d5899554	FLOPO_0980987	calyx greenish white	EQ|PO_0009060|PATO_0104067	6a1cf0993ceed86d4a53e6f60e762caaedec91c22575cf903f7a2c8583d15da2	campaign_b85f53253d0219787f3c0e40	cluster_e3ab6db7f7ce0c25f97984f6	f9676360a4f194cee8fa50d293c2b89f38703fbb625ebd2e98e87b6e8b88253a	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
eqgap_1a1b1d030c467c9a2a3bdd25	FLOPO_0980988	bract greenish yellow	EQ|PO_0009055|PATO_0104013	62ce182e6f8395cb4325b07688ee4274a95dd4271a83f12884f3dbd2ff82071b	campaign_b85f53253d0219787f3c0e40	cluster_e1d2744310ae0d14756a1ad6	22c5d24b72c738528a74ae5b48e207bb2f123464fa20e5c62375819206bd052e	reviewer_kimi_k3|reviewer_qwen_3_7_max	adversary_gpt_5_6_sol	1	two_family_exact_agreement_adversarial_no_blocker	
