proposal_key	flopo_id	label	signature	kind
EQ|PO_0030091|PATO_0000467	FLOPO_0989000	capsule fruit present	EQ|PO_0030091|PATO_0000467	phenotype
EQ|PO_0030100|PATO_0000467	FLOPO_0989001	legume fruit present	EQ|PO_0030100|PATO_0000467	phenotype
EQ|PO_0030115|PATO_0000467	FLOPO_0989002	raceme inflorescence present	EQ|PO_0030115|PATO_0000467	phenotype
EQ|PO_0000003|PATO_0001731	FLOPO_0989003	whole plant deciduous (plant)	EQ|PO_0000003|PATO_0001731	phenotype
EQ|PO_0025034|PATO_0104032	FLOPO_0989004	leaf coriaceous	EQ|PO_0025034|PATO_0104032	phenotype
EQ|PO_0030100|PATO_0000122	FLOPO_0989005	legume fruit length	EQ|PO_0030100|PATO_0000122	phenotype
EQ|PO_0030103|PATO_0000467	FLOPO_0989006	drupe fruit present	EQ|PO_0030103|PATO_0000467	phenotype
EQ|PO_0025034|PATO_0001436	FLOPO_0989007	leaf sessile (sensu botany)	EQ|PO_0025034|PATO_0001436	phenotype
EQ|PO_0000003|PATO_0104019	FLOPO_0989008	whole plant succulent	EQ|PO_0000003|PATO_0104019	phenotype
EQ|PO_0030100|PATO_0000921	FLOPO_0989009	legume fruit width	EQ|PO_0030100|PATO_0000921	phenotype
EQ|PO_0030107|PATO_0000467	FLOPO_0989010	achene fruit present	EQ|PO_0030107|PATO_0000467	phenotype
EQ|PO_0030108|PATO_0000467	FLOPO_0989011	berry fruit present	EQ|PO_0030108|PATO_0000467	phenotype
EQ|PO_0030121|PATO_0001499	FLOPO_0989012	capitulum inflorescence spherical	EQ|PO_0030121|PATO_0001499	phenotype
EQ|PO_0020043|PATO_0000410	FLOPO_0989013	compound leaf pinnate	EQ|PO_0020043|PATO_0000410	phenotype
EQ|PO_0030105|PATO_0000467	FLOPO_0989014	follicle fruit present	EQ|PO_0030105|PATO_0000467	phenotype
EQ|PO_0025034|PATO_0104019	FLOPO_0989015	leaf succulent	EQ|PO_0025034|PATO_0104019	phenotype
EQ|PO_0025034|PATO_0001730	FLOPO_0989016	leaf deciduous (generic)	EQ|PO_0025034|PATO_0001730	phenotype
EQ|PO_0030102|PATO_0000467	FLOPO_0989017	nut fruit present	EQ|PO_0030102|PATO_0000467	phenotype
EQ|PO_0025073|PATO_0001365	FLOPO_0989018	branch spiny	EQ|PO_0025073|PATO_0001365	phenotype
EQ|PO_0030117|PATO_0000467	FLOPO_0989019	spike inflorescence present	EQ|PO_0030117|PATO_0000467	phenotype
EQ|PO_0009046|PATO_0104031	FLOPO_0989020	flower cream	EQ|PO_0009046|PATO_0104031	phenotype
EQ|PO_0030100|PATO_0000407	FLOPO_0989021	legume fruit flat	EQ|PO_0030100|PATO_0000407	phenotype
