flopo_iri	flopo_num	label	signature	deprecated
http://purl.obolibrary.org/obo/FLOPO_0980611	980611	whole plant height	EQ|PO_0000003|PATO_0000119	0
http://purl.obolibrary.org/obo/FLOPO_0980612	980612	whole plant black	EQ|PO_0000003|PATO_0000317	0
http://purl.obolibrary.org/obo/FLOPO_0980613	980613	whole plant width	EQ|PO_0000003|PATO_0000921	0
http://purl.obolibrary.org/obo/FLOPO_0980614	980614	whole plant subspherical	EQ|PO_0000003|PATO_0005014	0
http://purl.obolibrary.org/obo/FLOPO_0980615	980615	whole plant coriaceous	EQ|PO_0000003|PATO_0104032	0
http://purl.obolibrary.org/obo/FLOPO_0980616	980616	bud coriaceous	EQ|PO_0000055|PATO_0104032	0
http://purl.obolibrary.org/obo/FLOPO_0980617	980617	flower bud height	EQ|PO_0000056|PATO_0000119	0
http://purl.obolibrary.org/obo/FLOPO_0980618	980618	flower bud length	EQ|PO_0000056|PATO_0000122	0
http://purl.obolibrary.org/obo/FLOPO_0980619	980619	flower bud green	EQ|PO_0000056|PATO_0000320	0
http://purl.obolibrary.org/obo/FLOPO_0980620	980620	flower bud red	EQ|PO_0000056|PATO_0000322	0
http://purl.obolibrary.org/obo/FLOPO_0980621	980621	flower bud yellow	EQ|PO_0000056|PATO_0000324	0
http://purl.obolibrary.org/obo/FLOPO_0980622	980622	flower bud smooth	EQ|PO_0000056|PATO_0000701	0
http://purl.obolibrary.org/obo/FLOPO_0980623	980623	flower bud width	EQ|PO_0000056|PATO_0000921	0
http://purl.obolibrary.org/obo/FLOPO_0980624	980624	flower bud elliptic	EQ|PO_0000056|PATO_0000947	0
http://purl.obolibrary.org/obo/FLOPO_0980625	980625	flower bud brown	EQ|PO_0000056|PATO_0000952	0
http://purl.obolibrary.org/obo/FLOPO_0980626	980626	flower bud linear	EQ|PO_0000056|PATO_0001199	0
http://purl.obolibrary.org/obo/FLOPO_0980627	980627	flower bud pubescent hair	EQ|PO_0000056|PATO_0001320	0
http://purl.obolibrary.org/obo/FLOPO_0980628	980628	flower bud diameter	EQ|PO_0000056|PATO_0001334	0
http://purl.obolibrary.org/obo/FLOPO_0980629	980629	flower bud sessile (sensu botany)	EQ|PO_0000056|PATO_0001436	0
http://purl.obolibrary.org/obo/FLOPO_0980630	980630	flower bud spherical	EQ|PO_0000056|PATO_0001499	0
http://purl.obolibrary.org/obo/FLOPO_0980631	980631	flower bud obtuse	EQ|PO_0000056|PATO_0001935	0
http://purl.obolibrary.org/obo/FLOPO_0980632	980632	flower bud attenuate	EQ|PO_0000056|PATO_0001982	0
http://purl.obolibrary.org/obo/FLOPO_0980633	980633	flower bud acuminate	EQ|PO_0000056|PATO_0002228	0
http://purl.obolibrary.org/obo/FLOPO_0980634	980634	flower bud tomentose	EQ|PO_0000056|PATO_0002341	0
http://purl.obolibrary.org/obo/FLOPO_0980635	980635	flower bud ridged	EQ|PO_0000056|PATO_0002358	0
http://purl.obolibrary.org/obo/FLOPO_0980636	980636	flower bud subspherical	EQ|PO_0000056|PATO_0005014	0
http://purl.obolibrary.org/obo/FLOPO_0980637	980637	flower bud coriaceous	EQ|PO_0000056|PATO_0104032	0
http://purl.obolibrary.org/obo/FLOPO_0980638	980638	trichome black	EQ|PO_0000282|PATO_0000317	0
http://purl.obolibrary.org/obo/FLOPO_0980639	980639	trichome green	EQ|PO_0000282|PATO_0000320	0
http://purl.obolibrary.org/obo/FLOPO_0980640	980640	trichome red	EQ|PO_0000282|PATO_0000322	0
http://purl.obolibrary.org/obo/FLOPO_0980641	980641	trichome white	EQ|PO_0000282|PATO_0000323	0
http://purl.obolibrary.org/obo/FLOPO_0980642	980642	trichome yellow	EQ|PO_0000282|PATO_0000324	0
http://purl.obolibrary.org/obo/FLOPO_0980643	980643	trichome brown	EQ|PO_0000282|PATO_0000952	0
http://purl.obolibrary.org/obo/FLOPO_0980644	980644	sapwood black	EQ|PO_0004513|PATO_0000317	0
http://purl.obolibrary.org/obo/FLOPO_0980645	980645	bark height	EQ|PO_0004518|PATO_0000119	0
http://purl.obolibrary.org/obo/FLOPO_0980646	980646	rhizome height	EQ|PO_0004542|PATO_0000119	0
http://purl.obolibrary.org/obo/FLOPO_0980647	980647	short shoot diameter	EQ|PO_0004701|PATO_0001334	0
http://purl.obolibrary.org/obo/FLOPO_0980648	980648	short shoot subspherical	EQ|PO_0004701|PATO_0005014	0
http://purl.obolibrary.org/obo/FLOPO_0980649	980649	secondary xylem phenotype	PHENO|PO_0005848	0
http://purl.obolibrary.org/obo/FLOPO_0980650	980650	secondary xylem height	EQ|PO_0005848|PATO_0000119	0
http://purl.obolibrary.org/obo/FLOPO_0980651	980651	secondary xylem length	EQ|PO_0005848|PATO_0000122	0
http://purl.obolibrary.org/obo/FLOPO_0980652	980652	secondary xylem red	EQ|PO_0005848|PATO_0000322	0
http://purl.obolibrary.org/obo/FLOPO_0980653	980653	secondary xylem white	EQ|PO_0005848|PATO_0000323	0
http://purl.obolibrary.org/obo/FLOPO_0980654	980654	secondary xylem yellow	EQ|PO_0005848|PATO_0000324	0
http://purl.obolibrary.org/obo/FLOPO_0980655	980655	secondary xylem erect	EQ|PO_0005848|PATO_0000622	0
http://purl.obolibrary.org/obo/FLOPO_0980656	980656	secondary xylem brown	EQ|PO_0005848|PATO_0000952	0
http://purl.obolibrary.org/obo/FLOPO_0980657	980657	secondary xylem diameter	EQ|PO_0005848|PATO_0001334	0
http://purl.obolibrary.org/obo/FLOPO_0980658	980658	lower glume sessile (sensu botany)	EQ|PO_0006002|PATO_0001436	0
http://purl.obolibrary.org/obo/FLOPO_0980659	980659	lower glume coriaceous	EQ|PO_0006002|PATO_0104032	0
http://purl.obolibrary.org/obo/FLOPO_0980660	980660	upper glume red	EQ|PO_0006004|PATO_0000322	0
http://purl.obolibrary.org/obo/FLOPO_0980661	980661	infructescence width	EQ|PO_0006342|PATO_0000921	0
http://purl.obolibrary.org/obo/FLOPO_0980662	980662	infructescence subspherical	EQ|PO_0006342|PATO_0005014	0
http://purl.obolibrary.org/obo/FLOPO_0980663	980663	infructescence coriaceous	EQ|PO_0006342|PATO_0104032	0
http://purl.obolibrary.org/obo/FLOPO_0980664	980664	seedling phenotype	PHENO|PO_0008037	0
http://purl.obolibrary.org/obo/FLOPO_0980665	980665	seedling length	EQ|PO_0008037|PATO_0000122	0
http://purl.obolibrary.org/obo/FLOPO_0980666	980666	seedling glabrous	EQ|PO_0008037|PATO_0000453	0
http://purl.obolibrary.org/obo/FLOPO_0980667	980667	seedling erect	EQ|PO_0008037|PATO_0000622	0
http://purl.obolibrary.org/obo/FLOPO_0980668	980668	seedling oblong	EQ|PO_0008037|PATO_0000946	0
http://purl.obolibrary.org/obo/FLOPO_0980669	980669	seedling pubescent hair	EQ|PO_0008037|PATO_0001320	0
http://purl.obolibrary.org/obo/FLOPO_0980670	980670	seedling obtuse	EQ|PO_0008037|PATO_0001935	0
http://purl.obolibrary.org/obo/FLOPO_0980671	980671	seedling acuminate	EQ|PO_0008037|PATO_0002228	0
http://purl.obolibrary.org/obo/FLOPO_0980672	980672	seedling tomentose	EQ|PO_0008037|PATO_0002341	0
http://purl.obolibrary.org/obo/FLOPO_0980673	980673	seedling ridged	EQ|PO_0008037|PATO_0002358	0
http://purl.obolibrary.org/obo/FLOPO_0980674	980674	fruit height	EQ|PO_0009001|PATO_0000119	0
http://purl.obolibrary.org/obo/FLOPO_0980675	980675	fruit sessile (sensu botany)	EQ|PO_0009001|PATO_0001436	0
http://purl.obolibrary.org/obo/FLOPO_0980676	980676	fruit subspherical	EQ|PO_0009001|PATO_0005014	0
http://purl.obolibrary.org/obo/FLOPO_0980677	980677	fruit coriaceous	EQ|PO_0009001|PATO_0104032	0
http://purl.obolibrary.org/obo/FLOPO_0980678	980678	seed sessile (sensu botany)	EQ|PO_0009010|PATO_0001436	0
