proposal_key	evidence_id
FLOPO_LOCAL:floral_tube_throat	EVID:NYBG_COROLLA_THROAT
FLOPO_LOCAL:floral_tube_throat	EVID:NYBG_COROLLA_TUBE
FLOPO_LOCAL:floral_disk	EVID:NYBG_FLORAL_DISC
FLOPO_LOCAL:orchid_labellum	EVID:AOS_ORCHID_GLOSSARY
FLOPO_LOCAL:orchid_labellum	EVID:ORCHID_LABELLUM_REVIEW
FLOPO_LOCAL:syconium	EVID:NYBG_SYCONIUM
FLOPO_LOCAL:perianth_tube	EVID:NYBG_COROLLA_TUBE
FLOPO_LOCAL:domatium	EVID:NYBG_DOMATIUM
FLOPO_LOCAL:indusium	EVID:NYBG_INDUSIUM
FLOPO_LOCAL:intersecondary_leaf_vein	EVID:NYBG_INTERSECONDARY_VEIN
FLOPO_LOCAL:leaflet_apex	EVID:NYBG_APEX
FLOPO_LOCAL:leaflet_base	EVID:NYBG_BASE
FLOPO_LOCAL:indumentum	EVID:NYBG_TRICHOME
FLOPO_LOCAL:indumentum	EVID:NYBG_HAIR
FLOPO_LOCAL:perianth_lobe	EVID:NYBG_LOBE
FLOPO_LOCAL:perianth_lobe	EVID:NYBG_COROLLA_TUBE
FLOPO_LOCAL:calyx_lobe	EVID:NYBG_LOBE
FLOPO_LOCAL:corolla_lobe	EVID:NYBG_LOBE
FLOPO_LOCAL:corolla_lobe	EVID:NYBG_COROLLA_TUBE
