flopo_id	label	axiom_type	parent_ids	logical_target_ids	definition	sources	frequency	quality_contexts	examples	candidate_id
FLOPO_0980085	greenish	subclass	PATO_0000014		A botanical color in which green is the predominant color and an unspecified other color is present as a minor component.	https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf				""
FLOPO_0980086	reddish	subclass	PATO_0000014		A botanical color in which red is the predominant color and an unspecified other color is present as a minor component.	https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf				""
FLOPO_0980089	greyish	subclass	PATO_0000014		A botanical color in which grey is the predominant color and an unspecified other color is present as a minor component.	https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf				""
FLOPO_0980094	yellowish	subclass	PATO_0000014		A botanical color in which yellow is the predominant color and an unspecified other color is present as a minor component.	https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf				""
FLOPO_0980097	pinkish	subclass	PATO_0000014		A botanical color in which pink is the predominant color and an unspecified other color is present as a minor component.	https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf				""
FLOPO_0980100	purplish	subclass	PATO_0000014		A botanical color in which purple is the predominant color and an unspecified other color is present as a minor component.	https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf				""
FLOPO_0980112	bluish	subclass	PATO_0000014		A botanical color in which blue is the predominant color and an unspecified other color is present as a minor component.	https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf				""
FLOPO_0980127	blackish	subclass	PATO_0000014		A botanical color in which black is the predominant color and an unspecified other color is present as a minor component.	https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf				""
FLOPO_0980130	brownish	subclass	PATO_0000014		A botanical color in which brown is the predominant color and an unspecified other color is present as a minor component.	https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf				""
FLOPO_0980187	white, cream, or yellow	union	PATO_0000014	PATO_0000323|PATO_0104031|PATO_0000324	A botanical color that is white, cream, or yellow.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980196	red or yellow	union	PATO_0000014	PATO_0000322|PATO_0000324	A botanical color that is red or yellow.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980199	greenish or pinkish	union	PATO_0000014	FLOPO_0980085|FLOPO_0980097	A botanical color that is greenish or pinkish.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980207	lilac or deep blue	union	PATO_0000014	PATO_0001943|PATO_0104064	A botanical color that is lilac or deep blue.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980286	cream or white	union	PATO_0000014	PATO_0104031|PATO_0000323	A botanical color that is cream or white.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980343	blue or lilac	union	PATO_0000014	PATO_0000318|PATO_0001943	A botanical color that is blue or lilac.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980346	yellow or reddish orange	union	PATO_0000014	PATO_0000324|FLOPO_0980416	A botanical color that is yellow or reddish orange.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980416	reddish orange	subclass	PATO_0000014		A color whose Munsell coordinates fall within the continuous ISCC-NBS reddish-orange sector represented by color-name blocks 34 through 39; moderate reddish orange (block 37, centroid 9.5R 5.5/9.1) is a central prototype.	DOI:10.6028/NBS.SP.440|DOI:10.6028/jres.061.035	1	flower color (1)	Lotus corniculatus: yellow or reddish orange flowers	FLOPO_VALUE_reddish_orange
FLOPO_0980117	pale cream	subclass	PATO_0104031	PATO_0104031	A cream color whose lightness is described as pale relative to the cream prototype.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980180	banded and tessellated yellow and blue-green	components	PATO_0000019	PATO_0001946|PATO_0104307|PATO_0000324|PATO_0104020	A composite botanical phenotype value in which the bearer has banded and tessellated patterning and displays yellow and blue-green colors.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980182	glaucous blue-green	components	PATO_0000001	PATO_0104277|PATO_0104020	A composite botanical phenotype value in which a glaucous surface bloom produces or accompanies a blue-green appearance.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980188	peeling papery	subclass	PATO_0104010	PATO_0104010	A papyraceous texture in which the paper-like material peels from the bearer.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980189	slightly blue-green	subclass	PATO_0104020	PATO_0104020	A botanical color that is a slightly expressed variant of blue green.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980227	deep glowing orange	subclass	PATO_0104073	PATO_0104073	A deep orange botanical color described as having a glowing appearance.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980239	very deep purplish-black	subclass	PATO_0104157	PATO_0104157	A botanical color that is a very deep variant of purplish black.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980248	pale creamy	subclass	PATO_0104031	PATO_0104031	A cream color expressed by the adjectival flora descriptor "pale creamy", indicating a pale appearance relative to the cream prototype.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980274	greenish yellow inside	subclass	PATO_0104013	PATO_0104013	A greenish-yellow color localized to an inner surface or region of the bearer.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980305	large pale cream	components	PATO_0000001	PATO_0000586|PATO_0104031	A composite botanical phenotype value in which the bearer is large and pale cream in color.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980321	papery yellow	components	PATO_0000001	PATO_0104010|PATO_0000324	A composite botanical phenotype value in which the bearer is papyraceous and yellow.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980325	soft felted	components	PATO_0000001	PATO_0000387|PATO_0104242	A composite botanical phenotype value in which the bearer is soft and pannose.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980345	tubular creamy	components	PATO_0000001	PATO_0002299|PATO_0104031	A composite botanical phenotype value in which the bearer is tubular and cream in color.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980372	pale greenish-white	subclass	PATO_0104067	PATO_0104067	A botanical color that is a pale variant of greenish white.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980376	bright deep blue	subclass	PATO_0104064	PATO_0104064	A deep blue botanical color described as bright.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980389	yellow and blue-green	components	PATO_0000019	PATO_0000324|PATO_0104020	A multicolor botanical phenotype value in which distinct yellow and blue-green components are present.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980390	banded and tessellated	components	PATO_0000060	PATO_0001946|PATO_0104307	A composite spatial pattern that is both banded and tessellated.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980401	almost terete	related	PATO_0000052	PATO_0104016	A botanical shape that approximates but does not fully meet the terete prototype.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980404	small cylindrical succulent	components	PATO_0000001	PATO_0000587|PATO_0001873|PATO_0104019	A composite botanical phenotype value in which the bearer is small, cylindrical, and succulent.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980405	pale pinkish white	subclass	PATO_0104059	PATO_0104059	A botanical color that is a pale variant of pinkish white.	https://github.com/pato-ontology/pato/pull/615				""
FLOPO_0980409	bright reddish purple	subclass	PATO_0104079	PATO_0104079	A reddish-purple botanical color described as bright.	https://github.com/pato-ontology/pato/pull/615				""
