candidate_id	value_label	frequency	status	suggested_parent_pato_ids	suggested_parent_pato_labels	quality_contexts	examples	notes
FLOPO_VALUE_creamy	creamy	38	candidate	PATO_0000323|PATO_0000324	white|yellow	flower color (30)|corolla color (2)|bark color (2)|anther color (2)|stem color (1)	Acacia etbaica ssp. uncinata: creamy flowers || Aloe sp. aff. tomentosa: creamy flowers || Andrachne aspera: creamy flowers || Andrachne aspera var. glandulosa: creamy flowers	""
FLOPO_VALUE_greenish	greenish	24	candidate	PATO_0000320	green	flower color (22)|stem color (1)|petal color (1)	Alternanthera pungens: tiny greenish flowers || Amaranthus graecizans: greenish or pinkish flowers || Amaranthus spinosus: tiny greenish flowers || An erect slender narrow-leaved branching: tiny greenish flowers 2 mm wide	""
FLOPO_VALUE_reddish	reddish	21	candidate	PATO_0000322	red	flower color (5)|stem color (4)|leaf color (2)|fruit color (2)|calyx color (2)	Allophylus rubifolius: some of them reddish coloured || Ammannia baccifera: tiny round reddish fruits || Asphodelus refractus: a reddish line down the centre of each tepal || Asphodelus refractus: stems are reddish	""
FLOPO_VALUE_pale_lilac	pale lilac	18	candidate	PATO_0001943	lilac	flower color (18)	An erect bushy leafy shrublet: pale lilac flowers || An erect woody shrublet: pale lilac flowers || Aptosimum pumilum: pale lilac flowers || Astragalus tribuloides var. minutus: pale lilac flowers	""
FLOPO_VALUE_deep_yellow	deep yellow	13	candidate	PATO_0000324	yellow	flower color (11)|petal color (1)|anther color (1)	Abutilon figarianum: deep yellow flowers || Achillea biebersteinii: tiny deep yellow flowers || Argemone mexicana: deep yellow flowers || Biscutella didyma: deep yellow flowers	""
FLOPO_VALUE_greyish	greyish	13	candidate	PATO_0000950	grey	leaf color (9)|stem color (4)	An erect many-stemmed: downy greyish leaves || Bassia eriophora: small greyish leaves || Bupieriiy glosierifers: greyish leaves || Euphorbia schimperi: greyish stems	""
FLOPO_VALUE_grey_green	grey-green	12	candidate	PATO_0000950|PATO_0000320	grey|green	leaf color (8)|stem color (3)|whole plant color (1)	Achillea biebersteinii: feathery grey-green leaves || An erect bushy leafy shrublet: grey-green velvety leaves || Anthemis deserti: downy grey-green leaves || Caralluma edulis: grey-green stems	""
FLOPO_VALUE_rosy_lilac	rosy-lilac	12	candidate	PATO_0001425|PATO_0000954|PATO_0000322|PATO_0001943	rosy|pink|red|lilac	flower color (12)	An erect herb branching from the base with: deep rosy-lilac flowers || Astragalus abyssinicus ssp. abyssinicus: rosy-lilac || Commicarpus grandiflorus: rosy-lilac flowers || Dolichos trilobus: rosy-lilac flowers	""
FLOPO_VALUE_silvery	silvery	11	candidate	PATO_0000950	grey	leaf color (10)|stem color (1)	Argyrolobium confertum: silvery leaves || Astragalus schimperi: leaves are sometimes narrow and silvery || Astragalus trachoniticus: silvery leaves || Crotalaria quartiniana: silvery stems	""
FLOPO_VALUE_papery	papery	10	candidate	PATO_0000150	texture	bark texture (2)|flower texture (2)|bracteole texture (1)|petiole texture (1)|sepal texture (1)	Acacia ehrenbergiana: peeling papery bark || Achyranthes aspera var. sicula: pale green papery flowers || Callipeltis cucullaria: in papery bracteoles || Commiphora kataf: peeling papery bark	""
FLOPO_VALUE_yellowish	yellowish	10	candidate	PATO_0000324	yellow	flower color (6)|bark color (1)|fruit color (1)|stem color (1)|leaf color (1)	Acacia seyal: yellowish peeling bark || Alyssum linifolium: tiny yellowish ovate flat fruits || Euphorbia hirta: yellowish flowers || Heliotropium rariflorum: very brittle yellowish stems	""
FLOPO_VALUE_long_narrow	long narrow	10	candidate	PATO_0001154|PATO_0000599	elongated|decreased width	fruit shape (4)|leaf shape (4)|leaflet shape (1)|calyx shape (1)	Acacia seyal: long narrow pods || Ammannia baccifera: usually alternate long narrow leaves || Cyamopsis senegalensis: long narrow leaflets || Erucastrum arabicum: long narrow fruits	""
FLOPO_VALUE_greenish_yellow	greenish yellow	10	candidate	PATO_0000320|PATO_0000324	green|yellow	flower color (10)	Anagyris foetida: greenish yellow flowers || Cadaba farinosa: greenish yellow flowers || Commiphora sp. nov. aff. myrrha: greenish yellow inside || Gypsophila aff. antari: greenish yellow flowers	""
FLOPO_VALUE_pinkish	pinkish	9	candidate	PATO_0000954	pink	flower color (6)|bud color (1)|stamen color (1)|stem color (1)	Amaranthus graecizans: greenish or pinkish flowers || Dracaena serrulata: many tiny pinkish buds || Morettia canescens: pinkish flowers 2 cm wide || Phagnalon sp. aff. scalarum: pinkish flowers	""
FLOPO_VALUE_creamy_white	creamy-white	9	candidate	PATO_0000323|PATO_0000324	white|yellow	flower color (9)	Asystasia gangetica: creamy-white flowers 1.2 cm wide || Cordia sinensis: creamy-white flowers || Hippocrepis sp. aff. ciliata: creamy-white flowers || Hochstettera schimperi: creamy-white flowers	""
FLOPO_VALUE_terete	terete	9	candidate	PATO_0000052	shape	leaf shape (9)	Cyperus conglomeratus: stiff terete leaves || Eleocharis marginulata: terete leaves || Eleocharis sp. aff. atropurpurea: terete leaves || Linaria haelava: terete leaves	""
FLOPO_VALUE_purplish	purplish	7	candidate	PATO_0000951	purple	flower color (3)|fruit color (3)|stem color (1)	Allium pseudocalyptratum: small purplish flowers || Bupleurum gerardii: purplish fleshy flowers || Dodonaea viscosa: green and purplish flowers || Euphorbia inarticulata: small purplish erect fruits	""
FLOPO_VALUE_pale_greenish	pale greenish	7	candidate	PATO_0000320	green	flower color (7)	An erect slender-stemmed branching leafy: pale greenish flowers || Cissus rotundifolius: pale greenish flowers || Dichrocephala chrysanthemifolia: pale greenish flowers || Pentatropis spiralis: pale greenish flowers	""
FLOPO_VALUE_succulent	succulent	7	candidate	PATO_0002351	fleshy	leaf texture (4)|stem texture (1)|fruit texture (1)|flower texture (1)	Beta vulgaris: succulent stems || Nitraria retusa: cylindrical succulent red fruits || Suaeda aegyptiaca: small cylindrical succulent leaves || Suaeda pruinosa: succulent greenish flowers 2 mm wide	""
FLOPO_VALUE_blue_green	blue-green	7	candidate	PATO_0000318|PATO_0000320	blue|green	leaf color (6)|flower color (1)	Ecbolium gymnostachyum: blue-green flowers 2 cm wide || Euphorbia retusa: blue-green leaves || Heliotropium curassavicum: blue-green glaucous leaves || Pancratium sickenbergeri: blue-green strapshaped leaves	""
FLOPO_VALUE_pure_white	pure white	6	candidate	PATO_0000323	white	flower color (6)	Acacia abyssinica: pure white flowers || Barleria sp. aff. parviflora: pure white flowers || Crossandra wissmannii: opening pure white || Iris albicans: pure white flowers	""
FLOPO_VALUE_several_metres	several metres	6	needs_manual_parent			stem length (6)	Clematis simensis: stems several metres long || Dalechampia scandens var. cordofana: stems to several metres long || Lablab purpureus: stems several metres long || Macrotyloma axillare var. axillare: stems several metres long	""
FLOPO_VALUE_scarlet	scarlet	6	candidate	PATO_0000322	red	flower color (4)|anther color (1)|leaf color (1)	Indigofera hochstetteri: scarlet flowers || Indigofera sp. aff. trita: scarlet flowers || Lotus corniculatus: flushed with scarlet || Papaver dubium sensu lato: scarlet flowers 4 cm wide	""
FLOPO_VALUE_crimson	crimson	6	candidate	PATO_0000322	red	flower color (2)|leaf color (1)|anther color (1)|petal color (1)|filament color (1)	Kalanchoe sp. aff. glaucescens: green leaves edged with crimson || Myrsine africana: tiny crowded crimson bud-like flowers 1 mm wide || Salsola volkensii: flowers reduced to crimson anthers || Tapinanthus globiferus: aging crimson	""
FLOPO_VALUE_palmate	palmate	5	candidate	PATO_0000052	shape	leaf shape (5)	Althaea ludwigii: deeply lobed palmate leaves || Cienfuegosia welshii: dark green palmate leaves || Corallocarpus epigeus: deeply lobed palmate leaves || Croton lobatus: large deeply lobed palmate leaves	""
FLOPO_VALUE_deep_rosy_lilac	deep rosy-lilac	5	candidate	PATO_0001943|PATO_0001425|PATO_0000954|PATO_0000322	lilac|rosy|pink|red	flower color (5)	An erect herb branching from the base with: deep rosy-lilac flowers || Endostemon gracile: deep rosy-lilac flowers || Endostemon tenuiflorus: deep rosy-lilac flowers || Fagonia glutinosa: deep rosy-lilac flowers	""
FLOPO_VALUE_bright_scarlet	bright scarlet	5	candidate	PATO_0000322	red	flower color (3)|fruit color (2)	An erect woody shrublet: bright scarlet fruits || Euphorbia sp. aff. ammak: bright scarlet fruits || Indigofera arabica: bright scarlet flowers || Plicosepalus acaciae: aging bright scarlet	""
FLOPO_VALUE_flushed_with_pink	flushed with pink	5	candidate	PATO_0000954	pink	flower color (4)|petal color (1)	Astragalus spinosus: occasionally flushed with pink || Convolvulus arvensis: flushed with pink || Jasminum grandiflorum var. floribundum: flushed with pink behind the petals || Lonicera etrusca: flushed with pink	""
FLOPO_VALUE_deep_lilac	deep lilac	5	candidate	PATO_0001943	lilac	flower color (4)|bract color (1)	Astragalus vogelii: deep lilac flowers || Cakile arabica: deep lilac flowers || Horwoodia dicksoniae: deep lilac flowers wide || Lavandula dentata: deep lilac bracts	""
FLOPO_VALUE_heart_shaped	heart-shaped	5	needs_manual_parent			leaf shape (5)	Ceropegia devecchii: heart-shaped leaves || Ipomoea sinensis ssp. blepharosepala: narrow heart-shaped leaves || Odontanthera radians: large heart-shaped dark green downy leaves || Pentatropis spiralis: narrow heart-shaped leaves	""
