candidate_id	flopo_id	label
FLOPO_VALUE_creamy	FLOPO_0980084	creamy
FLOPO_VALUE_greenish	FLOPO_0980085	greenish
FLOPO_VALUE_reddish	FLOPO_0980086	reddish
FLOPO_VALUE_pale_lilac	FLOPO_0980087	pale lilac
FLOPO_VALUE_deep_yellow	FLOPO_0980088	deep yellow
FLOPO_VALUE_greyish	FLOPO_0980089	greyish
FLOPO_VALUE_grey_green	FLOPO_0980090	grey-green
FLOPO_VALUE_rosy_lilac	FLOPO_0980091	rosy-lilac
FLOPO_VALUE_silvery	FLOPO_0980092	silvery
FLOPO_VALUE_papery	FLOPO_0980093	papery
FLOPO_VALUE_yellowish	FLOPO_0980094	yellowish
FLOPO_VALUE_long_narrow	FLOPO_0980095	long narrow
FLOPO_VALUE_greenish_yellow	FLOPO_0980096	greenish yellow
FLOPO_VALUE_pinkish	FLOPO_0980097	pinkish
FLOPO_VALUE_creamy_white	FLOPO_0980098	creamy-white
FLOPO_VALUE_terete	FLOPO_0980099	terete
FLOPO_VALUE_purplish	FLOPO_0980100	purplish
FLOPO_VALUE_pale_greenish	FLOPO_0980101	pale greenish
FLOPO_VALUE_succulent	FLOPO_0980102	succulent
FLOPO_VALUE_blue_green	FLOPO_0980103	blue-green
FLOPO_VALUE_pure_white	FLOPO_0980104	pure white
FLOPO_VALUE_scarlet	FLOPO_0980105	scarlet
FLOPO_VALUE_crimson	FLOPO_0980106	crimson
FLOPO_VALUE_palmate	FLOPO_0980107	palmate
FLOPO_VALUE_deep_rosy_lilac	FLOPO_0980108	deep rosy-lilac
FLOPO_VALUE_bright_scarlet	FLOPO_0980109	bright scarlet
FLOPO_VALUE_flushed_with_pink	FLOPO_0980110	flushed with pink
FLOPO_VALUE_deep_lilac	FLOPO_0980111	deep lilac
FLOPO_VALUE_bluish	FLOPO_0980112	bluish
FLOPO_VALUE_lilac_blue	FLOPO_0980113	lilac-blue
FLOPO_VALUE_cream	FLOPO_0980114	cream
FLOPO_VALUE_leathery	FLOPO_0980115	leathery
FLOPO_VALUE_deep_crimson	FLOPO_0980116	deep crimson
FLOPO_VALUE_pale_cream	FLOPO_0980117	pale cream
FLOPO_VALUE_pendent	FLOPO_0980118	pendent
FLOPO_VALUE_pale_scarlet	FLOPO_0980119	pale scarlet
FLOPO_VALUE_soft_spiny	FLOPO_0980120	soft-spiny
FLOPO_VALUE_pale_bluish_lilac	FLOPO_0980121	pale bluish lilac
FLOPO_VALUE_feathery	FLOPO_0980122	feathery
FLOPO_VALUE_deeply_lobed_palmate	FLOPO_0980123	deeply lobed palmate
FLOPO_VALUE_velvety	FLOPO_0980124	velvety
FLOPO_VALUE_pale_pinkish_lilac	FLOPO_0980125	pale pinkish lilac
FLOPO_VALUE_very_slender	FLOPO_0980126	very slender
FLOPO_VALUE_blackish	FLOPO_0980127	blackish
FLOPO_VALUE_deep_magenta	FLOPO_0980128	deep magenta
FLOPO_VALUE_deeply_lobed	FLOPO_0980129	deeply lobed
FLOPO_VALUE_brownish	FLOPO_0980130	brownish
FLOPO_VALUE_rose_pink	FLOPO_0980131	rose-pink
FLOPO_VALUE_pale_pinkish	FLOPO_0980132	pale pinkish
FLOPO_VALUE_deep_lilac_blue	FLOPO_0980133	deep lilac-blue
FLOPO_VALUE_pale_greenish_yellow	FLOPO_0980134	pale greenish yellow
FLOPO_VALUE_narrow_cylindrical	FLOPO_0980135	narrow cylindrical
FLOPO_VALUE_pinkish_lilac	FLOPO_0980136	pinkish lilac
FLOPO_VALUE_orange_yellow	FLOPO_0980137	orange-yellow
FLOPO_VALUE_purplish_brown	FLOPO_0980138	purplish-brown
FLOPO_VALUE_creamy_yellow	FLOPO_0980139	creamy-yellow
FLOPO_VALUE_very_wide	FLOPO_0980140	very wide
FLOPO_VALUE_white_flushed_pink	FLOPO_0980141	white flushed pink
FLOPO_VALUE_pinkish_white	FLOPO_0980142	pinkish white
FLOPO_VALUE_almost_circular	FLOPO_0980143	almost circular
FLOPO_VALUE_pinkish_fawn	FLOPO_0980144	pinkish fawn
FLOPO_VALUE_white_flushed_with_pink	FLOPO_0980145	white flushed with pink
FLOPO_VALUE_narrow_dentate	FLOPO_0980146	narrow dentate
FLOPO_VALUE_deep_blue	FLOPO_0980147	deep blue
FLOPO_VALUE_relatively_large	FLOPO_0980148	relatively large
FLOPO_VALUE_flat_sided	FLOPO_0980149	flat-sided
FLOPO_VALUE_greenish_white	FLOPO_0980150	greenish white
FLOPO_VALUE_deep_violet_blue	FLOPO_0980151	deep violet-blue
FLOPO_VALUE_pale_blue_lilac	FLOPO_0980152	pale blue-lilac
FLOPO_VALUE_light_scarlet	FLOPO_0980153	light scarlet
FLOPO_VALUE_mahogany_red	FLOPO_0980154	mahogany-red
FLOPO_VALUE_green_and_grey_mottled	FLOPO_0980155	green and grey mottled
FLOPO_VALUE_deep_orange	FLOPO_0980156	deep orange
FLOPO_VALUE_narrow_lobed	FLOPO_0980157	narrow lobed
FLOPO_VALUE_spotted_with_crimson	FLOPO_0980158	spotted with crimson
FLOPO_VALUE_lemon_yellow	FLOPO_0980159	lemon-yellow
FLOPO_VALUE_very_pale_blue	FLOPO_0980160	very pale blue
FLOPO_VALUE_bright_magenta_pink	FLOPO_0980161	bright magenta-pink
FLOPO_VALUE_reddish_purple	FLOPO_0980162	reddish-purple
FLOPO_VALUE_three_angled	FLOPO_0980163	three-angled
FLOPO_VALUE_deep_rosy_pink	FLOPO_0980164	deep rosy-pink
FLOPO_VALUE_green_and_brown	FLOPO_0980165	green and brown
FLOPO_VALUE_rolled_back_at_the_tip	FLOPO_0980166	rolled back at the tip
FLOPO_VALUE_apricot_yellow	FLOPO_0980167	apricot-yellow
FLOPO_VALUE_deep_purple	FLOPO_0980168	deep purple
FLOPO_VALUE_fairly_large	FLOPO_0980169	fairly large
FLOPO_VALUE_deep_purplish_red	FLOPO_0980170	deep purplish red
FLOPO_VALUE_slightly_curved	FLOPO_0980171	slightly curved
FLOPO_VALUE_very_large	FLOPO_0980172	very large
FLOPO_VALUE_narrow_flat	FLOPO_0980173	narrow flat
FLOPO_VALUE_golden	FLOPO_0980174	golden
FLOPO_VALUE_pale_lilac_and_white	FLOPO_0980175	pale lilac and white
FLOPO_VALUE_almost_round	FLOPO_0980176	almost round
FLOPO_VALUE_white_flushed_with_lilac	FLOPO_0980177	white flushed with lilac
FLOPO_VALUE_greenish_yellow	FLOPO_0980178	greenish-yellow
FLOPO_VALUE_pink_and_red	FLOPO_0980179	pink and red
FLOPO_VALUE_banded_and_tessellated_yellow_and_blue_green	FLOPO_0980180	banded and tessellated yellow and blue-green
FLOPO_VALUE_flat_oval	FLOPO_0980181	flat oval
FLOPO_VALUE_glaucous_blue_green	FLOPO_0980182	glaucous blue-green
FLOPO_VALUE_slender_cylindrical	FLOPO_0980183	slender cylindrical
FLOPO_VALUE_long_straight	FLOPO_0980184	long straight
FLOPO_VALUE_golden_yellow	FLOPO_0980185	golden-yellow
FLOPO_VALUE_slightly_twisted	FLOPO_0980186	slightly twisted
FLOPO_VALUE_white_cream_or_yellow	FLOPO_0980187	white, cream, or yellow
FLOPO_VALUE_peeling_papery	FLOPO_0980188	peeling papery
FLOPO_VALUE_slightly_blue_green	FLOPO_0980189	slightly blue-green
FLOPO_VALUE_fawn	FLOPO_0980190	fawn
FLOPO_VALUE_glossy_orange	FLOPO_0980191	glossy orange
FLOPO_VALUE_dying_fawn	FLOPO_0980192	dying fawn
FLOPO_VALUE_green_and_white	FLOPO_0980193	green and white
FLOPO_VALUE_deep_pinkish_red	FLOPO_0980194	deep pinkish red
FLOPO_VALUE_orange_red	FLOPO_0980195	orange-red
FLOPO_VALUE_red_or_yellow	FLOPO_0980196	red or yellow
FLOPO_VALUE_yellowish_green	FLOPO_0980197	yellowish-green
FLOPO_VALUE_greenish_cream	FLOPO_0980198	greenish cream
FLOPO_VALUE_greenish_or_pinkish	FLOPO_0980199	greenish or pinkish
FLOPO_VALUE_bristly	FLOPO_0980200	bristly
FLOPO_VALUE_pale_yellowish	FLOPO_0980201	pale yellowish
FLOPO_VALUE_very_red	FLOPO_0980202	very red
FLOPO_VALUE_apricot_yellow_with_deep_crimson_centre	FLOPO_0980203	apricot-yellow with deep crimson centre
FLOPO_VALUE_brilliant_deep_blue	FLOPO_0980204	brilliant deep blue
FLOPO_VALUE_pale_rose_pink	FLOPO_0980205	pale rose-pink
FLOPO_VALUE_deep_green	FLOPO_0980206	deep green
FLOPO_VALUE_lilac_or_deep_blue	FLOPO_0980207	lilac or deep blue
FLOPO_VALUE_deep_lilac_purple	FLOPO_0980208	deep lilac purple
FLOPO_VALUE_greenish_golden	FLOPO_0980209	greenish golden
FLOPO_VALUE_upper_ones_tiny	FLOPO_0980210	upper ones tiny
FLOPO_VALUE_bright_dark_green	FLOPO_0980211	bright dark green
FLOPO_VALUE_very_feathery	FLOPO_0980212	very feathery
FLOPO_VALUE_reddish_line	FLOPO_0980213	reddish line
FLOPO_VALUE_flat_sided_curved	FLOPO_0980214	flat-sided curved
FLOPO_VALUE_lilac_flushed	FLOPO_0980215	lilac flushed
FLOPO_VALUE_white_lilac_flushed	FLOPO_0980216	white, lilac flushed
FLOPO_VALUE_pink_occasionally_flushed	FLOPO_0980217	pink (occasionally flushed)
FLOPO_VALUE_short_plump_erect	FLOPO_0980218	short plump erect
FLOPO_VALUE_fat_spherical	FLOPO_0980219	fat spherical
FLOPO_VALUE_slender_curved_spiny	FLOPO_0980220	slender curved spiny
FLOPO_VALUE_slender_curved	FLOPO_0980221	slender curved
