flopo_id	label	pato_id	pato_label	provenance
FLOPO_0980084	creamy	PATO_0104031	cream	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980088	deep yellow	PATO_0104005	deep yellow	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980090	grey-green	PATO_0104007	greyish green	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980093	papery	PATO_0104010	papyraceous	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980096	greenish yellow	PATO_0104013	greenish yellow	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980099	terete	PATO_0104016	terete	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980102	succulent	PATO_0104019	succulent	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980103	blue-green	PATO_0104020	blue green	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980114	cream	PATO_0104031	cream	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980115	leathery	PATO_0104032	coriaceous	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980118	pendent	PATO_0104035	pendent	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980124	velvety	PATO_0104041	velutinous	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980134	pale greenish yellow	PATO_0104051	pale greenish yellow	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980137	orange-yellow	PATO_0104054	orange yellow	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980142	pinkish white	PATO_0104059	pinkish white	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980147	deep blue	PATO_0104064	deep blue	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980150	greenish white	PATO_0104067	greenish white	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980156	deep orange	PATO_0104073	deep orange	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980160	very pale blue	PATO_0104077	very pale blue	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980162	reddish-purple	PATO_0104079	reddish purple	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980168	deep purple	PATO_0104085	deep purple	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980170	deep purplish red	PATO_0104087	deep purplish red	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980178	greenish-yellow	PATO_0104013	greenish yellow	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980195	orange-red	PATO_0104112	orange red	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980197	yellowish-green	PATO_0104114	yellowish green	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980200	bristly	PATO_0104117	bristly	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980206	deep green	PATO_0104123	deep green	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980234	dark pink	PATO_0104151	dark pink	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980240	purplish-black	PATO_0104157	purplish black	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980242	dark purplish-red	PATO_0104159	dark purplish red	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980272	deep red	PATO_0104189	deep red	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980306	very pale green	PATO_0104223	very pale green	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980350	yellowish green	PATO_0104114	yellowish green	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980360	glaucous	PATO_0104277	glaucous	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980377	deep violet	PATO_0104294	deep violet	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980388	blue-grey	PATO_0104305	bluish grey	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980394	purplish red	PATO_0104311	purplish red	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980413	reddish purple	PATO_0104079	reddish purple	https://github.com/pato-ontology/pato/pull/615
