proposal_key	pato_id	status
COLOR:cream	PATO:0104312	new_approved
COLOR:cream_rhs_5	PATO:0104031	existing_reused_and_refined
COLOR:cream_saccardo_1891	PATO:0104313	new_approved
COLOR:crimson	PATO:0104314	new_approved
COLOR:crimson_wilson_h22	PATO:0104315	new_approved
COLOR:crimson_tcca_65013	PATO:0104316	new_approved
COLOR:scarlet	PATO:0104317	new_approved
COLOR:scarlet_saccardo_1891	PATO:0104318	new_approved
COLOR:scarlet_ridgway_1912	PATO:0104319	new_approved
COLOR:scarlet_wilson_h19	PATO:0104320	new_approved
COLOR:scarlet_reviewed_union		deferred_optional_closed_union
COLOR:lemon_yellow	PATO:0104321	new_approved
COLOR:lemon_yellow_saccardo_1891	PATO:0104322	new_approved
COLOR:lemon_yellow_ridgway_1912	PATO:0104323	new_approved
COLOR:mahogany_red	PATO:0104324	new_approved
COLOR:mahogany_red_ridgway_1912	PATO:0104325	new_approved
COLOR:salmon	PATO:0104326	new_approved
COLOR:salmon_saccardo_1891	PATO:0104327	new_approved
COLOR:salmon_ridgway_1912	PATO:0104328	new_approved
COLOR:chestnut	PATO:0104329	new_approved
COLOR:chestnut_saccardo_1891	PATO:0104330	new_approved
COLOR:chestnut_ridgway_1912	PATO:0104331	new_approved
COLOR:chestnut_brown_ridgway_1912	PATO:0104332	new_approved
COLOR:chocolate_brown	PATO:0104333	new_approved
COLOR:chocolate_brown_saccardo_1891	PATO:0104334	new_approved
COLOR:chocolate_ridgway_1912	PATO:0104335	new_approved
COLOR:olive	PATO:0104336	new_approved
COLOR:olive_green_saccardo_1891	PATO:0104337	new_approved
COLOR:olive_ridgway_1912	PATO:0104338	new_approved
COLOR:olive_green_ridgway_1912	PATO:0104339	new_approved
COLOR:rose	PATO:0001425	existing_reused_and_corrected
COLOR:rose_saccardo_1891	PATO:0104340	new_approved
COLOR:rose_color_ridgway_1912	PATO:0104341	new_approved
COLOR:rose_pink_ridgway_1912	PATO:0104342	new_approved
COLOR:straw_yellow	PATO:0104343	new_approved
COLOR:straw_saccardo_1891	PATO:0104344	new_approved
COLOR:straw_yellow_ridgway_1912	PATO:0104345	new_approved
