id	label	synonyms	slim
PATO_0000001	quality	trait	
PATO_0000004	mobility		attribute_slim|disposition_slim|scalar_slim
PATO_0000008	speed	velocity	attribute_slim|scalar_slim
PATO_0000011	age		attribute_slim|scalar_slim
PATO_0000014	color	colour|relative color	attribute_slim
PATO_0000015	color hue		attribute_slim
PATO_0000016	color brightness	color intensity |color lightness |color value 	attribute_slim
PATO_0000017	color saturation		attribute_slim
PATO_0000018	fluorescence		value_slim
PATO_0000019	color pattern		attribute_slim
PATO_0000021	compatibility		attribute_slim|disposition_slim|relational_slim
PATO_0000025	composition	compositionality|content|structure, composition	attribute_slim|scalar_slim
PATO_0000033	concentration of	concentration	attribute_slim|relational_slim|scalar_slim
PATO_0000037	consistency	firmness	attribute_slim|mpath_slim
PATO_0000039	direction		attribute_slim
PATO_0000040	distance		attribute_slim|relational_slim|scalar_slim
PATO_0000043	flavor		attribute_slim|relational_slim
PATO_0000044	frequency		attribute_slim|scalar_slim
PATO_0000047	biological sex		attribute_slim
PATO_0000048	hardness	impenetrability|toughness	attribute_slim|disposition_slim
PATO_0000049	intensity		attribute_slim
PATO_0000050	life span		attribute_slim
PATO_0000051	morphology		attribute_slim
PATO_0000052	shape	relational shape quality	attribute_slim
PATO_0000056	trophic quality	nutritional quality	attribute_slim|disposition_slim
PATO_0000057	occurrence quality	incidence|temporal	attribute_slim
PATO_0000058	odor		attribute_slim
PATO_0000060	spatial pattern	distribution|pattern	attribute_slim
PATO_0000062	sleep pattern		attribute_slim
PATO_0000066	pilosity		attribute_slim|scalar_slim
PATO_0000068	qualitative		
PATO_0000069	deviation(from_normal)		attribute_slim
PATO_0000070	count	amount|count in organism|number|presence|presence or absence in organism|quantitative	attribute_slim
PATO_0000077	response to	responsivity	attribute_slim|disposition_slim|relational_slim|scalar_slim
PATO_0000078	rhythm quality		attribute_slim
PATO_0000080	amplitude		attribute_slim
PATO_0000082	persistence		attribute_slim
PATO_0000083	phase		attribute_slim
PATO_0000085	sensitivity toward	sensitivity	attribute_slim|disposition_slim|relational_slim
PATO_0000117	size		attribute_slim|scalar_slim
PATO_0000119	height		attribute_slim|scalar_slim
PATO_0000122	length		attribute_slim|mpath_slim|scalar_slim
PATO_0000125	mass		attribute_slim|relational_slim|scalar_slim
PATO_0000128	weight		attribute_slim|scalar_slim
PATO_0000133	orientation	amount of rotation|angle|angular magnitude|angular placement|plane angle	attribute_slim|relational_slim
PATO_0000136	closure		attribute_slim
PATO_0000140	position	location|placement|relational spatial quality	attribute_slim
PATO_0000141	structure	relational structural quality	attribute_slim
PATO_0000146	temperature		attribute_slim|scalar_slim
PATO_0000150	texture		attribute_slim
PATO_0000152	threshold		attribute_slim|disposition_slim|relational_slim
PATO_0000161	rate		attribute_slim|scalar_slim
PATO_0000165	time		attribute_slim|scalar_slim
PATO_0000169	viability		attribute_slim|disposition_slim
PATO_0000185	balance		attribute_slim|disposition_slim
PATO_0000186	behavioral quality	behavioural quality	
PATO_0000188	coordination		attribute_slim|disposition_slim|scalar_slim
PATO_0000189	discrimination		attribute_slim|disposition_slim|relational_slim
PATO_0000261	maturity		attribute_slim
PATO_0000273	fecundity		attribute_slim|disposition_slim|scalar_slim
PATO_0000274	fertility		attribute_slim|disposition_slim
PATO_0000276	brood size	litter size	attribute_slim|scalar_slim
PATO_0000277	female fertility		attribute_slim|disposition_slim
PATO_0000279	male fertility		attribute_slim|disposition_slim
PATO_0000297	arrested	abolished|incomplete	value_slim
PATO_0000299	mobile		disposition_slim|value_slim
PATO_0000300	immobile	fixed	disposition_slim|value_slim
PATO_0000303	increased speed	fast speed|high speed	value_slim
PATO_0000304	decreased speed	slow|slow speed	value_slim
PATO_0000308	old		value_slim
PATO_0000309	young		value_slim
PATO_0000317	black		mpath_slim|value_slim
PATO_0000318	blue		mpath_slim|value_slim
PATO_0000319	cyan		value_slim
PATO_0000320	green		mpath_slim|value_slim
PATO_0000321	magenta		mpath_slim|value_slim
PATO_0000322	red		mpath_slim|value_slim
PATO_0000323	white	whitish	mpath_slim|value_slim
PATO_0000324	yellow		mpath_slim|value_slim
PATO_0000327	low brightness	dark	value_slim
PATO_0000328	low saturation	dull|pale	value_slim
PATO_0000329	blotchy	blotched	value_slim
PATO_0000330	irregular spatial pattern		mpath_slim|value_slim
PATO_0000331	discolored		value_slim
PATO_0000333	spotted		value_slim
PATO_0000336	colored	pigmented	value_slim
PATO_0000337	colorless	unpigmented	value_slim
PATO_0000344	compatible		disposition_slim|relational_slim|value_slim
PATO_0000345	incompatible		disposition_slim|relational_slim|value_slim
PATO_0000365	down		value_slim
PATO_0000366	left		value_slim
PATO_0000367	right		value_slim
PATO_0000370	up		value_slim
PATO_0000374	increased distance	long distance	relational_slim|value_slim
PATO_0000375	decreased distance	short distance	relational_slim|value_slim
PATO_0000380	increased frequency	frequent|high frequency	mpath_slim|value_slim
PATO_0000381	decreased frequency	infrequent|low frequency	mpath_slim|value_slim
PATO_0000383	female		mpath_slim|value_slim
PATO_0000384	male		mpath_slim|value_slim
PATO_0000386	hard	firm|impenetrable|tough	disposition_slim|mpath_slim|value_slim
PATO_0000387	soft		disposition_slim|mpath_slim|value_slim
PATO_0000389	acute		mpath_slim|value_slim
PATO_0000394	mild		mpath_slim|value_slim
PATO_0000395	moderate		mpath_slim|value_slim
PATO_0000396	severe		mpath_slim|value_slim
PATO_0000402	branched	ramified|ramiform	mpath_slim|value_slim
PATO_0000403	cleft		mpath_slim|value_slim
PATO_0000404	coiled	helical|helicoid|helicoidal|helix-shaped|spiral	mpath_slim|value_slim
PATO_0000405	curled		mpath_slim|value_slim
PATO_0000406	curved	bowing|curled	value_slim
PATO_0000407	flat	plate-like	mpath_slim|value_slim
PATO_0000409	oblate	oblate spheroid	mpath_slim|value_slim
PATO_0000410	pinnate	feather-like|of a leaf shape	mpath_slim|value_slim
PATO_0000411	circular	round|rounded	mpath_slim|value_slim
PATO_0000413	square		value_slim
PATO_0000414	unbranched		mpath_slim|value_slim
PATO_0000415	uncoiled		mpath_slim|value_slim
PATO_0000422	auxotrophic		disposition_slim|value_slim
PATO_0000423	prototrophic		disposition_slim|value_slim
PATO_0000427	recurrent		mpath_slim|value_slim
PATO_0000428	sporadic		mpath_slim|value_slim
PATO_0000438	invariant	constant|uniform	value_slim
PATO_0000440	regular spatial pattern		mpath_slim|relational_slim|value_slim
PATO_0000441	repetitive		value_slim
PATO_0000453	glabrous	hairless	mpath_slim|value_slim
PATO_0000454	hairy		mpath_slim|value_slim
PATO_0000455	pubescent		value_slim
PATO_0000460	abnormal	aberrant|atypia|atypical|defective	abnormal_slim|mpath_slim|value_slim
PATO_0000461	normal	average	abnormal_slim|mpath_slim|value_slim
PATO_0000462	absent	absence|absent from organism	absent_slim|mpath_slim|value_slim
PATO_0000463	conspicuous	distinct	mpath_slim|value_slim
PATO_0000464	inconspicuous		mpath_slim|value_slim
PATO_0000467	present	present in organism	absent_slim|value_slim
PATO_0000470	present in greater numbers in organism	accessory|increased|increased number|supernumerary	value_slim
PATO_0000487	responsive to	responsive	disposition_slim|relational_slim|value_slim
PATO_0000488	unresponsive to	unresponsive	disposition_slim|relational_slim|value_slim
PATO_0000498	increased duration	chronic|high time|increased period|increased time|prolonged period|slow time	value_slim
PATO_0000499	decreased duration	decreased period|decreased time|fast time|low period|shortened period	value_slim
PATO_0000500	advanced phase		value_slim
PATO_0000501	dark phase		value_slim
PATO_0000502	delayed	late	value_slim
PATO_0000503	light phase		value_slim
PATO_0000504	arrhythmic		value_slim
PATO_0000505	rhythmic		value_slim
PATO_0000513	insensitive toward	insensitive|resistant	disposition_slim|relational_slim|value_slim
PATO_0000515	tolerant to	tolerant	disposition_slim|relational_slim|value_slim
PATO_0000516	sensitive toward	sensitive	disposition_slim|relational_slim|value_slim
PATO_0000546	photoinsensitive	photoresistant	disposition_slim|value_slim
PATO_0000547	photosensitive		disposition_slim|value_slim
PATO_0000569	decreased height	short	value_slim
PATO_0000570	increased height	tall	value_slim
PATO_0000573	increased length	long	value_slim
PATO_0000574	decreased length	short|shortened|stubby	value_slim
PATO_0000582	increased weight	heavy|high weight	value_slim
PATO_0000583	decreased weight	light weight|low weight	value_slim
PATO_0000584	hypertrophic	hypertrophy	mpath_slim|value_slim
PATO_0000585	hypotrophic	shrunken	mpath_slim|value_slim
PATO_0000586	increased size	big|enlarged|expanded|great|large	value_slim
PATO_0000587	decreased size	hypoplasia|small|tiny|underdeveloped	value_slim
PATO_0000588	vestigial		value_slim
PATO_0000591	increased thickness	high thickness|stout|thick|thickened	mpath_slim|value_slim
PATO_0000592	decreased thickness	low thickness|slender|thin	mpath_slim|value_slim
PATO_0000595	increased volume	high volume|large volume	mpath_slim|value_slim
PATO_0000596	decreased volume	low volume|small volume	mpath_slim|value_slim
PATO_0000599	decreased width	narrow	value_slim
PATO_0000600	increased width	broad|wide|wide/broad	value_slim
PATO_0000608	closed	blocked	value_slim
PATO_0000609	closure incomplete		value_slim
PATO_0000610	open		value_slim
PATO_0000613	disoriented		value_slim
PATO_0000614	oriented		value_slim
PATO_0000615	anterioralized		value_slim
PATO_0000616	asymmetrical	asymmetric|asymmetry	mpath_slim|value_slim
PATO_0000617	bent		value_slim
PATO_0000618	bilateral		mpath_slim|value_slim
PATO_0000619	crowded		value_slim
PATO_0000620	dorsalized		mpath_slim|value_slim
PATO_0000622	erect	upright	value_slim
PATO_0000623	exserted	prolapse|prolapsed	value_slim
PATO_0000624	inserted into	inserted|introduced into	relational_slim|value_slim
PATO_0000625	inverted	backward|reversed	mpath_slim|value_slim
PATO_0000626	lateralized		value_slim
PATO_0000627	localised	focal	mpath_slim|value_slim
PATO_0000628	mislocalised	ectopic|mislocalized	disposition_slim|value_slim
PATO_0000629	misrouted		value_slim
PATO_0000630	posterioralized		mpath_slim|value_slim
PATO_0000631	prostrate		value_slim
PATO_0000632	symmetrical	symmetric	mpath_slim|value_slim
PATO_0000633	uncrowded		value_slim
PATO_0000634	unilateral		mpath_slim|value_slim
PATO_0000635	unlocalised		mpath_slim|value_slim
PATO_0000636	ventralized		mpath_slim|value_slim
PATO_0000638	apoptotic		value_slim
PATO_0000639	degenerate	degeneration	mpath_slim|value_slim
PATO_0000640	dysplastic	dysplasia	mpath_slim|value_slim
PATO_0000642	fused with	coalesced|fused|fused to|joined with|merged with	mpath_slim|relational_slim|value_slim
PATO_0000643	herniated		mpath_slim|value_slim
PATO_0000644	hyperplastic	hyperplasia|overdeveloped	mpath_slim|value_slim
PATO_0000645	hypoplastic	hypoplasia|underdeveloped	mpath_slim|value_slim
PATO_0000646	malformed	malformation	mpath_slim|value_slim
PATO_0000647	necrotic		mpath_slim|value_slim
PATO_0000648	obstructed		mpath_slim|value_slim
PATO_0000651	unfused from	unfused	relational_slim|value_slim
PATO_0000665	high brightness	light	value_slim
PATO_0000688	asynchronous		value_slim
PATO_0000689	continuous	uninterrupted	value_slim
PATO_0000690	discontinuous	intermittent|interrupted	value_slim
PATO_0000692	heterochronic		value_slim
PATO_0000694	premature	advanced|early|precocious	value_slim
PATO_0000695	synchronous		value_slim
PATO_0000700	rough	coarse	mpath_slim|value_slim
PATO_0000701	smooth		mpath_slim|value_slim
PATO_0000706	increased threshold	high threshold	disposition_slim|relational_slim|value_slim
PATO_0000708	decreased threshold	low threshold	disposition_slim|relational_slim|value_slim
PATO_0000718	lethal (sensu genetics)		disposition_slim|value_slim
PATO_0000719	viable		disposition_slim|value_slim
PATO_0000757	balanced		value_slim
PATO_0000758	unbalanced		value_slim
PATO_0000759	bang sensitive		disposition_slim|value_slim
PATO_0000760	increased behavioural activity	hyperactive	value_slim
PATO_0000761	decreased behavioural activity	hypoactive	value_slim
PATO_0000763	paralysed	palsy	value_slim
PATO_0000764	passive		value_slim
PATO_0000769	coordinated		disposition_slim|value_slim
PATO_0000770	uncoordinated		disposition_slim|value_slim
PATO_0000771	aversion		disposition_slim|relational_slim|value_slim
PATO_0000772	indifference		disposition_slim|relational_slim|value_slim
PATO_0000773	preference		attribute_slim|disposition_slim|relational_slim
PATO_0000888	female fertile		disposition_slim|value_slim
PATO_0000890	male sterile	male infertile	disposition_slim|value_slim
PATO_0000891	male fertile		disposition_slim|value_slim
PATO_0000892	female sterile	female infertile	disposition_slim|value_slim
PATO_0000911	decreased rate	slow rate	mpath_slim|value_slim
PATO_0000912	increased rate	fast rate|high rate	mpath_slim|value_slim
PATO_0000915	thickness		attribute_slim|scalar_slim
PATO_0000918	volume		attribute_slim|mpath_slim|scalar_slim
PATO_0000921	width	breadth	attribute_slim|scalar_slim
PATO_0000927	photosensitivity		attribute_slim|disposition_slim|scalar_slim
PATO_0000936	truncated	truncate	value_slim
PATO_0000937	disorganized		mpath_slim|value_slim
PATO_0000938	organized		mpath_slim|value_slim
PATO_0000941	vacuolated		mpath_slim|value_slim
PATO_0000944	sharpness	apiculate	attribute_slim
PATO_0000945	epinastic		value_slim
PATO_0000946	oblong		mpath_slim|value_slim
PATO_0000947	elliptic	ellipse-shaped|ellipsoid|elliptical|oval|ovoid	mpath_slim|value_slim
PATO_0000948	heart shaped	cordate|cordiform	value_slim
PATO_0000949	fasciated		mpath_slim|value_slim
PATO_0000950	grey	plumbeous	mpath_slim|value_slim
PATO_0000951	purple		mpath_slim|value_slim
PATO_0000952	brown		mpath_slim|value_slim
PATO_0000953	orange		mpath_slim|value_slim
PATO_0000954	pink		mpath_slim|value_slim
PATO_0000955	fertile		disposition_slim|value_slim
PATO_0000956	sterile		disposition_slim|value_slim
PATO_0000957	opacity		attribute_slim
PATO_0000963	opaque	clouding|cloudy|non-transparent	mpath_slim|value_slim
PATO_0000964	transparent	clear	mpath_slim|value_slim
PATO_0000965	symmetry		attribute_slim
PATO_0000967	undulate	rippled|sinuate|undulated|undulating|waved|wavy	mpath_slim|value_slim
PATO_0000969	dwarf-like	dwarfed	value_slim
PATO_0000970	permeability		attribute_slim|disposition_slim|scalar_slim
PATO_0000973	porosity		attribute_slim|disposition_slim|scalar_slim
PATO_0000982	permeable	porous	disposition_slim|value_slim
PATO_0000983	impermeable		disposition_slim|value_slim
PATO_0000984	porous		disposition_slim|value_slim
PATO_0000985	non-porous		disposition_slim|value_slim
PATO_0000992	viscosity		attribute_slim|disposition_slim
PATO_0000998	viscous		disposition_slim|mpath_slim|value_slim
PATO_0000999	alternation		value_slim
PATO_0001005	latency		attribute_slim
PATO_0001018	physical quality	relational physical quality	attribute_slim
PATO_0001019	mass density	density	attribute_slim|scalar_slim
PATO_0001020	damage		attribute_slim
PATO_0001021	energy		attribute_slim|scalar_slim
PATO_0001022	impulse		attribute_slim|scalar_slim
PATO_0001023	momentum		attribute_slim|scalar_slim
PATO_0001024	power		attribute_slim
PATO_0001025	pressure		attribute_slim
PATO_0001026	work	W	attribute_slim
PATO_0001028	acceleration		attribute_slim|scalar_slim
PATO_0001029	efficiency		attribute_slim
PATO_0001030	flux		attribute_slim|scalar_slim
PATO_0001031	elasticity		attribute_slim|disposition_slim|scalar_slim
PATO_0001034	strain		attribute_slim
PATO_0001035	force	force amplitude	attribute_slim|scalar_slim
PATO_0001043	susceptibility toward	susceptibility	attribute_slim|disposition_slim|relational_slim
PATO_0001046	resistance to	resistance	attribute_slim|disposition_slim|relational_slim|scalar_slim
