id	label	synonyms	namespace
PO_0000001	plant embryo proper		plant_anatomy
PO_0000002	anther wall	Poaceae anther wall|pollen sac wall|Zea anther wall	plant_anatomy
PO_0000003	whole plant	bush|clonal colony|colony|frutex|frutices|gametophyte|genet|herb|liana|prothalli|prothallium|prothallus|ramet|shrub|sporophyte|suffrutex|suffrutices|tree|vine|woody clump	plant_anatomy
PO_0000004	in vitro plant structure		plant_anatomy
PO_0000005	cultured plant cell	cell suspension|cultured cell	plant_anatomy
PO_0000006	plant protoplast	protoplast	plant_anatomy
PO_0000007	leaf-derived cultured plant cell	cultured plant cell|leaf-derived cultured cell	plant_anatomy
PO_0000008	root-derived cultured plant cell	root-derived cultured cell	plant_anatomy
PO_0000009	cultured plant callus	cultured callus	plant_anatomy
PO_0000010	cultured plant embryo	cultured embryo	plant_anatomy
PO_0000011	cultured somatic plant embryo	cultured somatic embryo	plant_anatomy
PO_0000012	apical hook	hypocotyl hook	plant_anatomy
PO_0000013	cauline leaf		plant_anatomy
PO_0000014	rosette leaf		plant_anatomy
PO_0000015	cotyledon primordium	cotyledon primordia|portion of cotyledon primordium tissue	plant_anatomy
PO_0000016	lateral root primordium	portion of lateral root primordium tissue	plant_anatomy
PO_0000017	vascular leaf primordium	leaf primordium|portion of vascular leaf primordium tissue|vascular leaf primordia	plant_anatomy
PO_0000018	ovule primordium	portion of ovule primordium tissue	plant_anatomy
PO_0000019	gynoecium primordium	pistil primordium|portion of gynoecium primordium tissue	plant_anatomy
PO_0000021	petal primordium	petal primordia|portion of petal primordium tissue	plant_anatomy
PO_0000022	plant cuticle	cuticle	plant_anatomy
PO_0000025	root tip		plant_anatomy
PO_0000026	primary root tip		plant_anatomy
PO_0000027	lateral root tip		plant_anatomy
PO_0000030	septum	dissepiment|septa	plant_anatomy
PO_0000031	lenticel		plant_anatomy
PO_0000032	tetrad of microspores		plant_anatomy
PO_0000033	fruit valve		plant_anatomy
PO_0000034	vascular system	vasculature	plant_anatomy
PO_0000035	cotyledon vascular system		plant_anatomy
PO_0000036	leaf vascular system	leaf venation	plant_anatomy
PO_0000037	shoot axis apex		plant_anatomy
PO_0000038	primary endosperm cell		plant_anatomy
PO_0000039	shoot axis vascular system	branch vascular system|stem vascular system	plant_anatomy
PO_0000040	adventitious root nodule	stem primordium	plant_anatomy
PO_0000041	epidermal cork cell		plant_anatomy
PO_0000042	shoot-borne root	adventitious root|aerial root|climbing root|stilt root	plant_anatomy
PO_0000043	crown root	adventitious root	plant_anatomy
PO_0000044	prop root	brace root|breathing root	plant_anatomy
PO_0000045	embryo root	embryonic root	plant_anatomy
PO_0000046	seminal root	lateral seminal root|scutellar nodal root|secondary root	plant_anatomy
PO_0000047	leaf lamina epidermis		plant_anatomy
PO_0000048	leaf lamina vascular system		plant_anatomy
PO_0000049	leaf lamina abaxial epidermis		plant_anatomy
PO_0000050	leaf lamina adaxial epidermis		plant_anatomy
PO_0000051	petiole epidermis		plant_anatomy
PO_0000052	petiole vascular system		plant_anatomy
