surface_form	language	po_id	po_label	match_scope	review_status	note
anthère	fr	PO_0009066	anther	exact_noun	reviewed_existing_po	French singular source form; exact bearer, not the flower heading.
anthères	fr	PO_0009066	anther	exact_noun	reviewed_existing_po	French plural source form; exact bearer, not the flower heading.
feuille caulinaire	fr	PO_0000013	cauline leaf	exact_noun_phrase	reviewed_existing_po	Use only the complete phrase; caulinaire alone also modifies inflorescences and other structures.
feuilles caulinaires	fr	PO_0000013	cauline leaf	exact_noun_phrase	reviewed_existing_po	Use only the complete phrase; do not fall back to stem.
follicule	fr	PO_0030105	follicle fruit	exact_noun	reviewed_existing_po	French botanical bearer for an existing PO fruit type; retain relational scope such as jeune fruit à follicules rather than inheriting the fruit context.
follicules	fr	PO_0030105	follicle fruit	exact_noun	reviewed_existing_po	French plural botanical bearer for an existing PO fruit type; do not flatten a containing-fruit context onto the follicles.
réceptacle	fr	PO_0009064	receptacle	exact_noun	reviewed_existing_po	French botanical bearer for the PO flower receptacle; overrides a broader inflorescence heading.
réceptacles	fr	PO_0009064	receptacle	exact_noun	reviewed_existing_po	French plural botanical bearer for the PO flower receptacle; overrides a broader inflorescence heading.
endocarpe	fr	PO_0009086	endocarp	exact_noun	reviewed_existing_po	French botanical bearer for the existing PO endocarp class; do not inherit a broad fruit heading.
endocarpes	fr	PO_0009086	endocarp	exact_noun	reviewed_existing_po	French plural botanical bearer for the existing PO endocarp class; do not inherit a broad fruit heading.
mésocarpe	fr	PO_0009087	mesocarp	exact_noun	reviewed_existing_po	French botanical bearer for the existing PO mesocarp class; do not inherit a broad fruit heading.
mésocarpes	fr	PO_0009087	mesocarp	exact_noun	reviewed_existing_po	French plural botanical bearer for the existing PO mesocarp class; do not inherit a broad fruit heading.
exocarpe	fr	PO_0009085	exocarp	exact_noun	reviewed_existing_po	French botanical bearer for the existing PO exocarp class; overrides a broad fruit heading.
exocarpes	fr	PO_0009085	exocarp	exact_noun	reviewed_existing_po	French plural botanical bearer for the existing PO exocarp class; overrides a broad fruit heading.
androcée	fr	PO_0009061	androecium	exact_noun	reviewed_existing_po	French botanical bearer for the existing PO androecium class; do not inherit a broad flower heading.
androcées	fr	PO_0009061	androecium	exact_noun	reviewed_existing_po	French plural botanical bearer for the existing PO androecium class; do not inherit a broad flower heading.
étendard	fr	PO_0025324	banner petal	exact_noun	reviewed_existing_po	French papilionoid-corolla bearer for the existing PO banner petal class; do not inherit a broad flower heading.
étendards	fr	PO_0025324	banner petal	exact_noun	reviewed_existing_po	French plural papilionoid-corolla bearer for the existing PO banner petal class; do not inherit a broad flower heading.
leaflet apex	en	FLOPO_0986000	leaflet apex	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
leaflet apices	en	FLOPO_0986000	leaflet apex	exact_noun_phrase	reviewed_flopo_local	Curator decision 2026-09-18 (Robert Hoehndorf); provisional FLOPO-local bearer, PO submission pending. Usable once the anatomy support module is released (ID present in config/flopo_id_registry.tsv).
