input_name	canonical	matched_name	match_type	wfo_id	ipni_id	gbif_id	accepted_canonical	n_segments
Ficus L.	Ficus L.		Exact	wfo-4000014727-2025-12	bare-name-327905-2	2984588	Ficus	469
Ficus	Ficus		Exact	wfo-4000014727-2025-12	bare-name-30003332-2	2301388	Ficus	80
Bauhinia	Bauhinia		Exact	wfo-4000004242-2025-12	bare-name-159901-3	12377828	Bauhinia	68
Streblus Lour.	Streblus Lour.		Exact	wfo-4000036824-2025-12	bare-name-121734-3	2984634	Streblus	65
LEGUMINOSAE	LEGUMINOSAE		NoMatch					56
Chisocheton	Chisocheton		Exact	wfo-4000007946-2025-12	bare-name-26706-1	7271238	Chisocheton	51
CYPERUS L.	CYPERUS L.		NoMatch					49
Begonia	Begonia		Exact	wfo-1000039520-2025-12	bare-name-30000392-2	2874710	Begonia	43
CELASTRACEAE	CELASTRACEAE		NoMatch					40
ALLOPHYLUS Linné	ALLOPHYLUS Linné		NoMatch					39
ORCHIDACEAE	ORCHIDACEAE		NoMatch					39
Meliaceae	Meliaceae		Exact	wfo-7000000373-2025-12	bare-name-30001419-2	2397	Meliaceae	38
Leguminosae	Leguminosae		Exact	wfo-4100000111-2025-12	bare-name-50000232-1	3960911	Fabaceae	37
Pauridiantha efferata N. Hallé	Pauridiantha efferata N. Hallé		Exact	wfo-0000265034-2025-12	bare-name-759449-1	2915410	Pauridiantha efferata	36
Fillaeopsis discophora Harms	Fillaeopsis discophora Harms		Exact	wfo-0000163602-2025-12	bare-name-495233-1	2981414	Fillaeopsis discophora	36
Dacryodes Normandii Aubr. et Pellegr.	Dacryodes Normandii Aubr. et Pellegr.		Exact	wfo-4000010610-2025-12	bare-name-30048865-2	3190454	Dacryodes	36
Ritchiea capparoides Britten	Ritchiea capparoides Britten		Exact	wfo-0000399060-2025-12	bare-name-147994-1	3871252	Ritchiea capparoides	35
Apocynaceae	Apocynaceae		Exact	wfo-7000000038-2025-12	bare-name-30000008-2	6701	Apocynaceae	35
Newtonia leucocarpa Gilbert & Boutique	Newtonia leucocarpa Gilbert & Boutique		Exact	wfo-0000168074-2025-12	bare-name-509677-1	5348475	Newtonia leucocarpa	34
Piptadeniastrum Brenan	Piptadeniastrum Brenan		Exact	wfo-4000029817-2025-12	bare-name-23249-1	2945195	Piptadeniastrum	34
Cathormion altissimum Hutchinson & Dandy	Cathormion altissimum Hutchinson & Dandy		Exact	wfo-0001061170-2025-12	bare-name-485467-1	2973002	Osodendron altissimum	34
RUBIACEAE	RUBIACEAE		NoMatch					33
Schumanniophyton magnificum Harms	Schumanniophyton magnificum Harms		Exact	wfo-0000307163-2025-12	bare-name-766234-1	2899643	Schumanniophyton magnificum	33
Ritchiea simplicifolia Oliver	Ritchiea simplicifolia Oliver		Exact	wfo-0000748124-2025-12	bare-name-50955663-1	7273471	Ritchiea simplicifolia	33
Piptadeniastrum africanum Brenan	Piptadeniastrum africanum Brenan		Exact	wfo-0000168772-2025-12	bare-name-514467-1	2945196	Piptadeniastrum africanum	33
Dacryodes igaganga Aubr. et Pellegr.	Dacryodes igaganga Aubr. et Pellegr.		Exact	wfo-0000636740-2025-12	bare-name-127893-1	3994143	Pachylobus igaganga	33
Tricalysia concolor N. Hallé	Tricalysia concolor N. Hallé		Exact	wfo-0000327197-2025-12	bare-name-768009-1	2900667	Empogona concolor	32
Tricalysia atherura N. Hallé	Tricalysia atherura N. Hallé		Exact	wfo-0000327165-2025-12	bare-name-767988-1	2900654	Tricalysia atherura	32
Tricalysia anomalura N. Hallé	Tricalysia anomalura N. Hallé		Exact	wfo-0000327163-2025-12	bare-name-767986-1	2900740	Tricalysia lasiodelphys anomalura	32
Ritchiea erecta Vogel ex Hooker	Ritchiea erecta Vogel ex Hooker		Exact	wfo-0000399067-2025-12	bare-name-148001-1	3873520	Ritchiea erecta	32
CYLICODISCUS Harms	CYLICODISCUS Harms		NoMatch					32
Cylicodiscus gabunensis Harms	Cylicodiscus gabunensis Harms		Exact	wfo-0000174888-2025-12	bare-name-489319-1	2977092	Cylicodiscus gabunensis	32
Tetrapleura tetraptera Taubert	Tetrapleura tetraptera Taubert		Exact	wfo-0000171351-2025-12	bare-name-521134-1	5347354	Tetrapleura tetraptera	32
Gramineae	Gramineae		Exact	bare-name-wfo-1000044561	bare-name-20005618-1	4270654	Gramineae	32
Tricalysia pangolina N. Hallé	Tricalysia pangolina N. Hallé		Exact	wfo-0000327339-2025-12	bare-name-768100-1	2900577	Tricalysia pangolina	31
Strombosia grandifolia Hooker fil.	Strombosia grandifolia Hooker fil.		Exact	wfo-0000505579-2025-12	bare-name-608471-1	8628625	Strombosia grandifolia	31
Newtonia griffoniana Baker f.	Newtonia griffoniana Baker f.		Exact	wfo-0000167659-2025-12	bare-name-509673-1	5348477	Newtonia griffoniana	31
Neorosea Testui N. Hallé	Neorosea Testui N. Hallé		Exact	wfo-4000025828-2025-12	bare-name-34986-1	2916595	Tricalysia	30
Olax subscorpioïdea subscorpioïdea Oliver	Olax subscorpioïdea subscorpioïdea Oliver		Exact	bare-name-wfo-1200024312		7367607	Olax subscorpioidea subscorpioidea	30
Olax latifolia Engler	Olax latifolia Engler		Exact	wfo-0000390212-2025-12	bare-name-608108-1	3685694	Olax latifolia	30
Entada pursaetha De Candolle	Entada pursaetha De Candolle		Exact	wfo-0000213123-2025-12	bare-name-162808-3	2976245	Entada rheedei rheedei	30
Moraceae	Moraceae		Exact	wfo-7000000395-2025-12	bare-name-30000043-2	6640	Moraceae	30
Argostemma F. Hallé	Argostemma F. Hallé		Exact	wfo-4000002992-2025-12	bare-name-50910971-1	2917123	Argostemma	29
Tarenna Jolinonii N. Hallé	Tarenna Jolinonii N. Hallé		Exact	wfo-4000037591-2025-12	bare-name-60031647-3	2895873	Tarenna	29
Tricalysia potamogala N. Hallé	Tricalysia potamogala N. Hallé		Exact	wfo-0000327355-2025-12	bare-name-768110-1	2900666	Tricalysia potamogala	29
Tricalysia idiura N. Hallé	Tricalysia idiura N. Hallé		Exact	wfo-0000327257-2025-12	bare-name-768050-1	2900698	Tricalysia idiura	29
Tetraberlinia Moreliana Aubréville	Tetraberlinia Moreliana Aubréville		Exact	wfo-4000037851-2025-12	bare-name-23680-1	2952737	Tetraberlinia	29
Strombosiopsis tetrandra Engler	Strombosiopsis tetrandra Engler		Exact	wfo-0000505560-2025-12	bare-name-608500-1	3686165	Strombosiopsis tetrandra	29
SAPINDACEAE1	SAPINDACEAE1		NoMatch					29
Salacia ferrifodina Hallé	Salacia ferrifodina Hallé		Exact	wfo-0001220835-2025-12	bare-name-931404-1	5579578	Salacia ferrifodina	29
Adenopodia scelerata Brenan	Adenopodia scelerata Brenan		Exact	wfo-0000187394-2025-12	bare-name-942439-1	2952363	Adenopodia scelerata	29
Calpocalyx ngouniensis Pellegrin	Calpocalyx ngouniensis Pellegrin		Exact	wfo-0000172813-2025-12	bare-name-483454-1	2932954	Calpocalyx ngouniensis	29
Gouania longipetala Hemsl.	Gouania longipetala Hemsl.		Exact	wfo-0000708313-2025-12	bare-name-717484-1	5602985	Gouania longipetala	29
Rubiaceae	Rubiaceae		Exact	wfo-7000000534-2025-12	bare-name-30000011-2	8798	Rubiaceae	29
Sacosperma	Sacosperma		Exact	wfo-4000033762-2025-12	bare-name-35286-1	2900411	Sacosperma	28
Pseudosabicea segregata N. Hallé	Pseudosabicea segregata N. Hallé		Exact	wfo-0000284235-2025-12	bare-name-761225-1	2917411	Sabicea segregata	28
Tricalysia obstetrix N. Hallé	Tricalysia obstetrix N. Hallé		Exact	wfo-0000327320-2025-12	bare-name-768092-1	2900696	Tricalysia obstetrix	28
Isomacrolohium Hallei Aubréville	Isomacrolohium Hallei Aubréville		NoMatch					28
Caesalpinia bonduc Roxb.	Caesalpinia bonduc Roxb.		Exact	wfo-0000214186-2025-12	bare-name-482646-1	2958671	Guilandina bonduc	28
