source_id	parser	path	language	version	source_url	license	license_status	redistributable	definition_policy	enabled	notes
fna_categories	fna_category_csv	glossary/Plant_glossary_term_category.csv	en	2013-07-29		not recorded	unknown	0	exclude	1	OTO-reviewed FNA category export; labels/categories only until licensing is documented
botanical_attributes	attributes_csv	glossary/GlossaryAttributes.txt	en	2014-03-19		not recorded	unknown	0	exclude	1	Definitions excluded from derived artifacts pending source and license audit
english_french_lexicon	bilingual_tsv	glossary/Lexicon-english-french.tsv	en|fr	2014-03		not recorded	unknown	0	exclude	1	Parallel terminology is retained; definitions excluded pending license audit
organ_vocabs	organ_vocabs	glossary/terms	en	2014-03		not recorded	unknown	0	exclude	1	Organ placement retained as contextual evidence; definitions excluded pending license audit
flora_gabon_glossaries	fdg_html_text	glossary/FdGglossaries.txt	fr	2014-03		not recorded	unknown	0	exclude	1	Flora du Gabon embedded glossaries; definitions excluded pending license audit
flopo_pato_replacements	flopo_value_mappings	config/flopo_value_pato_mappings.tsv	en	2026-07-13	https://github.com/pato-ontology/pato/pull/615	CC0-1.0	verified	1	include	1	Reviewed replacements merged into PATO
flopo_value_axioms	flopo_value_axioms	config/flopo_value_axioms.tsv	en	2026-07-13	https://github.com/pato-ontology/pato/pull/615	CC0-1.0	verified	1	include	1	Reviewed FLOPO-only unions and compositional botanical values
try_categorical_traits	external_pending	glossary/TRY_Categorical_Traits_Lookup_Table_2012_03_17_TestRelease.xlsx	en	2012-03-17	https://www.try-db.org/	not recorded	unknown	0	exclude	0	Species-state table rather than a glossary; enable only after scope and license review
upov_tgp14	external_pending		en	current	https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf	not recorded	pending	0	exclude	0	Authoritative botanical terminology candidate; download/version/license audit required
nybg_steere_glossary	external_pending		en	current	https://sweetgum.nybg.org/science/glossary/	not recorded	pending	0	exclude	0	Authoritative glossary candidate; API/export and license audit required
nsw_plantnet_glossary	external_pending		en	current	https://plantnet.rbgsyd.nsw.gov.au/floraonline.htm	not recorded	pending	0	exclude	0	Verified FloraOnline glossary entry point; download/version/license audit required
