surface_forms	corpus_frequency	standard	standard_designation	recognition_definition	definition_sources	ontology_recommendation	mapping_status	caveat	curator_decision	curator_notes
cream|creamy	162	RHS Colour Chart fifth edition; Saccardo Chromotaxia 1891	RHS 158A or 158B; Saccardo category 27	A source-qualified cream observation is recognized against its named standard: by closest match to RHS fifth-edition chip 158A or 158B under the stated comparison protocol, or by Saccardo category 27 and its cow-milk-cream exemplar.	EVID:UPOV_TGP14|EVID:SACCARDO_CHROMOTAXIA	Retain PATO:0104031 as generic cream and add the RHS and Saccardo standards as FLOPO-local sensu children; keep unrestricted creamy on the PATO parent.	sensu_hierarchy_required	The physical RHS chips are normative for the RHS child; display RGB values are not. Unqualified PATO:0104031 annotations remain on the generic parent; explicit RHS annotations use the FLOPO child.		
crimson|deep crimson	37	Wilson Horticultural Colour Chart; Textile Color Card Association of the USA; Ridgway 1912 comparison with the 1886 Nomenclature	Wilson H22; TCCA Crimson (USA) 65013; older Crimson approximately unprinted Plate I coordinate 1j	A source-qualified crimson observation is recognized by closest match to Wilson H22 or TCCA card 65013; Ridgway's comparison places the older 1886 name approximately at unprinted coordinate 1j and explicitly reports no matching 1912 chip.	EVID:RIDGWAY_1912|EVID:NIST_SP440|EVID:NIST_CENTROIDS	Create a generic PATO crimson umbrella plus Wilson H22 and TCCA 65013 FLOPO-local sensu children; retain the older Ridgway comparison as unresolved evidence rather than an operational child.	sensu_hierarchy_required	NIST places the Wilson and TCCA senses in different ISCC-NBS blocks, and the Ridgway approximate coordinate is not itself a printed prototype chip.		
scarlet|bright scarlet|pale scarlet|light scarlet	26	Saccardo Chromotaxia 1891; Ridgway 1912; Wilson Horticultural Colour Chart	Saccardo category 15; Ridgway Scarlet I 5; Wilson H19	A source-qualified scarlet observation is recognized by the named Saccardo category, Ridgway chip, or Wilson chart chip; these are preserved as separate operational senses.	EVID:SACCARDO_CHROMOTAXIA|EVID:RIDGWAY_1912|EVID:NIST_SP440|EVID:NIST_CENTROIDS	Create one open generic PATO scarlet umbrella and three FLOPO-local sensu children. Optionally expose a separately named closed union of the current reviewed children; do not close the generic umbrella.	sensu_hierarchy_required	Unqualified scarlet maps to the umbrella. Degree-modified forms require explicit modifier semantics. Sensu children are not disjoint merely because the standards differ.		
silver|silvery	22	Saccardo Chromotaxia 1891	category 1 silver-coloured	A surface is silver-coloured in this standard when it appears white and has metallic lustre, as represented by Saccardo category 1.	EVID:SACCARDO_CHROMOTAXIA	Model a FLOPO appearance composition using a pale/white colour component plus a reflectivity or metallic-lustre component; do not reduce all silvery structures to grey.	source_qualified_composite_prototype	Pale hairs, wax, bloom, and specular reflection can all cause a silvery field appearance. Saccardo's physical plate is historic and may have aged.		
gold|golden	15	Saccardo Chromotaxia 1891; Ridgway 1912/Hamly 1949	Saccardo category 22 gold-yellow; Ridgway Old Gold XVI 19-prime-i = Munsell 3.5Y 5.5/6.0	A surface is gold-yellow in Saccardo when it has the egg-yellow colour with added splendour; Old Gold in Ridgway is recognized by the named chip corresponding approximately to Munsell 3.5Y 5.5/6.0 in Hamly's key.	EVID:SACCARDO_CHROMOTAXIA|EVID:RIDGWAY_1912|DOI:10.1364/JOSA.39.000592	Keep unqualified golden as a FLOPO appearance composition or contextual source expression; a source-qualified Ridgway value could be proposed separately.	multiple_source_prototypes_not_one_generic_value	Golden may assert yellow hue, metallic/specular lustre, maturation, or drying. Hamly states that the conversion preserves legacy data and is not recommended for new observations.		
lemon|lemon-yellow	4	Saccardo Chromotaxia 1891; Ridgway 1912/Hamly 1949	Saccardo category 24 lemon-yellow; Ridgway Lemon Yellow IV 23 = Munsell 7.5Y 8.0/10.5	A surface is lemon-yellow in Saccardo when it matches the epicarp of Citrus medica or Citrus limon; in Ridgway it is recognized by chip IV 23, approximately Munsell 7.5Y 8.0/10.5.	EVID:SACCARDO_CHROMOTAXIA|EVID:RIDGWAY_1912|DOI:10.1364/JOSA.39.000592	Create a generic PATO lemon-yellow umbrella plus separate Saccardo category 24 and Ridgway IV 23 FLOPO-local sensu children; require colour context for lemon alone.	sensu_hierarchy_required	Natural citrus epicarp varies, and Ridgway's chip is a different reproducible historical standard.		
mahogany|mahogany-red	2	Ridgway 1912/Hamly 1949	Mahogany Red II 7k = Munsell 10R 3.5/6.0	A surface is mahogany red in this standard when its closest match is Ridgway Mahogany Red II 7k, corresponding approximately to Munsell 10R 3.5/6.0.	EVID:RIDGWAY_1912|DOI:10.1364/JOSA.39.000592	Create a generic PATO mahogany-red umbrella and a Ridgway II 7k FLOPO-local sensu child; use the child prototype when repairing FLOPO:0980154 only if the source names Ridgway.	sensu_hierarchy_required	The unqualified word mahogany can name wood or a broader family of brown-red colours.		
salmon|salmon-coloured	1	Saccardo Chromotaxia 1891; Ridgway 1912/Hamly 1949	Saccardo category 16 salmon-coloured; Ridgway Salmon Color XIV 9-prime-d = Munsell 5YR 7.5/6.0	A surface is salmon-coloured in Saccardo when it resembles salmon flesh; in Ridgway it is recognized by chip XIV 9-prime-d, approximately Munsell 5YR 7.5/6.0.	EVID:SACCARDO_CHROMOTAXIA|EVID:RIDGWAY_1912|DOI:10.1364/JOSA.39.000592	Create a generic PATO salmon-colour umbrella plus separate Saccardo and Ridgway FLOPO-local sensu children; model pale salmon-pink composition in FLOPO.	sensu_hierarchy_required	Salmon flesh varies and pale salmon-pink additionally contains a degree modifier and pink composition.		
chestnut|chestnut-brown|chestnut-red	6	Saccardo Chromotaxia 1891; Ridgway 1912/Hamly 1949	Saccardo category 10 chestnut-coloured; Ridgway Chestnut II 9m = Munsell 10R 3.0/5.0; Chestnut-Brown XIV 11-prime-m = 2.5YR 3.4/3.0	A surface is chestnut-coloured in Saccardo when it resembles the pericarp or seed coat of Castanea sativa; Ridgway distinguishes a redder Chestnut chip and a browner Chestnut-Brown chip with the stated Munsell approximations.	EVID:SACCARDO_CHROMOTAXIA|EVID:RIDGWAY_1912|DOI:10.1364/JOSA.39.000592	Create a generic PATO chestnut-colour umbrella plus Saccardo, Ridgway Chestnut, and Ridgway Chestnut-Brown FLOPO-local sensu children.	sensu_hierarchy_required	The two Ridgway chips demonstrate that chestnut alone does not determine one hue/value/chroma region.		
chocolate|chocolate-brown	2	Saccardo Chromotaxia 1891; Ridgway 1912/Hamly 1949	Saccardo category 10 chocolate-brown; Ridgway Chocolate XXVIII 7-double-prime-m = Munsell 2.5YR 2.6/2.5	A surface is chocolate-brown in Saccardo when it resembles roasted seeds of Theobroma cacao; in Ridgway it is recognized by chip XXVIII 7-double-prime-m, approximately Munsell 2.5YR 2.6/2.5.	EVID:SACCARDO_CHROMOTAXIA|EVID:RIDGWAY_1912|DOI:10.1364/JOSA.39.000592	Create a generic PATO chocolate-brown umbrella plus separate Saccardo and Ridgway FLOPO-local sensu children; require colour context for chocolate alone.	sensu_hierarchy_required	Cacao roast and commercial chocolate products vary in colour.		
