proposal_key	surface_family	class_role	preferred_label	intended_ontology	current_id	asserted_parent	definition_or_recognition_rule	standard	standard_designation	logical_pattern	definition_sources	annotation_policy	caveat	curator_decision	curator_notes
COLOR:cream	cream|creamy	lexical_umbrella	cream	PATO		PATO:0000014	A colour quality that satisfies at least one documented source-specific operational sense conventionally designated cream.			Primitive superclass of the cream sensu children; do not close it with an equivalent union.	EVID:UPOV_TGP14|EVID:SACCARDO_CHROMOTAXIA	Map an unqualified cream or creamy colour observation here.	Mint a new generic identifier; do not broaden the existing source-specific PATO:0104031 referent.		
COLOR:cream_rhs_5	cream|creamy	sensu_colour	cream sensu RHS Colour Chart fifth edition	PATO	PATO:0104031	COLOR:cream	A colour quality for which RHS Colour Chart fifth-edition chip 158A or 158B is the specimen's closest visual match against a white background under artificial daylight conforming to CIE D6500.	RHS Colour Chart fifth edition	158A or 158B	SubClassOf COLOR:cream; preserve the existing operational definition.	EVID:UPOV_TGP14	Use only when the observation or protocol names RHS fifth-edition chip 158A or 158B.	Rename the existing class and move unrestricted synonym creamy to the generic umbrella; migrate unsupported legacy annotations upward.		
COLOR:cream_saccardo_1891	cream|cream-coloured	sensu_colour	cream sensu Saccardo (1891)	PATO		COLOR:cream	A colour quality recognized according to Saccardo's Chromotaxia as category 27, represented by cow-milk cream and described as white tinged faintly with yellow.	Saccardo Chromotaxia 1891	category 27 cream-coloured	SubClassOf COLOR:cream.	EVID:SACCARDO_CHROMOTAXIA	Use only when Saccardo's nomenclature or category 27 is specified.	The natural exemplar varies; the historical plate/category is the source-specific reference.		
COLOR:crimson	crimson	lexical_umbrella	crimson	PATO		PATO:0000014	A colour quality that satisfies at least one documented source-specific operational sense conventionally designated crimson.			Primitive superclass of the crimson sensu children; do not close it with an equivalent union.	EVID:NIST_SP440|EVID:RIDGWAY_1912	Map an unqualified crimson colour observation here.	The 1886 Ridgway coordinate cited in the 1912 comparison is unprinted and has no matching 1912 chip, so it does not support another operational child.		
COLOR:crimson_wilson_h22	crimson	sensu_colour	crimson sensu Wilson Horticultural Colour Chart (1938/1940)	PATO		COLOR:crimson	A colour quality recognized according to the Wilson Horticultural Colour Chart by closest match to chip H22, which the NIST source concordance places in ISCC-NBS block 11 vivid red.	Wilson Horticultural Colour Chart 1938/1940	H22	SubClassOf COLOR:crimson.	EVID:NIST_SP440|EVID:NIST_CENTROIDS	Use only when the Wilson chart or H22 is specified.	ISCC-NBS block 11 is a concordance classification, not a replacement for the physical H22 prototype.		
COLOR:crimson_tcca_65013	crimson	sensu_colour	crimson sensu Textile Color Card Association of the USA	PATO		COLOR:crimson	A colour quality recognized according to the Textile Color Card Association of the USA by closest match to card 65013, which the NIST source concordance places in ISCC-NBS block 256 deep purplish red.	Textile Color Card Association of the USA	Crimson (USA) 65013	SubClassOf COLOR:crimson.	EVID:NIST_SP440|EVID:NIST_CENTROIDS	Use only when TCCA card 65013 is specified.	This sense demonstrates why crimson cannot be assigned one unrestricted red prototype.		
COLOR:scarlet	scarlet	lexical_umbrella	scarlet	PATO		PATO:0000014	A colour quality that satisfies at least one documented source-specific operational sense conventionally designated scarlet.			Primitive superclass of the scarlet sensu children; deliberately not EquivalentTo COLOR:scarlet_reviewed_union.	EVID:SACCARDO_CHROMOTAXIA|EVID:RIDGWAY_1912|EVID:NIST_SP440	Map an unqualified scarlet colour observation here.	Do not infer a narrower core-hue parent merely from the English label.		
COLOR:scarlet_saccardo_1891	scarlet	sensu_colour	scarlet sensu Saccardo (1891)	PATO		COLOR:scarlet	A colour quality recognized according to Saccardo's Chromotaxia as category 15, represented by minium and pomegranate flowers and described as vivid red inclining slightly toward orange.	Saccardo Chromotaxia 1891	category 15 scarlet	SubClassOf COLOR:scarlet.	EVID:SACCARDO_CHROMOTAXIA	Use only when Saccardo's nomenclature or category 15 is specified.	The physical plate and stated exemplars define this historical sense.		
COLOR:scarlet_ridgway_1912	scarlet	sensu_colour	scarlet sensu Ridgway (1912)	PATO		COLOR:scarlet	A colour quality recognized according to Ridgway's 1912 standard by the specimen's closest match to the physical Scarlet chip on plate I at coordinate 5.	Ridgway Color Standards and Color Nomenclature 1912	Scarlet I 5	SubClassOf COLOR:scarlet.	EVID:RIDGWAY_1912	Use only when Ridgway 1912 or chip I 5 is specified.	Ridgway distinguishes Scarlet I 5 from Scarlet-Red I 3.		
COLOR:scarlet_wilson_h19	scarlet	sensu_colour	scarlet sensu Wilson Horticultural Colour Chart (1938/1940)	PATO		COLOR:scarlet	A colour quality recognized according to the Wilson Horticultural Colour Chart by closest match to chip H19, which the NIST source concordance places in ISCC-NBS block 11 vivid red.	Wilson Horticultural Colour Chart 1938/1940	H19	SubClassOf COLOR:scarlet.	EVID:NIST_SP440|EVID:NIST_CENTROIDS	Use only when the Wilson chart or H19 is specified.	ISCC-NBS block 11 is a concordance classification, not a replacement for the physical H19 prototype.		
