evidence_id	title	doi_or_identifier	url	local_file	sha256	access_status	claims_verified	verification_date
EVID:UPOV_TGP14	UPOV TGP/14/6: Glossary of Terms Used in UPOV Documents	UPOV:TGP/14/6	https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf	scratchpad/botanical-evidence-2026-07-14/upov-tgp-14.pdf	d33fa52c28637ee45dbc276954501aceab0d4a985e14679a58830e4f848f4b66	publicly downloadable	Campanulate has an inflated tube widening distally; filiform is thread-like; hastate has triangular basal lobes directed outwards and is distinguished from sagittate; pubescent/pubescence is synonymous with hairy/hairiness in plant-character terminology; reflexed means an angle over 180 degrees or an abrupt abaxial/downward bend and is distinguished from recurved; spreading is directed outward; ascending is routed to gradually upward orientation; entire is an undivided, untoothed, unlobed margin; sessile means stalkless and directly attached; viscid means sticky or gummy; lanate and sericeous specify distinct trichome arrangements.	2026-07-14
EVID:MOBOT_CAMPANULATE	Missouri Botanical Garden Botanical Latin: campanulatus	MOBOT:campanulatus	https://www.mobot.org/mobot/latindict/keyDetail.aspx?keyWord=campanulatus	scratchpad/botanical-evidence-2026-07-14/mobot-campanulatus.html	5404fd2d3beecbf26fbd7f844b10051b45d94d80ad2692703b1bd9bc38a07c84	public web page	Campanulate denotes a bell-like form with a broadened rim and is distinguished from neighboring tubular forms.	2026-07-14
EVID:MOBOT_FILIFORM	Missouri Botanical Garden Botanical Latin: filiform	MOBOT:filiform	https://www.mobot.org/mobot/latindict/keyDetail.aspx?keyWord=filiform	scratchpad/botanical-evidence-2026-07-14/mobot-filiform.html	e925bc4adc2276e47073a731dbe76fc8371dcc7b3baf1466e5c0da178923e63d	public web page	Filiform denotes a thread-like, slender, elongate form; the cited Fernald gloss additionally specifies long, slender, and terete.	2026-07-14
EVID:MOBOT_HASTATE	Missouri Botanical Garden Botanical Latin: hastatus	MOBOT:hastatus	https://www.mobot.org/mobot/latindict/keyDetail.aspx?keyWord=hastatus	scratchpad/botanical-evidence-2026-07-14/mobot-hastatus.html	575584f44129bdbf3693b3333a515f628f8a29c6dadf1e8353cfaaa5eb3bd8f8	public web page	Hastate has approximately triangular basal lobes directed outward at wide angles.	2026-07-14
EVID:PLANTNET_HASTATE	PlantNET New South Wales Flora glossary: hastate	PlantNET:hastate	https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?glossary=yes&ill=Fig.+7+I&page=nswfl&term=hastate	scratchpad/botanical-evidence-2026-07-14/plantnet-hastate.html	32c395ba62b82c730eae0f65fc53eec6e00b633644a18e5f1bead34d81a62c89	public web page	A hastate leaf has a narrow pointed lamina with basal lobes spreading roughly at right angles to the petiole.	2026-07-14
EVID:NIST_SP440	Color: Universal Language and Dictionary of Names	DOI:10.6028/NBS.SP.440	https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nbsspecialpublication440.pdf	scratchpad/botanical-evidence-2026-07-14/nist-sp-440.pdf	7833b26f12e2edc3d250e47d71db1e23f25dd7a5ca614afd17996e4e4134e020	US government publication	The dictionary maps crimson and scarlet to multiple ISCC-NBS blocks depending on the source; neither word has one source-independent block.	2026-07-14
EVID:NIST_CENTROIDS	The ISCC-NBS Method of Designating Colors and a Dictionary of Color Names	DOI:10.6028/jres.061.035	https://nvlpubs.nist.gov/nistpubs/jres/61/jresv61n5p427_A1b.pdf	scratchpad/botanical-evidence-2026-07-14/kelly-1958-iscc-nbs-centroids.pdf	55cab012e1c368831776d7e0243514e773b2677425af48a0e09504027209c1a5	US government publication	Published central prototypes include vivid red and vivid reddish orange blocks, but those block prototypes do not by themselves define the full botanical uses of crimson or scarlet.	2026-07-14
EVID:AOS_ORCHID_GLOSSARY	American Orchid Society Orchid Glossary	AOS:OrchidGlossary	https://www.aos.org/orchids/orchid-basics/orchid-glossary	scratchpad/botanical-evidence-2026-07-14/aos-orchid-glossary-2022.pdf	4ebeeda34ab01707ef2446f0f4cf3366b21ce50a9754bd952b2de0f7483479af	publicly downloadable	An orchid labellum is the modified petal called the lip; a pseudobulb is a thickened stem portion rather than a true bulb; alate means winged, having wings or wing-like parts.	2026-07-14
EVID:AOS_DOWNY	American Orchid Society Orchid Glossary: downy	AOS:OrchidGlossary-downy	https://www.aos.org/orchids/orchid-basics/orchid-glossary	scratchpad/botanical-evidence-2026-07-14/aos-orchid-glossary-2022.pdf	4ebeeda34ab01707ef2446f0f4cf3366b21ce50a9754bd952b2de0f7483479af	publicly downloadable	Downy means covered with very short, weak, soft hairs.	2026-07-15
EVID:ORCHID_LABELLUM_REVIEW	MADS-Box Genes and Their Role in Orchid Development	PMCID:PMC6795766	https://pmc.ncbi.nlm.nih.gov/articles/PMC6795766/	scratchpad/botanical-evidence-2026-07-14/orchid-labellum-development-pmc6795766.html	1cc82a6ef0e50423996c96caf11539f35714a066b617df670e138e015de9fd2b	open-access full text	The orchid perianth has an inner whorl of three petals, one of which is the specialized lip or labellum.	2026-07-15
