po_id	po_label	pato_id	pato_label	proposed_label	review_scope	pato_is_attribute	evidence_count	origins	example_1	example_2	example_3	review_status	reviewer	review_date	review_notes
PO_0020104	leaf sheath	PATO_0000122	length	leaf sheath length	reusable_trait	true	1	missing_bearer:1	gaine foliaire … long 5–8 mm			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
FLOPO_0980978	orchid labellum	PATO_0000701	smooth	orchid labellum smooth	reusable_phenotype	false	8	missing_bearer:8	labelle … lisse			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:8); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
FLOPO_0980978	orchid labellum	PATO_0001334	diameter	orchid labellum diameter	reusable_trait	true	1	missing_bearer:1	labelle … environ 4 mm de diamètre			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030100	legume fruit	PATO_0000622	erect	legume fruit erect	reusable_phenotype	false	15	missing_bearer:14|saudi_ncvc:1	gousses … dressées	Pods … erect	Pod … erect	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:14|saudi_ncvc:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030103	drupe fruit	PATO_0000915	thickness	drupe fruit thickness	reusable_trait	true	2	missing_bearer:2	drupes … 1,2–1,7 cm d'épaisseur	drupes … 2,5 cm d'épaisseur		approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:2); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030100	legume fruit	PATO_0001436	sessile (sensu botany)	legume fruit sessile (sensu botany)	reusable_phenotype	false	72	missing_bearer:72	gousses … sessiles	Pods … sessile	Pod … sessile	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:72); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0030105	follicle fruit	PATO_0000915	thickness	follicle fruit thickness	reusable_trait	true	1	missing_bearer:1	follicules …  1 cm d'épaisseur			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0005005	shoot axis internode	PATO_0000921	width	shoot axis internode width	reusable_trait	true	1	missing_bearer:1	Entrenoeuds … 4-9 mm de largeur			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0020003	plant ovule	PATO_0000622	erect	plant ovule erect	reusable_phenotype	false	12	missing_bearer:12	Ovule … dressé	Ovules … dressés	ovules … erect	approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:12); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
PO_0009078	pistillode	PATO_0002358	ridged	pistillode ridged	reusable_phenotype	false	1	missing_bearer:1	pistillode … côtelé			approved	https://orcid.org/0000-0001-8149-5890	2026-09-18	Surfaced 2026-09-18 (missing_bearer:1); passed strict sanity screen; Approved by Robert Hoehndorf (all pairs surfaced 2026-09-18, after strict sanity screen; exclusions in scratchpad/pair-approvals-20260918/excluded.tsv).
