proposal_set	scope	decision	curator_orcid	decision_date	evidence
curation/botanical_colour_sensu_proposals.tsv	all lexical_umbrella rows in PATO	accept	0000-0001-8149-5890	2026-07-15	User correction: PATO contains the generic colours only.
curation/botanical_colour_sensu_proposals.tsv	all sensu_colour rows as FLOPO-local subclasses of their generic PATO colour	accept	0000-0001-8149-5890	2026-07-15	User correction: all sensu classes live in FLOPO only.
curation/flopo_top_level_and_local_extension_proposals.tsv	all rows	accept	0000-0001-8149-5890	2026-07-15	User statement: rest also approved
curation/botanical_colour_sensu_proposals.tsv	COLOR:scarlet_reviewed_union	defer_optional	0000-0001-8149-5890	2026-07-15	The generic open superclass and sensu children are sufficient unless a consumer requires a named closed view.
curation/pubescent_migration.tsv	all 154 obsolete-and-replace rows	accept	0000-0001-8149-5890	2026-07-15	User statement: rest also approved; earlier instruction explicitly required obsoleting the incorrect puberty classes and creating corrected replacements.
curation/botanical_concept_proposals.tsv	reviewer-confirmed field edits in scratchpad/qwen-concept-proposal-review-20260917/applied-edits.tsv (35 edits)	accept	0000-0001-8149-5890	2026-09-18	User statement 2026-09-18: 'I approve scratchpad/qwen-concept-proposal-review-20260917/ as recommended.' Recorded by scratchpad/qwen-concept-proposal-review-20260917/apply_curator_decisions.py.
curation/botanical_concept_proposals.tsv	171 rows with recommended_decision accept in scratchpad/qwen-concept-proposal-review-20260917/opus-curator-packet.tsv (packet rows 1,3,4,5,7,8,9,10,14,22,23,24,25,26,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,67,68,70,71,72,74,75,76,77,79,80,81,83,84,86,87,88,89,90,91,92,93,94,95,96,102,104,105,107,108,109,110,111,112,114,115,118,119,120,122,123,124,125,127,128,129,131,132,135,136,137,139,140,141,143,145,146,147,148,150,151,153,155,157,158,159,160,162,163,164,165,166,167,168,170,171,175,176,177,178,179,180,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,206,207,208,209,210,211,212,214,215,216,218,220,222,224,225,226,227,228,229,230)	accept	0000-0001-8149-5890	2026-09-18	User statement 2026-09-18: 'I approve scratchpad/qwen-concept-proposal-review-20260917/ as recommended.' Includes confirmation of reject_as_noise rows and closure of already_implemented rows against released classes.
curation/botanical_concept_proposals.tsv	35 rows with recommended_decision accept_with_revision in scratchpad/qwen-concept-proposal-review-20260917/opus-curator-packet.tsv (packet rows 2,6,15,16,17,19,20,21,46,62,63,65,66,69,73,78,82,85,97,98,99,101,103,106,113,121,126,130,134,138,142,169,174,221,223)	accept_with_revision	0000-0001-8149-5890	2026-09-18	User statement 2026-09-18: 'I approve scratchpad/qwen-concept-proposal-review-20260917/ as recommended.' Final label, definition, parents and part_of taken from the packet.
curation/botanical_concept_proposals.tsv	20 rows with recommended_decision defer in scratchpad/qwen-concept-proposal-review-20260917/opus-curator-packet.tsv (packet rows 11,12,13,18,27,28,64,100,116,117,133,149,154,156,161,172,181,205,213,219)	defer	0000-0001-8149-5890	2026-09-18	User statement 2026-09-18: 'I approve scratchpad/qwen-concept-proposal-review-20260917/ as recommended.' Rows stay open pending the upstream or definition blocker named in the packet.
curation/botanical_concept_proposals.tsv	4 rows with recommended_decision reject in scratchpad/qwen-concept-proposal-review-20260917/opus-curator-packet.tsv (packet rows 144,152,173,217)	reject	0000-0001-8149-5890	2026-09-18	User statement 2026-09-18: 'I approve scratchpad/qwen-concept-proposal-review-20260917/ as recommended.'
