proposal_key	action	label	target_id	is_a	part_of	has_part	definition	exact_synonyms_en	exact_synonyms_fr	related_synonyms_en	evidence	po_check	note
FLOPO_LOCAL:leaflet_apex	new_flopo_local	leaflet apex		PO_0025001	PO_0020049		A cardinal organ part (PO:0025001) that is the distal portion of a leaflet (PO:0020049), farthest from the point at which the leaflet is attached to its petiolule or to the rachis.	leaflet apices	sommet de la foliole|sommet des folioles|apex de la foliole	leaflet tip	EVID:NYBG_APEX	PO v2026-01-09 has leaflet PO:0020049, leaflet margin PO:0006034, leaflet tendril PO:0025362 and leaflet primordium PO:0025481 only; leaf apex PO:0020137 is a phyllome apex and a leaflet is not a phyllome in PO.	Modelled on PO leaflet margin (is_a PO:0025001, part_of PO:0020049). Source: scratchpad/flopo-claude-recovery-20260918/shape-tiebreak/leaflet-classes-proposal.tsv (120 corrected spans).
FLOPO_LOCAL:leaflet_base	new_flopo_local	leaflet base		PO_0025001	PO_0020049		A cardinal organ part (PO:0025001) that is the proximal portion of a leaflet (PO:0020049), adjacent to the point at which the leaflet is attached to its petiolule (PO:0020050) or to the rachis.	leaflet bases	base de la foliole|base des folioles		EVID:NYBG_BASE	No leaflet base in PO v2026-01-09; leaf base PO:0020040 is a phyllome base.	Modelled on PO leaflet margin. Source: leaflet-classes-proposal.tsv (11 corrected spans).
FLOPO_LOCAL:leaflet_lamina	new_flopo_local	leaflet lamina		PO_0025513	PO_0020049		A plant organ lamina (PO:0025513) that is the expanded, flattened portion of a leaflet (PO:0020049), exclusive of its petiolule (PO:0020050) if present.	leaflet blade|leaflet blades|leaflet laminae	limbe de la foliole|limbe des folioles|limbe foliolaire			No leaflet lamina in PO v2026-01-09; leaf lamina PO:0020039 is a phyllome lamina of a leaf.	Source: leaflet-classes-proposal.tsv; about 790 leaflet-context PO_0020039 assertions are candidates for re-bearing after review.
FLOPO_LOCAL:indumentum	new_flopo_local	indumentum		PO_0009011	PO_0005679	PO_0000282	A plant structure (PO:0009011) that is the collective covering of trichomes (PO:0000282) borne on the epidermis (PO:0005679) of a plant structure, considered as a whole.	indument|indumenta|hair covering	indument|revêtement pileux	vestiture	EVID:NYBG_TRICHOME|EVID:NYBG_HAIR	PO v2026-01-09 has trichome PO:0000282 and organ-specific trichome classes (leaf trichome, stem trichome, ...) but no collective trichome covering; pubescence is only a RELATED synonym of seed trichome PO:0004511.	Bearer for pilosity/indumentum values stated of the covering (missing_bearer residual: hair/indumentum with pilosity, 1,717 spans). Not a collective plant structure (PO:0025497), which requires organs or cardinal organ parts.
FLOPO_LOCAL:perianth_lobe	new_flopo_local	perianth lobe		PO_0025001	PO_0009058		A cardinal organ part (PO:0025001) that is one of the free distal divisions of a perianth (PO:0009058) whose members are connate in their lower part.	perianth lobes|perianth-lobe|perianth-lobes	lobe du périanthe|lobes du périanthe	tepal lobe	EVID:NYBG_LOBE|EVID:NYBG_COROLLA_TUBE	No perianth, calyx or corolla lobe in PO v2026-01-09; compound tepal lobe is only a NARROW synonym of tepal apex PO:0025143; phyllome lamina lobe PO:0025514 is a marginal projection of a lamina, not the free limb of a connate whorl.	Parent of calyx lobe and corolla lobe.
FLOPO_LOCAL:calyx_lobe	new_flopo_local	calyx lobe		FLOPO_LOCAL:perianth_lobe	PO_0009060		A perianth lobe that is one of the free distal divisions of a calyx (PO:0009060) whose sepals (PO:0009031) are connate in their lower part.	calyx lobes|calyx-lobe|calyx-lobes	lobe du calice|lobes du calice|lobe calicinal|lobes calicinaux		EVID:NYBG_LOBE	Absent from PO v2026-01-09 (label, synonyms and near matches checked).	
FLOPO_LOCAL:corolla_lobe	new_flopo_local	corolla lobe		FLOPO_LOCAL:perianth_lobe	PO_0009059		A perianth lobe that is one of the free distal divisions of a corolla (PO:0009059) whose petals (PO:0009032) are connate in their lower part.	corolla lobes|corolla-lobe|corolla-lobes	lobe de la corolle|lobes de la corolle|lobe corollin|lobes corollins		EVID:NYBG_LOBE|EVID:NYBG_COROLLA_TUBE	Absent from PO v2026-01-09 (label, synonyms and near matches checked).	The corolla tube is FLOPO:0985018.
MAP:leaf_lobe	map_existing_po	leaf lamina lobe	PO_0025517									PO:0025517 leaf lamina lobe (is_a phyllome lamina lobe PO:0025514).	Leaf lobe maps to PO; no class created.
MAP:adaxial_leaf_surface	map_existing_po	leaf lamina adaxial epidermis	PO_0000050									PO:0000050 is defined as the epidermis that covers the adaxial/upper surface of a leaf lamina; PO uses epidermis for surfaces (cigar leaf abaxial epidermis PO:0025135 has EXACT synonym cigar leaf dorsal surface).	Upper/adaxial leaf (lamina) surface maps to PO; no surface class created.
MAP:abaxial_leaf_surface	map_existing_po	leaf lamina abaxial epidermis	PO_0000049									PO:0000049 is defined as the epidermis that covers the abaxial/lower surface of a leaf lamina.	Lower/abaxial leaf (lamina) surface maps to PO; no surface class created.
MAP:awn	map_existing_po	awn	PO_0025349									PO:0025349 awn (EXACT synonym arista), part_of spikelet: glume, lemma and palea awns.	Grass awns map to PO; pappus awns map to pappus element PO:0025394 (NARROW synonym pappus awn). No class created.
MAP:bristle	map_existing_po	trichome	PO_0000282									bristle is a BROAD synonym of trichome PO:0000282 and of awn PO:0025349; pappus bristle is a NARROW synonym of pappus element PO:0025394.	Sense-split by context; no class created.
MAP:scale	map_existing_po	trichome	PO_0000282									scale is a NARROW synonym of trichome PO:0000282 (lepidote scale) and of bract PO:0009055; PO also has scale leaf PO:0006003, bud scale leaf PO:0020054 (EXACT bud scale), megasporophyll PO:0009027 (NARROW ovuliferous scale) and pappus element PO:0025394 (NARROW pappus scale).	Sense-split by context; no class created.
