flopo_id	label	change	old_colours	new_colours	note
FLOPO:0980085	obsolete greenish	obsoleted		FLOPO:0988006	oboInOwl:consider
FLOPO:0980086	obsolete reddish	obsoleted		FLOPO:0988001	oboInOwl:consider
FLOPO:0980087	obsolete pale lilac	obsoleted		FLOPO:0988008	oboInOwl:consider
FLOPO:0980089	obsolete greyish	obsoleted		FLOPO:0988010	oboInOwl:consider
FLOPO:0980092	obsolete silvery	obsoleted		FLOPO:0988009	oboInOwl:consider
FLOPO:0980094	obsolete yellowish	obsoleted		FLOPO:0988004	oboInOwl:consider
FLOPO:0980097	obsolete pinkish	obsoleted		FLOPO:0988000	oboInOwl:consider
FLOPO:0980100	obsolete purplish	obsoleted		FLOPO:0988008	oboInOwl:consider
FLOPO:0980101	obsolete pale greenish	obsoleted		FLOPO:0988006	oboInOwl:consider
FLOPO:0980104	obsolete pure white	obsoleted		FLOPO:0988009	oboInOwl:consider
FLOPO:0980105	obsolete scarlet	obsoleted		FLOPO:0988001	oboInOwl:consider
FLOPO:0980106	obsolete crimson	obsoleted		FLOPO:0988001	oboInOwl:consider
FLOPO:0980109	obsolete bright scarlet	obsoleted		FLOPO:0988001	oboInOwl:consider
FLOPO:0980110	obsolete flushed with pink	obsoleted		FLOPO:0988000	oboInOwl:consider
FLOPO:0980111	obsolete deep lilac	obsoleted		FLOPO:0988008	oboInOwl:consider
FLOPO:0980112	obsolete bluish	obsoleted		FLOPO:0988007	oboInOwl:consider
FLOPO:0980116	obsolete deep crimson	obsoleted		FLOPO:0988001	oboInOwl:consider
FLOPO:0980117	obsolete pale cream	obsoleted		FLOPO:0988019	oboInOwl:consider
FLOPO:0980119	obsolete pale scarlet	obsoleted		FLOPO:0988001	oboInOwl:consider
FLOPO:0980127	obsolete blackish	obsoleted		FLOPO:0988011	oboInOwl:consider
FLOPO:0980128	obsolete deep magenta	obsoleted		FLOPO:0988001	oboInOwl:consider
FLOPO:0980130	obsolete brownish	obsoleted		FLOPO:0988003	oboInOwl:consider
FLOPO:0980132	obsolete pale pinkish	obsoleted		FLOPO:0988000	oboInOwl:consider
FLOPO:0980153	obsolete light scarlet	obsoleted		FLOPO:0988001	oboInOwl:consider
FLOPO:0980154	obsolete mahogany-red	obsoleted		PATO:0001287	oboInOwl:consider
FLOPO:0980159	obsolete lemon-yellow	obsoleted		FLOPO:0988004	oboInOwl:consider
FLOPO:0980167	obsolete apricot-yellow	obsoleted		FLOPO:0988004	oboInOwl:consider
FLOPO:0980174	obsolete golden	obsoleted		FLOPO:0988004	oboInOwl:consider
FLOPO:0980185	obsolete golden-yellow	obsoleted		FLOPO:0988004	oboInOwl:consider
FLOPO:0980189	obsolete slightly blue-green	obsoleted		PATO:0104020	oboInOwl:consider
FLOPO:0980201	obsolete pale yellowish	obsoleted		FLOPO:0988004	oboInOwl:consider
FLOPO:0980202	obsolete very red	obsoleted		FLOPO:0988013	oboInOwl:consider
FLOPO:0980204	obsolete brilliant deep blue	obsoleted		PATO:0104064	oboInOwl:consider
