flopo_id	label	signature	bearer_po_id	category	new_parent	classification_method	review_status
FLOPO_0000001	stem phenotype	PHENO|PO_0009047	PO:0009047	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000004	leaf phenotype	PHENO|PO_0025034	PO:0025034	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000007	leaf tendril phenotype	PHENO|PO_0025361	PO:0025361	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000010	bark phenotype	PHENO|PO_0004518	PO:0004518	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000013	petal phenotype	PHENO|PO_0009032	PO:0009032	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000016	shoot apex phenotype	PHENO|PO_0000037	PO:0000037	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000019	corolla phenotype	PHENO|PO_0009059	PO:0009059	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000022	involucre phenotype	PHENO|PO_0009100	PO:0009100	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000024	axillary bud meristem phenotype	PHENO|PO_0000232	PO:0000232	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000027	testa phenotype	PHENO|PO_0020057	PO:0020057	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000030	fruit phenotype	PHENO|PO_0009001	PO:0009001	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000034	inflorescence phenotype	PHENO|PO_0009049	PO:0009049	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000039	root phenotype	PHENO|PO_0009005	PO:0009005	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000042	calyx phenotype	PHENO|PO_0009060	PO:0009060	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000045	leaflet phenotype	PHENO|PO_0020049	PO:0020049	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000048	lamina phenotype	PHENO|PO_0025060	PO:0025060	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000051	vascular leaf phenotype	PHENO|PO_0009025	PO:0009025	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000056	keel phenotype	PHENO|PO_0025327	PO:0025327	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000066	vascular bundle phenotype	PHENO|PO_0005020	PO:0005020	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000071	lower glume phenotype	PHENO|PO_0006002	PO:0006002	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000074	seed phenotype	PHENO|PO_0009010	PO:0009010	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000083	ovary wall phenotype	PHENO|PO_0005022	PO:0005022	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000086	central zone phenotype	PHENO|PO_0000224	PO:0000224	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000094	central spike of tassel inflorescence phenotype	PHENO|PO_0006324	PO:0006324	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000097	perianth phenotype	PHENO|PO_0009058	PO:0009058	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000100	branch phenotype	PHENO|PO_0025073	PO:0025073	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000107	stigma phenotype	PHENO|PO_0009073	PO:0009073	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000111	bract phenotype	PHENO|PO_0009055	PO:0009055	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000117	petiole phenotype	PHENO|PO_0020038	PO:0020038	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000122	flower phenotype	PHENO|PO_0009046	PO:0009046	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000129	ovule primordium phenotype	PHENO|PO_0000018	PO:0000018	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000137	bud phenotype	PHENO|PO_0000055	PO:0000055	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000154	style phenotype	PHENO|PO_0009074	PO:0009074	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000158	glume phenotype	PHENO|PO_0009039	PO:0009039	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000167	stipule phenotype	PHENO|PO_0020041	PO:0020041	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000172	leaf vascular system phenotype	PHENO|PO_0000036	PO:0000036	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000175	tassel sessile spikelet phenotype	PHENO|PO_0006311	PO:0006311	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000188	stamen phenotype	PHENO|PO_0009029	PO:0009029	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000194	rhizome phenotype	PHENO|PO_0004542	PO:0004542	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000198	filament phenotype	PHENO|PO_0009067	PO:0009067	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000201	pedicel phenotype	PHENO|PO_0009052	PO:0009052	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000224	anther phenotype	PHENO|PO_0009066	PO:0009066	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000229	spikelet phenotype	PHENO|PO_0009051	PO:0009051	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000232	sepal phenotype	PHENO|PO_0009031	PO:0009031	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000237	banner petal phenotype	PHENO|PO_0025324	PO:0025324	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000265	lemma phenotype	PHENO|PO_0009037	PO:0009037	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0000272	root tip phenotype	PHENO|PO_0000025	PO:0000025	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
