po_id	po_label	pato_id	pato_label	proposed_label	review_scope	pato_is_attribute	evidence_count	taxon_count	source_document_count	numeric_count	qualified_count	example_1	example_2	example_3	review_status	reviewer	review_date	review_notes
PO_0000003	whole plant	PATO_0000119	height	whole plant height	reusable_trait	true	420	412	31	420	8				approved	https://orcid.org/0000-0001-8149-5890	2026-07-17	Approved by Robert Hoehndorf as reusable, irrespective of current corpus reuse count.
PO_0030112	pedicel	PATO_0000122	length	pedicel length	reusable_trait	true	397	339	33	397	7				approved	https://orcid.org/0000-0001-8149-5890	2026-07-17	Approved by Robert Hoehndorf as reusable, irrespective of current corpus reuse count.
PO_0009072	plant ovary	PATO_0000122	length	plant ovary length	reusable_trait	true	241	221	23	241	3				approved	https://orcid.org/0000-0001-8149-5890	2026-07-17	Approved by Robert Hoehndorf as reusable, irrespective of current corpus reuse count.
PO_0009072	plant ovary	PATO_0000453	glabrous	plant ovary glabrous	reusable_phenotype	false	236	234	30	0	5				approved	https://orcid.org/0000-0001-8149-5890	2026-07-17	Approved by Robert Hoehndorf as reusable, irrespective of current corpus reuse count.
PO_0020038	petiole	PATO_0001320	pubescent hair	petiole pubescent hair	reusable_phenotype	false	208	200	26	0	19				approved	https://orcid.org/0000-0001-8149-5890	2026-07-17	Approved by Robert Hoehndorf as reusable, irrespective of current corpus reuse count.
PO_0009046	flower	PATO_0001436	sessile (sensu botany)	flower sessile (sensu botany)	reusable_phenotype	false	188	178	30	0	9				approved	https://orcid.org/0000-0001-8149-5890	2026-07-17	Approved by Robert Hoehndorf as reusable, irrespective of current corpus reuse count.
PO_0030112	pedicel	PATO_0001320	pubescent hair	pedicel pubescent hair	reusable_phenotype	false	159	153	25	0	17				approved	https://orcid.org/0000-0001-8149-5890	2026-07-17	Approved by Robert Hoehndorf as reusable, irrespective of current corpus reuse count.
PO_0009072	plant ovary	PATO_0001320	pubescent hair	plant ovary pubescent hair	reusable_phenotype	false	157	155	22	0	9				approved	https://orcid.org/0000-0001-8149-5890	2026-07-17	Approved by Robert Hoehndorf as reusable, irrespective of current corpus reuse count.
PO_0009032	petal	PATO_0000921	width	petal width	reusable_trait	true	140	109	5	140	1				approved	https://orcid.org/0000-0001-8149-5890	2026-07-17	Approved by Robert Hoehndorf as reusable, irrespective of current corpus reuse count.
PO_0030112	pedicel	PATO_0000453	glabrous	pedicel glabrous	reusable_phenotype	false	114	111	28	0	6				approved	https://orcid.org/0000-0001-8149-5890	2026-07-17	Approved by Robert Hoehndorf as reusable, irrespective of current corpus reuse count.
