signature	po_id	po_label	pato_id	pato_label	label	definition	parent	pair_status	pair_source	assertions	accepted_assertions	taxa	pages	example_1	example_2	decision	reason
EQ|PO_0030091|PATO_0000467	PO_0030091	capsule fruit	PATO_0000467	present	capsule fruit present	A flora phenotype in which a(n) capsule fruit exhibits the quality present.	PHENO|PO_0030091	allowed	curator_review_2026-09-18	57	57	57	15|29|39|40|48|49|69|70|84|94|96|97|101|102|103|104|105|107|109|111|112|148|149|150|176|177|178|181|185|199|205|206|212|213|216|220|221|228|230|239|243|244|245|246|253|254|258|267|268|279|281|285|286|287|288|303|304	Avicennia marina (p15): fruit a small capsule	Commiphora gileadensis (L.) C.Chr. (p29): a subglobose capsule	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030100|PATO_0000467	PO_0030100	legume fruit	PATO_0000467	present	legume fruit present	A flora phenotype in which a(n) legume fruit exhibits the quality present.	PHENO|PO_0030100	allowed	curator_review_2026-09-18	37	36	37	52|53|54|55|57|60|64|65|66|67|179|186|187|188|189|190|191|192|193|194|195|196|197|198|222|289|290|291|292|293|294|295|296|297|298|299|300	Prosopis cineraria (L.) Druce (p52): fruit a pod	Prosopis koelziana Burkart (p53): fruit a pod	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030115|PATO_0000467	PO_0030115	raceme inflorescence	PATO_0000467	present	raceme inflorescence present	A flora phenotype in which a(n) raceme inflorescence exhibits the quality present.	FLOPO_0980958	allowed	curator_review_2026-09-18	37	36	37	16|23|24|26|35|36|48|50|56|70|101|105|116|117|143|146|147|150|154|155|165|192|195|197|198|206|216|228|246|247|248|280|291|292|293|299|300	Pistacia falcata Becc. (p16): inflorescences racemose	Tarchonanthus camphoratus L. (p23): racemose	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000003|PATO_0001731	PO_0000003	whole plant	PATO_0001731	deciduous (plant)	whole plant deciduous (plant)	A flora phenotype in which a(n) whole plant exhibits the quality deciduous (plant).	FLOPO_0000089	allowed	curator_review_2026-09-18	29	25	29	16|17|20|23|27|28|30|31|32|34|35|50|62|69|73|75|77|88|89|92|93|96|103|107|132|137|172|210|231	Pistacia falcata Becc. (p16): deciduous tree	Pistacia khinjuk Stocks (p17): deciduous	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0025034|PATO_0104032	PO_0025034	leaf	PATO_0104032	coriaceous	leaf coriaceous	A flora phenotype in which a(n) leaf exhibits the quality coriaceous.	FLOPO_0000004	allowed	curator_review_2026-09-18	23	23	23	26|39|45|46|72|78|79|84|91|94|98|136|143|145|165|178|218|221|234|236|238|309|315	Cordia sinensis Lam. (p26): leathery in texture	Gymnosporia arbutifolia (Hochst. ex A.Rich.) Loes. (p39): leathery in texture	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030100|PATO_0000122	PO_0030100	legume fruit	PATO_0000122	length	legume fruit length	A flora phenotype in which a(n) legume fruit exhibits the quality length.	PHENO|PO_0030100	allowed	curator_review_2026-09-18	21	20	21	50|52|53|54|55|56|57|58|59|60|61|63|66|191|289|291|293|294|296|297|298	Delonix elata (L.) Gamble (p50): dimensions (16 cm and 2 cm)	Prosopis cineraria (L.) Druce (p52): 30 cm long	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030103|PATO_0000467	PO_0030103	drupe fruit	PATO_0000467	present	drupe fruit present	A flora phenotype in which a(n) drupe fruit exhibits the quality present.	PHENO|PO_0030103	allowed	curator_review_2026-09-18	20	20	20	18|32|88|90|93|95|132|136|204|208|210|219|231|232|233|237|251|307|314|315	Searsia retinorrhoea (Steud. ex Oliv.) Moffett (p18): fruit a drupe	Commiphora myrrha (Nees) Engl. (p32): fruits drupes	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0025034|PATO_0001436	PO_0025034	leaf	PATO_0001436	sessile (sensu botany)	leaf sessile (sensu botany)	A flora phenotype in which a(n) leaf exhibits the quality sessile (sensu botany).	FLOPO_0000004	allowed	curator_review_2026-09-18	18	17	18	48|104|105|141|154|157|158|161|181|185|201|219|229|239|269|286|288|306	Euphorbia ammak Schweinf. (p48): leaves sessile	Tamarix aphylla (L.) H.Karst. (p104): leaves sessile	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000003|PATO_0104019	PO_0000003	whole plant	PATO_0104019	succulent	whole plant succulent	A flora phenotype in which a(n) whole plant exhibits the quality succulent.	FLOPO_0000089	allowed	curator_review_2026-09-18	16	16	16	48|114|119|127|130|149|150|158|185|254|268|273|285|286|287|288	Euphorbia ammak Schweinf. (p48): succulent	Agathophora alopecuroides (Delile) Fenzl ex Bunge (p114): succulent	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030100|PATO_0000921	PO_0030100	legume fruit	PATO_0000921	width	legume fruit width	A flora phenotype in which a(n) legume fruit exhibits the quality width.	PHENO|PO_0030100	allowed	curator_review_2026-09-18	15	15	15	50|53|54|55|56|57|58|59|61|63|66|191|289|291|293	Delonix elata (L.) Gamble (p50): dimensions (16 cm and 2 cm)	Prosopis koelziana Burkart (p53): 1 cm wide	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030107|PATO_0000467	PO_0030107	achene fruit	PATO_0000467	present	achene fruit present	A flora phenotype in which a(n) achene fruit exhibits the quality present.	FLOPO_0980916	allowed	curator_review_2026-09-18	15	15	15	23|152|153|154|155|156|157|158|159|161|162|269|270|272|273	Tarchonanthus camphoratus L. (p23): fruit an achene	Anvillea garcinii (Burm.f.) DC. (p152): fruit an achene	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030108|PATO_0000467	PO_0030108	berry fruit	PATO_0000467	present	berry fruit present	A flora phenotype in which a(n) berry fruit exhibits the quality present.	PHENO|PO_0030108	allowed	curator_review_2026-09-18	13	13	13	38|85|99|146|147|171|218|227|249|278|308|316|317	Maerua crassifolia Forssk. (p38): fruit a berry	Maesa lanceolata Forssk. (p85): the fruit a berry	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030121|PATO_0001499	PO_0030121	capitulum inflorescence	PATO_0001499	spherical	capitulum inflorescence spherical	A flora phenotype in which a(n) capitulum inflorescence exhibits the quality spherical.	FLOPO_0980970	allowed	curator_review_2026-09-18	13	13	13	59|60|61|62|63|64|65|154|163|269|270|272|273	Vachellia flava (Forssk.) Kyal. & Boatwr. (p59): flowers globose	Vachellia gerrardii var. najdensis (Chaudhary) Ragup., Seigler, Ebinger & Maslin (p60): globose inflorescences	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0020043|PATO_0000410	PO_0020043	compound leaf	PATO_0000410	pinnate	compound leaf pinnate	A flora phenotype in which a(n) compound leaf exhibits the quality pinnate.	PHENO|PO_0020043	allowed	curator_review_2026-09-18	12	12	12	54|60|61|67|70|189|193|202|263|294|308|314	Senegalia asak (Forssk.) Kyal. & Boatwr. (p54): leaves pinnately compound	Vachellia gerrardii var. najdensis (Chaudhary) Ragup., Seigler, Ebinger & Maslin (p60): leaves pinnately compound	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030105|PATO_0000467	PO_0030105	follicle fruit	PATO_0000467	present	follicle fruit present	A flora phenotype in which a(n) follicle fruit exhibits the quality present.	PHENO|PO_0030105	allowed	curator_review_2026-09-18	12	12	12	137|138|139|140|141|142|143|144|145|264|265|266	Adenium obesum (Forssk.) Roem. & Schult. (p137): The fruit is a follicle	Gomphocarpus fruticosus (L.) W.T.Aiton (p138): The fruit is a follicle	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0025034|PATO_0104019	PO_0025034	leaf	PATO_0104019	succulent	leaf succulent	A flora phenotype in which a(n) leaf exhibits the quality succulent.	FLOPO_0000004	allowed	curator_review_2026-09-18	11	11	11	114|126|127|128|131|247|248|250|310|313|316	Agathophora alopecuroides (Delile) Fenzl ex Bunge (p114): succulent	Soda rosmarinus (Bunge ex Boiss.) (p126): succulent	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0025034|PATO_0001730	PO_0025034	leaf	PATO_0001730	deciduous (generic)	leaf deciduous (generic)	A flora phenotype in which a(n) leaf exhibits the quality deciduous (generic).	FLOPO_0000004	allowed	curator_review_2026-09-18	10	10	10	131|133|134|144|158|223|224|225|286|288	Traganum nudatum Delile (p131): deciduous on the young twigs	Deverra tortuosa (Desf.) DC. (p133): the leaves are deciduous	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030102|PATO_0000467	PO_0030102	nut fruit	PATO_0000467	present	nut fruit present	A flora phenotype in which a(n) nut fruit exhibits the quality present.	FLOPO_0980908	allowed	curator_review_2026-09-18	9	9	9	122|200|201|202|203|274|283|305|306	Cornulaca monacantha Delile (p122): the fruit is a nut	Lavandula atriplicifolia Benth. (p200): fruit a nutlet	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0025073|PATO_0001365	PO_0025073	branch	PATO_0001365	spiny	branch spiny	A flora phenotype in which a(n) branch exhibits the quality spiny.	FLOPO_0000100	allowed	curator_review_2026-09-18	8	8	8	67|132|169|171|178|229|235|240	Vachellia tortilis subsp. tortilis (p67): bear thorns	Searsia tripartita (Ucria) Moffett (p132): and spiny	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030117|PATO_0000467	PO_0030117	spike inflorescence	PATO_0000467	present	spike inflorescence present	A flora phenotype in which a(n) spike inflorescence exhibits the quality present.	FLOPO_0980963	allowed	curator_review_2026-09-18	8	7	8	41|51|53|98|113|200|221|233	Combretum mole R.Br. ex G.Don (p41): in spikes	Faidherbia albida (Delile) A.Chev. (p51): in spikes	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0009046|PATO_0104031	PO_0009046	flower	PATO_0104031	cream	flower cream	A flora phenotype in which a(n) flower exhibits the quality cream.	FLOPO_0000122	allowed	curator_review_2026-09-18	7	7	7	91|102|103|176|220|238|306	Rhizophora mucronata Poir. (p91): flowers creamy white	Nuxia congesta R.Br. ex Fresen. (p102): creamy white	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0030100|PATO_0000407	PO_0030100	legume fruit	PATO_0000407	flat	legume fruit flat	A flora phenotype in which a(n) legume fruit exhibits the quality flat.	PHENO|PO_0030100	allowed	curator_review_2026-09-18	7	6	7	50|53|57|61|190|191|193	Delonix elata (L.) Gamble (p50): flat	Prosopis koelziana Burkart (p53): flat	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
EQ|PO_0000003|PATO_0002348	PO_0000003	whole plant	PATO_0002348	ligneous	whole plant ligneous	A flora phenotype in which a(n) whole plant exhibits the quality ligneous.	FLOPO_0000089	allowed	curator_review_2026-09-18	6	6	6	139|179|192|217|249|317	Gomphocarpus sinaicus Boiss. (p139): woody shrub	Cleome droserifolia (Forssk.) Delile (p179): woody (lignified)	accept	Curator decision D1 (Robert Hoehndorf, 2026-09-18): mint FLOPO EQ phenotype classes for the NCVC Saudi guide's PO x PATO candidates through the reviewed-combination path.
