# Curated FlorML place-name aliases (French and English, historical names) -> ISO 3166-1 alpha-2 or GeoNames continent code.
# Keys are matched after flopo2.geo.gazetteer.normalize_name (case-fold, strip diacritics, hyphen/apostrophe spacing, trailing '.').
# English GeoNames country names (countries.tsv name_en) are matched automatically and need no row here.
# Historical names map to the present-day country whose territory they denote; ambiguous names (Rhodesie, Korea, Indes, Arabie, New Guinea, Indochina) are deliberately absent and stay local features.
alias	kind	code	note
afrique	continent	AF
africa	continent	AF
asie	continent	AS
asia	continent	AS
europe	continent	EU
amerique du sud	continent	SA
south america	continent	SA
s america	continent	SA
amerique du nord	continent	NA
north america	continent	NA
oceanie	continent	OC
oceania	continent	OC
gabon	country	GA
gabonia	country	GA	Latin form
cameroun	country	CM
cameroon	country	CM
cameruno	country	CM	OCR/typo form of Cameroun
congo	country	CG	Flore du Gabon usage: 'Congo' alone is Congo-Brazzaville (the neighbour); ambiguous elsewhere
congo brazzaville	country	CG
congo (brazzaville)	country	CG
congo brazz	country	CG
republique du congo	country	CG
republique populaire du congo	country	CG
congo ex francais	country	CG
zaire	country	CD
congo kinshasa	country	CD
congokinshasa	country	CD
congo (kinshasa)	country	CD
congo leopoldville	country	CD
congo leo	country	CD
congo ex belge	country	CD
congo ex b	country	CD
congo belge	country	CD
republique democratique du congo	country	CD
republique democratique de congo	country	CD
republique democratie du congo	country	CD
angola	country	AO
nigeria	country	NG
nigerie	country	NG
ghana	country	GH
cote d'ivoire	country	CI
guinee	country	GN
guinee francaise	country	GN
guinee fr	country	GN
guinee ex francaise	country	GN
guinee ex fr	country	GN
guinee equatoriale	country	GQ
guinee equaloriale	country	GQ	typo form
guinee espagnole	country	GQ	historical (Spanish Guinea)
guinee esp	country	GQ
guinee bissau	country	GW
guinee portugaise	country	GW	historical (Portuguese Guinea)
guinee portuguaise	country	GW
guinee portugais	country	GW
madagascar	country	MG
sierra leone	country	SL
sierre leone	country	SL	typo form
ouganda	country	UG
liberia	country	LR
centrafrique	country	CF
republique centrafricaine	country	CF
republique centreafricaine	country	CF
republique centrafrique	country	CF
rep centrafricaine	country	CF
rca	country	CF
tanzanie	country	TZ
senegal	country	SN
zambie	country	ZM
kenya	country	KE
mozambique	country	MZ
togo	country	TG
soudan	country	SD	historical Sudan (pre-2011) is mapped to SD; South-Sudan strings stay local
republique du soudan	country	SD
afrique du sud	country	ZA
republique sudafricaine	country	ZA
republique sud africaine	country	ZA
republique d'afrique du sud	country	ZA
s africa	country	ZA
malawi	country	MW
zimbabwe	country	ZW
rwanda	country	RW
burundi	country	BI
ethiopie	country	ET
abyssinie	country	ET	historical
dahomey	country	BJ	historical (Benin)
benin	country	BJ
mali	country	ML
tchad	country	TD
comores	country	KM
iles comores	country	KM
archipel des comores	country	KM
sao tome	country	ST
gambie	country	GM
bresil	country	BR
maurice	country	MU
ile maurice	country	MU
indonesie	country	ID
somalie	country	SO
somali	country	SO
perou	country	PE
mexique	country	MX
mauritanie	country	MR
japon	country	JP
yemen	country	YE
jemen	country	YE
thailande	country	TH
siam	country	TH	historical
namibie	country	NA
chine	country	CN
inde	country	IN
birmanie	country	MM
burma	country	MM
ceylan	country	LK	historical
ceylon	country	LK	historical
new hebrides	country	VU	historical (Vanuatu)
malaisie	country	MY
malaysie	country	MY
solomon is	country	SB
solomons	country	SB
solomon	country	SB
iles salomon	country	SB
fidji	country	FJ
fiji is	country	FJ
nouvelle zelande	country	NZ
colombie	country	CO
bolivie	country	BO
chili	country	CL
argentine	country	AR
republique argentine	country	AR
cambodge	country	KH
laos	country	LA
vietnam	country	VN
brunei	country	BN
usa	country	US
etats unis	country	US
espagne	country	ES
italie	country	IT
allemagne	country	DE
algerie	country	DZ
egypte	country	EG
erythree	country	ER
maroc	country	MA
micronesie	country	FM
samoa islands	country	WS
australie	country	AU	only for class=country; class=continent 'Australia' stays local (no GeoNames continent)
tanzania	country	TZ
phillipines	country	PH	typo form
