# Saudi Arabia ADM1: GeoNames admin1CodesASCII + sws about.rdf (code, point) joined to Wikidata P300/P1566 (every GeoNames id cross-checked)
iso_3166_2	geonames_name	geonames_id	geonames_admin1_code	geonames_feature_code	wikidata_id	lat	lon
SA-01	Riyadh Region	108411	SA.10	A.ADM1	Q1249255	23.05	45.55
SA-02	Mecca Region	104514	SA.14	A.ADM1	Q234167	21.62425	41.20422
SA-03	Medina Region	109224	SA.05	A.ADM1	Q236027	24.9	39.5
SA-04	Eastern Province	108241	SA.06	A.ADM1	Q953508	24	49.75
SA-05	Al-Qassim Region	108933	SA.08	A.ADM1	Q1105411	27.08333	43.46667
SA-06	Ha'il Region	106280	SA.13	A.ADM1	Q243656	27.4	41.45
SA-07	Tabuk Region	101627	SA.19	A.ADM1	Q1315953	28.25	37.16667
SA-08	Northern Borders Region	109579	SA.15	A.ADM1	Q201781	30.25	42.41667
SA-09	Jazan Region	105298	SA.17	A.ADM1	Q269973	17.33333	42.66667
SA-10	Najran Region	103628	SA.16	A.ADM1	Q464718	18.41667	46.91667
SA-11	Al Bahah Region	109954	SA.02	A.ADM1	Q852774	20.16667	41.43333
SA-12	Al Jawf Region	109470	SA.20	A.ADM1	Q1471266	30.05	39.6
SA-14	'Asir Region	108179	SA.11	A.ADM1	Q779855	19.15	42.95
