rule_id	pdf_page	action	entity_regex	quality_regex	source_regex	reason_code	reason	evidence
H01	222	hold_all				description_other_species	Printed description does not describe Panicum turgidum (copied from another, probably leguminous, species)	notes p222: DESCRIPTION MISMATCH
H02	82	hold	flower|plant	sex|bisexual|unisexual|dioecious|male|female|hermaphrodite		contradictory_sexual_system	'bisexual' printed but separate male and female flowers described (Pandanus is dioecious)	notes p82
H03	69	hold	flower	yellow|white|colou?r		colour_contradicts_photos	Flowers stated yellow although photos show white flowers with red centres	notes p69
H04	104	hold	leaf	sessile|petiolate		contradictory_attachment	Leaves described both sessile and petiolate	notes p104
H05	83	hold	^leaf$	length		measurement_unit_misprint	Leaf length printed 1-2 mm, likely cm	notes p83
H06	100	hold	^leaf$	width		measurement_unit_misprint	Leaf width printed 15 cm (wider than 3 cm length), probably 15 mm	notes p100
H07	40	hold	^leaf$	length		measurement_unit_misprint	Leaf length printed up to 8 mm, probably cm	notes p40
H08	207	hold	^leaf$	length|width		measurement_unit_misprint	Leaf 4-7 x 2 mm implausibly small, probably cm	notes p207; coordinator
H09	212	hold	^leaf$	length		measurement_unit_misprint	Leaf length 3 mm, probably cm	notes p212; coordinator
H10	199	hold	part unspecified	length|width		ambiguous_measurement_bearer	9 x 8 mm measurement follows 'flowers solitary terminal' without naming the organ	notes p199; coordinator
H11	209	hold	fruit lobe	size		ambiguous_measurement_bearer	Lobe size 3-6 mm dimension and bearer unspecified	notes p209; coordinator
H12	200	hold	spike|inflorescence|flower	yellow|colou?r		colour_contradicts_photos	Spikes described yellow; photos show violet/lilac flowers	notes p200; coordinator
H13	21	hold	^leaf$	length		measurement_unit_misprint	Leaf length printed 1 cm, probably 1 m	notes p21; coordinator
H14	194	drop_synonyms				synonyms_other_species	Printed synonyms (Genista/Spartium/Lygos raetam) belong to Retama raetam	notes p194; coordinator
H15	202	drop_synonyms				synonyms_other_species	Printed synonyms (Genista/Spartium/Lygos raetam) belong to Retama raetam	notes p202; coordinator
H16	28	hold	^flower$	white		colour_contradicts_photos	Photos show lilac flowers though text says white	notes p28
H17	251	hold	^flower$	white		colour_contradicts_photos	Photos show pink/lilac flowers but text says white	notes p251
H18	294	hold	^flower$	grey|gray		colour_contradicts_photos	Flower colour printed dark grey; photos show pink/red flowers	notes p294
H19	16	hold	stamen	length		measurement_unit_misprint	Stamens 5 cm long, likely error	notes p16
H20	41	hold	inflorescence	length		measurement_unit_misprint	Inflorescence 75 cm, probably 7.5 cm	notes p41
H21	133	hold	fruit	length|width|size		measurement_unit_misprint	Fruit 0.2 mm likely an error	notes p133
H22	191	hold	flower	length		ambiguous_measurement_bearer	Flower length 2-25 cm likely refers to the inflorescence	notes p191
H23	58	hold	leaf	glabrous|hair|hairy		contradictory_pubescence	Leaves 'glabrous with hairs' (contradictory as printed)	notes p58
H24	85	hold	bark	smooth|rough		contradictory_texture	Bark described both smooth and rough	notes p85
H25	160	hold	inflorescence	red|white|colou?r		contradictory_colour	Inflorescence both light red and white	notes p160
H26	107	hold	leaf	ovate|lanceolate		contradictory_shape	Leaf both ovate and lanceolate	notes p107
H27	207	hold	leaf	lanceolate|ovate		contradictory_shape	Leaf linear-lanceolate yet blade broadly ovate	notes p207
H28	298	hold	leaf	sessile|petiolate		contradictory_attachment	Leaves both subsessile and petiolate	notes p298
H29	94	hold	flower|plant	dioecious|bisexual|unisexual|sex		contradictory_sexual_system	'dioecious' printed; text may intend bisexual	notes p94
H30	114	hold	flower|plant	dioecious|bisexual|unisexual|sex		contradictory_sexual_system	'dioecious' printed; genus has bisexual flowers	notes p114
H31	182	hold	fruit|flower			gymnosperm_fruit_flower_terms	Ephedra: 'fruit'/'flowers' are the book's terms for seed/pollen cones; PO fruit/flower incorrect	notes p182
H32	312	hold	stalk|inflorescence|peduncle	drooping|erect		contradictory_orientation	Flowering stalk both drooping and erect	notes p312
H33	110	hold	flower	length		ambiguous_measurement_bearer	Flower length 5-8 cm may refer to spikes	notes p110
H34	98	hold	flower	length		ambiguous_measurement_bearer	Flower length 3.5-4 mm may refer to spikes	notes p98
H35	30	hold	^leaf$	length		ambiguous_measurement_bearer	Leaf length 30-40 mm may refer to petiole	notes p30
H36	66	hold	^leaf$	length|width		ambiguous_measurement_bearer	Leaf dimensions 3-4 x 0.5-1 mm likely leaflets	notes p66
H37	81	hold	flower	length|width|diameter|size		ambiguous_measurement_bearer	Flower dimensions (1 mm and 5 mm) ambiguous	notes p81
H38	180	hold	fruit	length|width		ambiguous_measurement_bearer	25 x 8 mm follows 'wings'; wing or fruit dimensions ambiguous	notes p180
H39	57	hold	pod|legume|fruit	flat|cylindrical		contradictory_shape	Pods both flat and subcylindrical	notes p57
H40	54	hold	inflorescence	globose|spherical|cylindrical|length		contradictory_shape	Both cylindrical clusters and globose inflorescences 10 cm long	notes p54
