rule_id	match_field	match_key	bearer_constraint	kind	po_id	pato_id	value_term	flopo_class	target_label	evidence	review_status
B01	bearer	shrub		bearer	PO_0000003				whole plant	PO whole plant NARROW synonym 'shrub' (ont/plant_ontology.obo)	agent_reviewed
B02	bearer	tree		bearer	PO_0000003				whole plant	PO whole plant NARROW synonym 'tree'	agent_reviewed
B03	bearer	herb		bearer	PO_0000003				whole plant	PO whole plant NARROW synonym 'herb'	agent_reviewed
B04	bearer	vine		bearer	PO_0000003				whole plant	PO whole plant NARROW synonym 'vine'	agent_reviewed
B05	bearer	liana		bearer	PO_0000003				whole plant	PO whole plant NARROW synonym 'liana'	agent_reviewed
B06	bearer	trunk		bearer	PO_0009047				stem	PO stem NARROW synonym 'trunk'	agent_reviewed
B07	bearer	twig		bearer	PO_0025073				branch	PO branch NARROW synonym 'twig'	agent_reviewed
B08	bearer	tree crown		bearer	PO_0009006				shoot system	PO shoot system NARROW synonym 'tree crown'	agent_reviewed
B09	bearer	female flower		bearer	PO_0025599				pistillate flower	PO pistillate flower RELATED synonym 'female flower' (EXACT 'carpellate flower')	agent_reviewed
B10	bearer	male flower		bearer	PO_0025600				staminate flower	PO staminate flower RELATED synonym 'male flower'	agent_reviewed
B11	bearer	pod		bearer	PO_0030100				legume fruit	PO legume fruit EXACT synonym 'legume'; 'pod' BROAD; guide uses 'pod' for Fabaceae legumes	agent_reviewed
B12	bearer	leaf venation		bearer	PO_0000036				leaf vascular system	PO leaf vascular system RELATED synonym 'leaf venation'	agent_reviewed
Q01	quality	perennial		flopo_value		PATO_0000050	FLOPO_0985011		perennial life span	FLOPO_0985011 perennial life span (growth-form module row; PATO:0000050 life span); whole-plant class now EQ|PO_0000003|FLOPO_0985011; was: FLOPO whole-plant lifestyle class; no EQ signature (registry signature OTHER)	proposed_growth_form_2026-09-18
Q02	quality	annual		flopo_value		PATO_0000050	FLOPO_0985010		annual life span	FLOPO_0985010 annual life span (growth-form module row; PATO:0000050 life span); whole-plant class now EQ|PO_0000003|FLOPO_0985010; was: FLOPO whole-plant lifestyle class; no EQ signature	proposed_growth_form_2026-09-18
Q03	quality	biennial		flopo_value		PATO_0000050	FLOPO_0987000		biennial life span	FLOPO_0987000 biennial life span (growth-form module row; PATO:0000050 life span); whole-plant class now EQ|PO_0000003|FLOPO_0987000; was: FLOPO whole-plant lifestyle class; no EQ signature	proposed_growth_form_2026-09-18
Q04	quality	tree		flopo_value		PATO_0000051	FLOPO_0987001		arborescent habit	FLOPO_0987001 arborescent habit (growth-form module row; PATO:0000051 morphology); whole-plant class now EQ|PO_0000003|FLOPO_0987001; was: FLOPO growth form; exact synonym 'tree'	proposed_growth_form_2026-09-18
Q05	quality	small tree		flopo_value		PATO_0000051	FLOPO_0987001		arborescent habit	FLOPO_0987001 arborescent habit (growth-form module row; PATO:0000051 morphology); whole-plant class now EQ|PO_0000003|FLOPO_0987001; was: FLOPO growth form; exact synonym 'tree' (size modifier retained in source span)	proposed_growth_form_2026-09-18
Q06	quality	shrub		flopo_value		PATO_0000051	FLOPO_0987002		frutescent habit	FLOPO_0987002 frutescent habit (growth-form module row; PATO:0000051 morphology); whole-plant class now EQ|PO_0000003|FLOPO_0987002; was: FLOPO growth form; exact synonym 'shrub'	proposed_growth_form_2026-09-18
Q07	quality	shrubby		flopo_value		PATO_0000051	FLOPO_0987002		frutescent habit	FLOPO_0987002 frutescent habit (growth-form module row; PATO:0000051 morphology); whole-plant class now EQ|PO_0000003|FLOPO_0987002; was: FLOPO growth form; exact synonym 'shrub'	proposed_growth_form_2026-09-18
Q08	quality	large shrub		flopo_value		PATO_0000051	FLOPO_0987002		frutescent habit	FLOPO_0987002 frutescent habit (growth-form module row; PATO:0000051 morphology); whole-plant class now EQ|PO_0000003|FLOPO_0987002; was: FLOPO growth form; exact synonym 'shrub'	proposed_growth_form_2026-09-18
Q09	quality	climbing		flopo_phenotype_class				FLOPO_0985031	whole plant climbing phenotype	FLOPO_0985031 whole plant climbing phenotype: climber is broader than woody liana (curator decision FLOPO-CAND:climber/liana 2026-09-18); primitive class, stays held; was: FLOPO growth form; exact synonyms 'climber', 'liana'	proposed_growth_form_2026-09-18
Q10	quality	climber		flopo_phenotype_class				FLOPO_0985031	whole plant climbing phenotype	FLOPO_0985031 whole plant climbing phenotype: climber is broader than woody liana (curator decision FLOPO-CAND:climber/liana 2026-09-18); primitive class, stays held; was: FLOPO growth form; exact synonym 'climber'	proposed_growth_form_2026-09-18
Q11	quality	climbing shrub		flopo_phenotype_class				FLOPO_0985031	whole plant climbing phenotype	FLOPO_0985031 whole plant climbing phenotype: climber is broader than woody liana (curator decision FLOPO-CAND:climber/liana 2026-09-18); primitive class, stays held; was: FLOPO growth form; exact synonym 'climber'	proposed_growth_form_2026-09-18
Q12	quality	twining		flopo_phenotype_class				FLOPO_0985034	twining climbing phenotype	FLOPO_0985034 twining climbing phenotype: climber is broader than woody liana (curator decision FLOPO-CAND:climber/liana 2026-09-18); primitive class, stays held; was: FLOPO growth form; exact synonym 'climber' (twining climber)	proposed_growth_form_2026-09-18
Q13	quality	vine		flopo_phenotype_class				FLOPO_0985032	whole plant vine phenotype	FLOPO_0985032 whole plant vine phenotype: climber is broader than woody liana (curator decision FLOPO-CAND:climber/liana 2026-09-18); primitive class, stays held; was: FLOPO growth form; PO NARROW synonym 'vine' of whole plant; climber	proposed_growth_form_2026-09-18
Q14	quality	liana		flopo_phenotype_class				FLOPO_0900035	whole plant lianescent	FLOPO growth form; exact synonym 'liana'	agent_reviewed
Q15	quality	subshrub		flopo_value		PATO_0000051	FLOPO_0987003		suffrutescent habit	FLOPO_0987003 suffrutescent habit (growth-form module row; PATO:0000051 morphology); whole-plant class now EQ|PO_0000003|FLOPO_0987003; was: FLOPO shoot axis suffruticose (subshrub = suffrutescent woody base); no EQ signature	proposed_growth_form_2026-09-18
Q16	quality	herb		pato		PATO_0002352			herbaceous	existing FLOPO_0022142 'whole plant herbaceous' EQ|PO_0000003|PATO_0002352	agent_reviewed
Q17	quality	herbaceous		pato		PATO_0002352			herbaceous	PATO herbaceous; FLOPO_0022142	agent_reviewed
Q18	quality	evergreen		pato		PATO_0001733			evergreen (plant)	PATO evergreen (plant); existing FLOPO_0005767 'whole plant evergreen (plant)'	agent_reviewed
Q19	quality	deciduous	^(whole plant|shrub|tree|plant)$	pato		PATO_0001731			deciduous (plant)	PATO deciduous (plant) for leaf-shedding plants	agent_reviewed
Q20	quality	deciduous		pato		PATO_0001730			deciduous (generic)	PATO deciduous (generic) for caducous organs (stipules, sepals)	agent_reviewed
Q21	quality	semi-deciduous		pato		PATO_0001734			semi-deciduous(plant)	PATO semi-deciduous(plant)	agent_reviewed
Q22	quality	caducous		pato		PATO_0001730			deciduous (generic)	caducous = falling early; PATO deciduous (generic)	agent_reviewed
Q23	quality	bisexual		pato		PATO_0001340			hermaphrodite	PATO hermaphrodite; existing FLOPO 'flower hermaphrodite'	agent_reviewed
Q24	quality	hermaphrodite		pato		PATO_0001340			hermaphrodite	PATO hermaphrodite	agent_reviewed
Q25	quality	perfect		pato		PATO_0001340			hermaphrodite	perfect flower = bisexual; PATO hermaphrodite	agent_reviewed
Q26	quality	dioecious		hold					no PATO/FLOPO sexual-system term	no dioecious term in config/pato_lexicon.tsv or FLOPO; botanical_terminology.tsv unmapped	agent_reviewed
Q27	quality	monoecious		hold					no PATO/FLOPO sexual-system term	no monoecious term in lexicon/FLOPO	agent_reviewed
Q28	quality	unisexual		hold					no PATO/FLOPO term	no unisexual term in lexicon/FLOPO	agent_reviewed
Q29	quality	capsule		entity_presence	PO_0030091	PATO_0000467			capsule fruit present	fruit type is an entity: PO capsule fruit (EXACT 'capsule') + PATO present; FLOPO_0900012 'fruit type capsule' has no EQ signature	agent_reviewed
Q30	quality	legume		entity_presence	PO_0030100	PATO_0000467			legume fruit present	PO legume fruit (EXACT 'legume'); FLOPO_0900013 fruit type legume	agent_reviewed
Q31	quality	pod		entity_presence	PO_0030100	PATO_0000467			legume fruit present	PO legume fruit ('pod' BROAD synonym); guide's Fabaceae pods	agent_reviewed
Q32	quality	drupe		entity_presence	PO_0030103	PATO_0000467			drupe fruit present	PO drupe fruit (EXACT 'drupe'); FLOPO_0900016	agent_reviewed
Q33	quality	berry		entity_presence	PO_0030108	PATO_0000467			berry fruit present	PO berry fruit (EXACT 'berry'); FLOPO_0900015	agent_reviewed
Q34	quality	achene		entity_presence	PO_0030107	PATO_0000467			achene fruit present	PO achene fruit (EXACT 'achene')	agent_reviewed
Q35	quality	follicle		entity_presence	PO_0030105	PATO_0000467			follicle fruit present	PO follicle fruit (EXACT 'follicle'); FLOPO_0900014	agent_reviewed
Q36	quality	nut		entity_presence	PO_0030102	PATO_0000467			nut fruit present	PO nut fruit (EXACT 'nut'); FLOPO_0900017	agent_reviewed
Q37	quality	nutlet		entity_presence	PO_0030102	PATO_0000467			nut fruit present	PO nut fruit (EXACT 'nutlet')	agent_reviewed
Q38	quality	silique		entity_presence	PO_0030106	PATO_0000467			silique fruit present	PO silique fruit (EXACT 'silique')	agent_reviewed
Q39	quality	mericarp		entity_presence	PO_0020075	PATO_0000467			mericarp present	PO mericarp (label)	agent_reviewed
Q40	quality	schizocarp		entity_presence	PO_0030098	PATO_0000467			schizocarp fruit present	PO schizocarp fruit (EXACT 'schizocarp')	agent_reviewed
Q41	quality	samara		entity_presence	PO_0030099	PATO_0000467			samara fruit present	PO samara fruit (EXACT 'samara')	agent_reviewed
Q42	quality	caryopsis		entity_presence	PO_0030104	PATO_0000467			caryopsis fruit present	PO caryopsis fruit (EXACT 'caryopsis')	agent_reviewed
Q43	quality	loment		entity_presence	PO_0030101	PATO_0000467			loment fruit present	PO loment fruit (EXACT 'loment')	agent_reviewed
Q44	quality	raceme		entity_presence	PO_0030115	PATO_0000467			raceme inflorescence present	inflorescence type is an entity: PO raceme inflorescence (EXACT 'raceme'); FLOPO_0900002 has no EQ signature	agent_reviewed
Q45	quality	racemose		entity_presence	PO_0030115	PATO_0000467			raceme inflorescence present	racemose = in racemes; PO raceme inflorescence	agent_reviewed
Q46	quality	spike		entity_presence	PO_0030117	PATO_0000467			spike inflorescence present	PO spike inflorescence (EXACT 'spike'); FLOPO_0900001	agent_reviewed
Q47	quality	spicate		entity_presence	PO_0030117	PATO_0000467			spike inflorescence present	spicate = in spikes; PO spike inflorescence	agent_reviewed
Q48	quality	umbel		entity_presence	PO_0030129	PATO_0000467			umbel inflorescence present	PO umbel inflorescence (EXACT 'umbel')	agent_reviewed
Q49	quality	umbellate		entity_presence	PO_0030129	PATO_0000467			umbel inflorescence present	umbellate = in umbels; PO umbel inflorescence	agent_reviewed
Q50	quality	panicle		entity_presence	PO_0030123	PATO_0000467			panicle inflorescence present	PO panicle inflorescence (EXACT 'panicle')	agent_reviewed
Q51	quality	paniculate		entity_presence	PO_0030123	PATO_0000467			panicle inflorescence present	paniculate = in panicles	agent_reviewed
Q52	quality	cyme		entity_presence	PO_0030126	PATO_0000467			cyme inflorescence present	PO cyme inflorescence (EXACT 'cyme')	agent_reviewed
Q53	quality	cymose		entity_presence	PO_0030126	PATO_0000467			cyme inflorescence present	cymose = in cymes	agent_reviewed
Q54	quality	verticillaster		entity_presence	PO_0030126	PATO_0000467			cyme inflorescence present	verticillaster is a lexicon synonym of cyme inflorescence (config/po_lexicon.tsv)	agent_reviewed
Q55	quality	corymb		entity_presence	PO_0030124	PATO_0000467			corymb inflorescence present	PO corymb inflorescence (EXACT 'corymb')	agent_reviewed
Q56	quality	corymbose		entity_presence	PO_0030124	PATO_0000467			corymb inflorescence present	corymbose = in corymbs	agent_reviewed
Q57	quality	capitulum		entity_presence	PO_0030121	PATO_0000467			capitulum inflorescence present	PO capitulum inflorescence (EXACT 'capitulum')	agent_reviewed
Q58	quality	petiolate	^(leaf|leaflet|simple leaf|compound leaf|vascular leaf)$	entity_presence	PO_0020038	PATO_0000467			petiole present	petiolate = bearing a petiole; PO petiole + present (petiole is part_of leaf); PATO has no petiolate term	agent_reviewed
Q59	quality	sessile		pato		PATO_0001436			sessile (sensu botany)	PATO sessile (sensu botany)	agent_reviewed
Q60	quality	alternate		pato		PATO_0001932			alternate placement	PATO alternate placement	agent_reviewed
Q61	quality	entire		pato		PATO_0001412			unstructured	existing FLOPO_0900073 'leaf margin entire' = EQ|PO_0020128|PATO_0001412	agent_reviewed
Q62	quality	woody		pato		PATO_0002348			ligneous	PATO ligneous; FLOPO_0900039 'shoot axis ligneous' has exact synonym 'woody'	agent_reviewed
Q63	quality	ligneous		pato		PATO_0002348			ligneous	PATO ligneous	agent_reviewed
Q64	quality	trifoliolate		flopo_value		PATO_0001555	FLOPO_0980424		trifoliolate	FLOPO_0980424 trifoliolate (subClassOf PATO_0001555 has number of); existing FLOPO_0900067 EQ|PO_0025034|FLOPO_0980424	agent_reviewed
Q65	quality	silvery		flopo_value		PATO_0000014	FLOPO_0980092		silvery	FLOPO_0980092 silvery colour value; top-level PATO color attribute	agent_reviewed
Q66	quality	silver-coloured		flopo_value		PATO_0000014	FLOPO_0980092		silvery	FLOPO_0980092 silvery	agent_reviewed
