Category,Class,Subclass,Term,Description,
Configuration of Surface,,,,"(Classification based on surface pattern usually resulting from internal structural form, exclusive of venation)",
Configuration of Surface,,,Aciculate,"Finely marked as with pin pricks, fine lines usually randomly arranged.",
Configuration of Surface,,,Alate,Winged.,
Configuration of Surface,,,Alveolate,Honey-combed.,
Configuration of Surface,,,Areolate,Divided into many angular or squarish spaces.,
Configuration of Surface,,,Bullate,Puckered or blistered.,
Configuration of Surface,,,Canaliculate,"Longitudinally grooved, usually in relation to petioles or midribs.",
Configuration of Surface,,,Cancellate; Clathrate,Latticed.,
Configuration of Surface,,,Corrugate,Ridged.,
Configuration of Surface,,,Costate,Coarsely ribbed.,
Configuration of Surface,,,Fenestrate,With windowlike holes through the leaves or other structures.,
Configuration of Surface,,,Flexuous,Coarsely undulate with folds at right angles to long axis.,
Configuration of Surface,,,Foveolate,Pitted.,
Configuration of Surface,,,Plicate; Plaited,"Fluted, longi tudinally folded.",
Configuration of Surface,,,Punctate,Covered with minute impressions or depressions.,
Configuration of Surface,,,Pustulate,With scattered blisterlike swellings.,
Configuration of Surface,,,Reticulate,Netted.,
Configuration of Surface,,,Ribbed,With longitudinal nerves.,
Configuration of Surface,,,Ringed,With old bud scale scar rings.,
Configuration of Surface,,,Rugose,Covered with coarse reticulate lines.,
Configuration of Surface,,,Ruminate,"Coarsely wrinkled, appearing as chewed.",
Configuration of Surface,,,Scarred,"With old leaf base, stipular and/or branch scar regions.",
Configuration of Surface,,,Smooth; Plane,Without configuration.,
Configuration of Surface,,,Striate,With longitudinal lines.,
Configuration of Surface,,,Sulcate,With longitudinal grooves.,
Configuration of Surface,,,Tortuous,Having the surface variously twisted.,
Venation,,,,(Classification based on vein pattern. Based on,Hickey [1973])
Venation,,1. General,,,
Venation,,,Acrodromous,"With two or more primary or strongly developed secondary veins diverging at or above the base of the blade and running in convergent arches toward the apex over some or all of the blade length, the arches not basally curved.",
Venation,,,Actinodromous,"With three or more primary veins diverging radially from a single point at or above the base of the blade and running toward the margin, reaching it or not.",
Venation,,,Brochidodromous,"With a single primary vein, the secondary veins not terminating at the margin but joined together in a series of prominent upward arches or marginal loops on each side of the primary vein.",
Venation,,,Campylodromous,"With several primary veins or their branches diverging at or close to a single point and running in strongly developed, basally recurved arches which converge toward the apex, reaching it or not.",
Venation,,,Cladodromous,"With a single primary vein, the secondary veins not terminating at the margin and freely ramified toward it.",
Venation,,,"Craspedodromous, Mixed","With a single primary vein, some of the secondary veins terminating at the margin and an approximately equal number otherwise.",
Venation,,,"Craspedodromous, Simple","With a single primary vein, all of the secondary veins and their branches terminating at the margin.",
Venation,,,Eucamptodromous,"With a single primary vein, the secondary veins curved upward and gradually iminishing distally within the margin and interconnected by a series of cross-veins without forming conspicuous marginal loops.",
Venation,,,Hyphodromous,"With a single primary vein and all other venation absent, rudimentaryj or concealed within a coriaceous or fleshy blade.",
Venation,,,Palinactinodromous,"Actinodromous, the primary veins with one or more subsidiary radiations above the primary one.",
