ID	English	French	PrettyFrench	Type	Etymology	Definition
1683		accomodat	accomodat	n.m.		
1684		aculéolé	aculeole	adj.		muni de petites épibes ou excroissances épineuses
1685		acyclique	acyclique	adj.	gr. kyklos, cercle	disposé en spirale, et non en cercle
1686		adhérence (à l'ovaire)	adherence (a l'ovaire)	n.f.		
1687		aigrette	aigrette	n.f.		touffe ou couronne de poils ou de soies
1688		akénoïdes	akenoides	adj.	cf. tétrakène	
1689		alternisépale	alternisepale	adj.		alternant avec un sépale et non situé en face de lui
1690		anémogamie	anemogamie	n.f.	gr. anemos vent, gamos, mariage	
1691		anthèle	anthele	n.f.		inflorescence cymeuse dans laquelle les ramifications latérales dépassent les centrales
1692		anthocarpe	anthocarpe	n.m.		faux fruit formé par le gynécée et 1 pièce florale
1693		anthophore	anthophore	n.m.		
1694		anthropophile	anthropophile	adj.		
1695		anticipés	anticipes			développés avant époque normale
1696		apétale	apetale	adj.		fleur sans pétales
1697		aphylle	aphylle	adj.	gr. a, sans & phullon, feuille	plante sans feuille
1698		arachnoïde	arachnoide	adj.		indument formé de poils entrecroisés
1699		axe défini	axe defini			axe que termine une fleur
1700		axe indéfini	axe indefini			axe terminé par un bourgeon feuillé
1701		baccifère	baccifere	adj.		qui porte des baies
1702		bambusaie	bambusaie	n.f.		
1703		bipartition	bipartition	n.f.		séparation en 2 parties
1704		bogue	bogue	n.f.		ensemble de bractées soudées entourant les akènes de certaines Cupulifères
1705		brèche raméale	breche rameale	n.f.		
1706		caduciflore	caduciflore	adj.		aux fleurs précocément caduques
1707		callosité	callosite	n.f.	lat. callus, cal	excroissance en forme de cal
1708		canescent	canescent	adj.		couvert d'un tomentum abondant gris blanchâtre
1709		capsulaire-tricoque	capsulaire-tricoque	adj.		
1710		carnosité	carnosite	n.f.		des feuilles chez les plantes grasses
1711		carpellaire	carpellaire	adj.		
1712		cartilagineux	cartilagineux	adj.		ferme, + ou - épais mais souple
1713		caudicule	caudicule	n.f.	lat. cauda, queue	partie stérile d'une pollinie la rattachant à la viscidie
1714		caulescent	caulescent	adj.		pourvu d'1 tige
1715		cénocarpe	cenocarpe	n.m.	gr. koinos, commun & karpos, fruit	fruit des Magnolias
1716		cespiteux	cespiteux	adj.		croissant en touffe (plante)
1717		chagriné	chagrine	adj.		qui a l'apparence du cuir grenu
1718		chaméphyte	chamephyte	n.m.	gr. khamai, terre	
1719		chasmophyte	chasmophyte	n.f.	gr. kasma, ouverture	plante croissant dans les fentes de rochers remplis de terre
1720		chaume	chaume	n.m.	lat. camulus	tige de poaceae
1721		choripétale	choripetale	adj.		dialypétale
1722		ciliolé	ciliole	adj.		muni de cils de petite taille
1723		cirrhe	cirrhe	n.m.	lat. cirrus, filament	vrille
1724		cirrheux	cirrheux	adj.	lat. cirrus, filament	en forme de vrille = cirrhiforme
1725		cirrhifère	cirrhifere	adj.	lat. cirrus, filament	qui porte des vrilles
1726		cirrhiforme	cirrhiforme	adj.	lat. cirrus, filament	#NAME?
1727		clapet	clapet			
1728		colonne, en forme de	colonne, en forme de			
1729		concrescence	concrescence			juste avant soudure ou la soudure
1730		conelet	conelet			
1731		conjonctif, tissu	conjonctif, tissu			sert de lien entre autres tissus
1732		conniventée	conniventee			
1733		cortical	cortical	adj.		se rapporte à l'écorce ou cortex
1734		cosse	cosse	n.f.	lat. cossa	péricarpe de la gousse des Fabaceae …
1735		crassulescent	crassulescent	adj.	lat. crassula	
1736		crispé	crispe	adj.		à bords frisés; ondulé dans un plan vertical
1737		cuculle	cuculle	n.f.	lat. cuculla, capuchon de moine	
1738		cuilleron	cuilleron	n.m.		
1739		curvinervé	curvinerve	adj.		
1740		curvulés, poils	curvules, poils	adj.		
1741		cuspide	cuspide	n.f.		pointe longue, droite et raide
1742		cyclique	cyclique	adj.		fleur avec succession de verticilles concentriques de pièces alternant régulièrement d'un verticille à l'autre
1743		déhiscence denticide	dehiscence denticide	adj.		à ouverture par des dents apicales
1744		déhiscence septifrage	dehiscence septifrage	adj.		loculicide ou septicide mais graines réunies sur une colonne ou une fausse cloison en position centrale
1745		déhiscence transversale	dehiscence transversale	adj.		par une fente circulaire délimitant un petit couvercle (comme chez les pyxides)
1746		déjeté d'1 côté	dejete d'1 cote	adj.		
1747		delté	delte	adj.		en forme de triangle
1748		densiflore	densiflore	adj.		
1749		dentelé	dentele	adj.		leaf margin finely toothed
1750		denticide	denticide	adj.		cf. Déhiscence
1751		diakène	diakene	n.m.		
1752		dialycarpellé	dialycarpelle	adj.	gr. dialucin, séparer & karpos, fruit	carpelle non soudés
1753		dicoque	dicoque	n.f.	lat. concha, coquille	péricarpe lignifié de certains fruits secs
1754		dicoque	dicoque	n.m.	lat. concha, coquille	fruit schizocarpé à 2 méricarpes déhiscents
1755		divariqué	divarique	adj.		qui s'écarte + ou - horizontalement ds toutes les directions
1756		dorsiventrale	dorsiventrale	adj.		symétrie mais diff. Faces ventrale & dorsale
1757		duplicature	duplicature	n.m.		fleurs doubles ou pleines résultant d'une multiplication des verticilles des pétales …
1758		échancré	echancre	adj.		
1759		écusson	ecusson	n.m.		partie visible de l'écaille (ou carpelle) d'un cône femelle de Gymno.
1760		émergence	emergence	n.f.		production pouvant mimer une excroissance foliaire mais non vascularisée
1761		énation	enation	n.f.		excroissance sur des organe formés
1762		endoparasite	endoparasite	n.m.		parasite l'hôte à l'intérieur duquel il s'est introduit
1763		éperonné	eperonne	adj.		
1764		équienne	equienne	adj.		peuplement ligneux avec sujets du même âge
1765		équitant	equitant	adj.		se dit de pièces pliées intérieurement, les bords rapprochés de chacune étant recouverts par la supérieure
1766		érémophyte	eremophyte	n.f.pl.	gr. erêmos, solitaire, phuton, plante	
1767		ergot, en forme d'	ergot, en forme d'	n.m.		
1768		éruciforme	eruciforme	adj.		en forme de chenille
1769		érugineux	erugineux	adj.		aspect vert de gris
1770		euphylle	euphylle	n.f.	gr. eu, vrai & phyllon, feuille	véritables feuilles chez pins
1771		fécule	fecule	n.f.	lat. faecula	réserves amylacées
1772		flexueux	flexueux	adj.		courbé plusieurs fois de suite ds des directions alternantes
1773		fructifère	fructifere	adj.		porte les fruits
1774		fugace	fugace	adj.		plantes ou organes durant relativement peu de temps
1775		galbule	galbule	n.f.		cône fem. De qques Gymno. Dt les carpelles deviennent charnus & soudés … globuleux et juteux mimant fallacieusement 1 baie
1776		gaufré	gaufre	adj.		
1777		géophyte	geophyte	n.m.	gr. gê, terre, phuton, plante	
1778		gibbosité	gibbosite	n.f.	lat. gibbosus, bosse	
1779		glanduliforme, bâtonnets	glanduliforme, batonnets			
1780		glumelle	glumelle	n.f.	lat. gluma	
1781		godronné	godronne	adj.		présentant des sinuosités marquées
1782		grillagé	grillage	adj.		nervat° avec nervilles + ou - parrallèles
1783		gynandrie	gynandrie	n.f.	gr. gunê, femme, andros, mâle	
1784		gynostème	gynosteme	n.m.		
1785		habitus	habitus			port
1786		haplostémone	haplostemone	adj.		un seul verticille d'étamines présent
1787		héliophile	heliophile	adj. 		qui recherche l'ensoleillement
1788		héliophyte	heliophyte	n.f.		plante héliophile
1789		hélophyte	helophyte	n.f.		plante croissant dans les marais
1790		hémiparasite	hemiparasite	n.m.		semi parasite
1791		hirtelleux	hirtelleux	adj.		muni de poils rigides et courts
1792		hispiduleux	hispiduleux	adj.		muni de poils raides, dressés et piquants
1793		holoparasite	holoparasite	n.m.		100% parasite
1794		hygrophile	hygrophile	adj.		pour les hygrophytes
1795		hygrophyte	hygrophyte	n.f.		plante croissant dans les stations humides
