#Version: 0.1
#Glossary type: Plant
#Source: fna_gloss_final_20130517 (merged from: fnagloss_fromHong_20130517125327, fna_glo)
#Finalized by: Dr. Hong Cui
#Date: 7/29/2013
#Reviewers: Heather Cole,Dr. Hong Cui,Stephanie Kha,Sonali Ranade,Jeff Saarela,Ishan Shah
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID"
"S-shaped","shape","0","fna_gloss_final_20130517","ee90297a-b491-43ab-968d-fc3cdb96dc13"
"U-form","arrangement","0","fna_gloss_final_20130517","26c080c2-f69b-45e4-8aef-74cc0be76d16"
"V-form","arrangement","0","fna_gloss_final_20130517","58f9c182-54aa-467d-b24d-124b01256b1e"
"adelphous","architecture","0","fna_gloss_final_20130517","a1eb9a68-efdc-11e2-b45f-0026b9326338"
"androus","architecture","0","fna_gloss_final_20130517","a1ebc902-efdc-11e2-b45f-0026b9326338"
"angled","shape","0","fna_gloss_final_20130517","a2370508-2458-4df4-8c18-72e4b213fab1"
"angular","arrangement","0","fna_gloss_final_20130517","a488a571-8ed1-4ee5-bf16-0df5a10fcd97"
"branched","architecture","0","fna_gloss_final_20130517","553f7be5-e76d-4ba3-898a-3bf1f2415832"
"carpellate","architecture","0","fna_gloss_final_20130517","ca59f9ce-716d-43cb-ade5-1ab4fa25c7ec"
"carpelled","architecture","0","fna_gloss_final_20130517","a1ec633a-efdc-11e2-b45f-0026b9326338"
"celled","architecture","0","fna_gloss_final_20130517","a1ec8e14-efdc-11e2-b45f-0026b9326338"
"cellular","architecture","0","fna_gloss_final_20130517","a1ecbc22-efdc-11e2-b45f-0026b9326338"
"cephalous","architecture","0","fna_gloss_final_20130517","a1ecedaa-efdc-11e2-b45f-0026b9326338"
"ciliate","architecture","0","fna_gloss_final_20130517","39d21ec7-27dd-4523-8132-811b16ffbc2f"
"cleft","shape","0","fna_gloss_final_20130517","b2726287-2352-497f-87f0-d3761e41b1e8"
"colpate","architecture","0","fna_gloss_final_20130517","fd77aaaf-41cf-4ce9-8c20-ad9f45773e36"
"colporate","architecture","0","fna_gloss_final_20130517","490096e1-d305-4794-aad9-36df226eb085"
"crenate","shape","0","fna_gloss_final_20130517","a52e3ac4-1c76-4273-9d12-f45c894db8ae"
"cyclic","arrangement","0","fna_gloss_final_20130517","2e95cc95-0c52-428c-8aad-ce789b6b1924"
"dentate","shape","0","fna_gloss_final_20130517","894a57fc-d973-4554-8a63-12d1ef56733c"
"digitate","architecture","0","fna_gloss_final_20130517","7e90c0c8-5463-4ae6-b039-d82f64e86f25"
"faced","shape","0","fna_gloss_final_20130517","a1edc360-efdc-11e2-b45f-0026b9326338"
"floral","architecture","0","fna_gloss_final_20130517","8b3b8db2-3ea6-4c80-bf5a-b216f9de3844"
"flowered","architecture","0","fna_gloss_final_20130517","a1ee08de-efdc-11e2-b45f-0026b9326338"
"foliate","architecture","0","fna_gloss_final_20130517","a6336b0a-ff32-4185-a789-059f6cf984c1"
"foliolate","architecture","0","fna_gloss_final_20130517","a1ee5514-efdc-11e2-b45f-0026b9326338"
"fossulate","architecture","0","fna_gloss_final_20130517","3552106a-5b73-4052-9e1e-a7706244be89"
"furrowed","architecture","0","fna_gloss_final_20130517","fa01563a-3f01-46ee-8b69-f6aa77eb8129"
"gonal","shape","0","fna_gloss_final_20130517","a1eeb7ac-efdc-11e2-b45f-0026b9326338"
"gonous","shape","0","fna_gloss_final_20130517","a1eee31c-efdc-11e2-b45f-0026b9326338"
"grooved","architecture","0","fna_gloss_final_20130517","7516bbde-eb96-4dcc-916e-b61c7a14a062"
"gynous","architecture","0","fna_gloss_final_20130517","a1ef2192-efdc-11e2-b45f-0026b9326338"
"headed","architecture","0","fna_gloss_final_20130517","7cd7521b-733b-4319-9e2b-b9dbbf2ced8f"
"leafleted","architecture","0","fna_gloss_final_20130517","a1ef6634-efdc-11e2-b45f-0026b9326338"
"leaved","architecture","0","fna_gloss_final_20130517","a1ef9208-efdc-11e2-b45f-0026b9326338"
"lobate","shape","0","fna_gloss_final_20130517","ccad7b64-c4df-45e4-824e-6e8b22c4a88c"
"lobed","shape","0","fna_gloss_final_20130517","4a1ee1d9-a9c9-4720-a6b0-b213754fae89"
"locular","architecture","0","fna_gloss_final_20130517","a1efeb86-efdc-11e2-b45f-0026b9326338"
"loculed","architecture","0","fna_gloss_final_20130517","a1f0184a-efdc-11e2-b45f-0026b9326338"
"merous","architecture","0","fna_gloss_final_20130517","a1f043ba-efdc-11e2-b45f-0026b9326338"
"morphic","architecture","0","fna_gloss_final_20130517","a1f07088-efdc-11e2-b45f-0026b9326338"
"ovulate","architecture","0","fna_gloss_final_20130517","a1f09d9c-efdc-11e2-b45f-0026b9326338"
"ovuled","architecture","0","fna_gloss_final_20130517","a1f0c89e-efdc-11e2-b45f-0026b9326338"
"palmate","architecture","0","fna_gloss_final_20130517","c3cecf04-d3a4-46fb-8d75-04c656dbe15c"
"parted","shape","0","fna_gloss_final_20130517","ea433a01-fb5a-4998-b0bb-aec6a74bd21f"
"partite","shape","0","fna_gloss_final_20130517","9a28d26e-97ee-4a9c-a289-815e814640bd"
"petaled","architecture","0","fna_gloss_final_20130517","a1f155fc-efdc-11e2-b45f-0026b9326338"
"petalous","architecture","0","fna_gloss_final_20130517","a1f18680-efdc-11e2-b45f-0026b9326338"
"pinnate","architecture","0","fna_gloss_final_20130517","c8a264f9-1472-4fd6-9026-d6a74375f73b"
"pistillate","architecture","0","fna_gloss_final_20130517","c06a1642-7e98-4202-9b53-0337498efb75"
"pistilled","architecture","0","fna_gloss_final_20130517","a1f1fbce-efdc-11e2-b45f-0026b9326338"
"porate","architecture","0","fna_gloss_final_20130517","a1f226f8-efdc-11e2-b45f-0026b9326338"
"pterous","architecture","0","fna_gloss_final_20130517","a1f25434-efdc-11e2-b45f-0026b9326338"
"ranked","arrangement","0","fna_gloss_final_20130517","a490a2b6-a25b-4602-ba61-4108ee0e4730"
"sawtoothed","shape","0","fna_gloss_final_20130517","a540a4bb-ee19-4aca-b90b-f67f0bf95480"
"scalloped","shape","0","fna_gloss_final_20130517","c233f75b-d38f-4b78-852f-8d43a688d0ea"
"seeded","architecture","0","fna_gloss_final_20130517","a1f2dd50-efdc-11e2-b45f-0026b9326338"
"sepaled","architecture","0","fna_gloss_final_20130517","a1f30bf4-efdc-11e2-b45f-0026b9326338"
