# curie_map:
#   BTERM: https://w3id.org/flopo/botanical-term/
#   PO: http://purl.obolibrary.org/obo/PO_
#   PATO: http://purl.obolibrary.org/obo/PATO_
#   FLOPO: http://purl.obolibrary.org/obo/FLOPO_
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	confidence	mapping_tool	mapping_source	comment
BTERM:flopo_pato_replacements:001d89679d5bbe	deep purplish red	skos:exactMatch	PATO_0104087	deep purplish red	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:0143a466806285	succulent	skos:exactMatch	PATO_0104019	succulent	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:040b049937adb6	pendent	skos:exactMatch	PATO_0104035	pendent	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:0e5400fb86d0e5	creamy	skos:exactMatch	PATO_0104031	cream	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:2a12b7983af3c1	bristly	skos:exactMatch	PATO_0104117	bristly	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:2e8f77a222d6a6	cream	skos:exactMatch	PATO_0104031	cream	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:3190821e826a08	blue-grey	skos:exactMatch	PATO_0104305	bluish grey	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:322bd18873080e	deep purple	skos:exactMatch	PATO_0104085	deep purple	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:3309038f92ac3d	deep red	skos:exactMatch	PATO_0104189	deep red	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:3ba76158096356	purplish red	skos:exactMatch	PATO_0104311	purplish red	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:3be700950722f8	grey-green	skos:exactMatch	PATO_0104007	greyish green	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
BTERM:flopo_pato_replacements:3ff6f5bf3982f2	deep violet	skos:exactMatch	PATO_0104294	deep violet	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	pato_merged_replacement	https://github.com/pato-ontology/pato/pull/615	
