# curie_map:
#   PATO: http://purl.obolibrary.org/obo/PATO_
#   FLOPO: http://purl.obolibrary.org/obo/FLOPO_
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
#   sssom: https://w3id.org/sssom/
# mapping_set_id: http://purl.obolibrary.org/obo/flopo/mappings/flopo-colour-backbone.sssom.tsv
# mapping_set_description: Mappings of PATO colour classes and superseded FLOPO colour classes onto the FLOPO ISCC-NBS colour backbone (curator decision 2026-09-18). The predicate follows the OBO scope of the word: EXACT -> skos:exactMatch (skos:closeMatch when the source class is not ISCC-NBS defined), NARROW -> skos:broadMatch, RELATED -> skos:relatedMatch. The 27 reused PATO classes are backbone classes themselves and are not listed.
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_date: 2026-09-18
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	subject_source	synonym_scope	match_kind	flags	comment
PATO:0000317	black	skos:closeMatch	FLOPO:0988011	black	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'black' (level 1).
PATO:0000318	blue	skos:closeMatch	FLOPO:0988007	blue	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal	level_homonym	Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'blue' (level 1).
PATO:0000319	cyan	skos:relatedMatch	FLOPO:0988006	green	semapv:ManualMappingCuration	0.7	PATO	RELATED	vernacular	no_botanical_source_tier_other|crosses_level1	Documented senses span ISCC-NBS block(s) 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 across level-1 categories blue, green; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. Unevidenced by a colour dictionary; curator review. Sense tier used: other (1 sense(s)); all sources give blocks 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175.
PATO:0000320	green	skos:closeMatch	FLOPO:0988006	green	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal	level_homonym	Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'green' (level 1).
PATO:0000321	magenta	skos:relatedMatch	FLOPO:0988001	red	semapv:ManualMappingCuration	0.7	PATO	RELATED	vernacular	crosses_level1	Documented senses span ISCC-NBS block(s) 237 254 across level-1 categories purple, red; no backbone class below color covers all senses, so the word is a RELATED synonym of the majority/fallback level-1 class. line number approximate (entry not cleanly matched in layout OCR); txt line OCR-garbled (source/blocks read from PDF page image); PDF p.160 Sense tier used: botanical (2 sense(s)); all sources give blocks 205 218 237 242 254 255 256 258 259 262.
PATO:0000322	red	skos:closeMatch	FLOPO:0988001	red	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal	level_homonym	Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'red' (level 1).
PATO:0000323	white	skos:closeMatch	FLOPO:0988009	white	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'white' (level 1).
PATO:0000324	yellow	skos:closeMatch	FLOPO:0988004	yellow	semapv:LexicalMatching	0.95	PATO	EXACT	iscc_literal	level_homonym	Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Literal ISCC-NBS name 'yellow' (level 1).
PATO:0000336	colored	sssom:NoTermFound	sssom:NoTermFound		semapv:ManualMappingCuration		PATO		unresolved		
PATO:0000950	grey	skos:closeMatch	FLOPO:0988010	gray	semapv:LexicalMatching	0.9	PATO	EXACT	iscc_variant		Label is an ISCC-NBS name but the PATO definition is not Munsell/ISCC-NBS based: closeMatch at class level; the word itself is an EXACT synonym. Spelling/hyphenation variant of the ISCC-NBS name 'gray'.
