# curie_map:
#   FLOPO: http://purl.obolibrary.org/obo/FLOPO_
#   TO: http://purl.obolibrary.org/obo/TO_
#   OBA: http://purl.obolibrary.org/obo/OBA_
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	mapping_tool	comment
FLOPO_0000228	inflorescence length	skos:exactMatch	TO:0000271	inflorescence length	semapv:LexicalMatching	1.0	flopo2.owl.sssom	Exact normalized label match against TO.
FLOPO_0000314	seed length	skos:exactMatch	TO:0000146	seed length	semapv:LexicalMatching	1.0	flopo2.owl.sssom	Exact normalized label match against TO.
FLOPO_0001366	fruit length	skos:exactMatch	TO:0002626	fruit length	semapv:LexicalMatching	1.0	flopo2.owl.sssom	Exact normalized label match against TO.
FLOPO_0001537	anther length	skos:exactMatch	TO:0000531	anther length	semapv:LexicalMatching	1.0	flopo2.owl.sssom	Exact normalized label match against TO.
FLOPO_0001542	pedicel length	skos:exactMatch	TO:0000630	pedicel length	semapv:LexicalMatching	1.0	flopo2.owl.sssom	Exact normalized label match against TO.
FLOPO_0001795	petiole length	skos:exactMatch	TO:0000766	petiole length	semapv:LexicalMatching	1.0	flopo2.owl.sssom	Exact normalized label match against TO.
FLOPO_0002892	petiolule length	skos:exactMatch	TO:0000887	petiolule length	semapv:LexicalMatching	1.0	flopo2.owl.sssom	Exact normalized label match against TO.
FLOPO_0003344	peduncle length	skos:exactMatch	TO:0002691	peduncle length	semapv:LexicalMatching	1.0	flopo2.owl.sssom	Exact normalized label match against TO.
FLOPO_0003464	sepal length	skos:exactMatch	TO:0002607	sepal length	semapv:LexicalMatching	1.0	flopo2.owl.sssom	Exact normalized label match against TO.
FLOPO_0013381	seed width	skos:exactMatch	TO:0000149	seed width	semapv:LexicalMatching	1.0	flopo2.owl.sssom	Exact normalized label match against TO.
FLOPO_0015921	fruit width	skos:exactMatch	TO:0002627	fruit width	semapv:LexicalMatching	1.0	flopo2.owl.sssom	Exact normalized label match against TO.
FLOPO_0019252	sepal width	skos:exactMatch	TO:0002608	sepal width	semapv:LexicalMatching	1.0	flopo2.owl.sssom	Exact normalized label match against TO.
FLOPO_0024014	leaf lamina length	skos:exactMatch	TO:0002690	leaf lamina length	semapv:LexicalMatching	1.0	flopo2.owl.sssom	Exact normalized label match against TO.
