flopo_id	flopo_iri	label	definition	parent_pato_ids	parent_pato_labels	frequency	quality_contexts	examples	candidate_id	axiom_type	logical_target_ids	sources
FLOPO_0980085	http://purl.obolibrary.org/obo/FLOPO_0980085	greenish	A botanical color in which green is the predominant color and an unspecified other color is present as a minor component.	PATO_0000014	color	24	flower color (22)|stem color (1)|petal color (1)	Alternanthera pungens: tiny greenish flowers || Amaranthus graecizans: greenish or pinkish flowers || Amaranthus spinosus: tiny greenish flowers || An erect slender narrow-leaved branching: tiny greenish flowers 2 mm wide	FLOPO_VALUE_greenish	subclass		https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf
FLOPO_0980086	http://purl.obolibrary.org/obo/FLOPO_0980086	reddish	A botanical color in which red is the predominant color and an unspecified other color is present as a minor component.	PATO_0000014	color	21	flower color (5)|stem color (4)|leaf color (2)|fruit color (2)|calyx color (2)	Allophylus rubifolius: some of them reddish coloured || Ammannia baccifera: tiny round reddish fruits || Asphodelus refractus: a reddish line down the centre of each tepal || Asphodelus refractus: stems are reddish	FLOPO_VALUE_reddish	subclass		https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf
FLOPO_0980087	http://purl.obolibrary.org/obo/FLOPO_0980087	pale lilac	A botanical phenotype value denoting pale lilac, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): lilac.	PATO_0001943	lilac	18	flower color (18)	An erect bushy leafy shrublet: pale lilac flowers || An erect woody shrublet: pale lilac flowers || Aptosimum pumilum: pale lilac flowers || Astragalus tribuloides var. minutus: pale lilac flowers	FLOPO_VALUE_pale_lilac	subclass	PATO_0001943	""
FLOPO_0980089	http://purl.obolibrary.org/obo/FLOPO_0980089	greyish	A botanical color in which grey is the predominant color and an unspecified other color is present as a minor component.	PATO_0000014	color	13	leaf color (9)|stem color (4)	An erect many-stemmed: downy greyish leaves || Bassia eriophora: small greyish leaves || Bupieriiy glosierifers: greyish leaves || Euphorbia schimperi: greyish stems	FLOPO_VALUE_greyish	subclass		https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf
FLOPO_0980091	http://purl.obolibrary.org/obo/FLOPO_0980091	rosy-lilac	A composite botanical phenotype value denoting rosy-lilac, used in flora descriptions; its component qualities are rosy, pink, red, lilac.	PATO_0000001	quality	12	flower color (12)	An erect herb branching from the base with: deep rosy-lilac flowers || Astragalus abyssinicus ssp. abyssinicus: rosy-lilac || Commicarpus grandiflorus: rosy-lilac flowers || Dolichos trilobus: rosy-lilac flowers	FLOPO_VALUE_rosy_lilac	components	PATO_0001425|PATO_0000954|PATO_0000322|PATO_0001943	""
FLOPO_0980092	http://purl.obolibrary.org/obo/FLOPO_0980092	silvery	A botanical phenotype value denoting silvery, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): grey.	PATO_0000950	grey	11	leaf color (10)|stem color (1)	Argyrolobium confertum: silvery leaves || Astragalus schimperi: leaves are sometimes narrow and silvery || Astragalus trachoniticus: silvery leaves || Crotalaria quartiniana: silvery stems	FLOPO_VALUE_silvery	subclass	PATO_0000950	""
FLOPO_0980094	http://purl.obolibrary.org/obo/FLOPO_0980094	yellowish	A botanical color in which yellow is the predominant color and an unspecified other color is present as a minor component.	PATO_0000014	color	10	flower color (6)|bark color (1)|fruit color (1)|stem color (1)|leaf color (1)	Acacia seyal: yellowish peeling bark || Alyssum linifolium: tiny yellowish ovate flat fruits || Euphorbia hirta: yellowish flowers || Heliotropium rariflorum: very brittle yellowish stems	FLOPO_VALUE_yellowish	subclass		https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf
FLOPO_0980095	http://purl.obolibrary.org/obo/FLOPO_0980095	long narrow	A composite botanical phenotype value denoting long narrow, used in flora descriptions; its component qualities are elongated, decreased width.	PATO_0000001	quality	10	fruit shape (4)|leaf shape (4)|leaflet shape (1)|calyx shape (1)	Acacia seyal: long narrow pods || Ammannia baccifera: usually alternate long narrow leaves || Cyamopsis senegalensis: long narrow leaflets || Erucastrum arabicum: long narrow fruits	FLOPO_VALUE_long_narrow	components	PATO_0001154|PATO_0000599	""
FLOPO_0980097	http://purl.obolibrary.org/obo/FLOPO_0980097	pinkish	A botanical color in which pink is the predominant color and an unspecified other color is present as a minor component.	PATO_0000014	color	9	flower color (6)|bud color (1)|stamen color (1)|stem color (1)	Amaranthus graecizans: greenish or pinkish flowers || Dracaena serrulata: many tiny pinkish buds || Morettia canescens: pinkish flowers 2 cm wide || Phagnalon sp. aff. scalarum: pinkish flowers	FLOPO_VALUE_pinkish	subclass		https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf
FLOPO_0980098	http://purl.obolibrary.org/obo/FLOPO_0980098	creamy-white	A composite botanical phenotype value denoting creamy-white, used in flora descriptions; its component qualities are white, yellow.	PATO_0000001	quality	9	flower color (9)	Asystasia gangetica: creamy-white flowers 1.2 cm wide || Cordia sinensis: creamy-white flowers || Hippocrepis sp. aff. ciliata: creamy-white flowers || Hochstettera schimperi: creamy-white flowers	FLOPO_VALUE_creamy_white	components	PATO_0000323|PATO_0000324	""
FLOPO_0980100	http://purl.obolibrary.org/obo/FLOPO_0980100	purplish	A botanical color in which purple is the predominant color and an unspecified other color is present as a minor component.	PATO_0000014	color	7	flower color (3)|fruit color (3)|stem color (1)	Allium pseudocalyptratum: small purplish flowers || Bupleurum gerardii: purplish fleshy flowers || Dodonaea viscosa: green and purplish flowers || Euphorbia inarticulata: small purplish erect fruits	FLOPO_VALUE_purplish	subclass		https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf
FLOPO_0980101	http://purl.obolibrary.org/obo/FLOPO_0980101	pale greenish	A botanical phenotype value denoting pale greenish, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): green.	PATO_0000320	green	7	flower color (7)	An erect slender-stemmed branching leafy: pale greenish flowers || Cissus rotundifolius: pale greenish flowers || Dichrocephala chrysanthemifolia: pale greenish flowers || Pentatropis spiralis: pale greenish flowers	FLOPO_VALUE_pale_greenish	subclass	PATO_0000320	""
FLOPO_0980104	http://purl.obolibrary.org/obo/FLOPO_0980104	pure white	A botanical phenotype value denoting pure white, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): white.	PATO_0000323	white	6	flower color (6)	Acacia abyssinica: pure white flowers || Barleria sp. aff. parviflora: pure white flowers || Crossandra wissmannii: opening pure white || Iris albicans: pure white flowers	FLOPO_VALUE_pure_white	subclass	PATO_0000323	""
FLOPO_0980105	http://purl.obolibrary.org/obo/FLOPO_0980105	scarlet	A botanical phenotype value denoting scarlet, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): red.	PATO_0000322	red	6	flower color (4)|anther color (1)|leaf color (1)	Indigofera hochstetteri: scarlet flowers || Indigofera sp. aff. trita: scarlet flowers || Lotus corniculatus: flushed with scarlet || Papaver dubium sensu lato: scarlet flowers 4 cm wide	FLOPO_VALUE_scarlet	subclass	PATO_0000322	""
FLOPO_0980106	http://purl.obolibrary.org/obo/FLOPO_0980106	crimson	A botanical phenotype value denoting crimson, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): red.	PATO_0000322	red	6	flower color (2)|leaf color (1)|anther color (1)|petal color (1)|filament color (1)	Kalanchoe sp. aff. glaucescens: green leaves edged with crimson || Myrsine africana: tiny crowded crimson bud-like flowers 1 mm wide || Salsola volkensii: flowers reduced to crimson anthers || Tapinanthus globiferus: aging crimson	FLOPO_VALUE_crimson	subclass	PATO_0000322	""
FLOPO_0980107	http://purl.obolibrary.org/obo/FLOPO_0980107	palmate	A botanical phenotype value denoting palmate, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): shape.	PATO_0000052	shape	5	leaf shape (5)	Althaea ludwigii: deeply lobed palmate leaves || Cienfuegosia welshii: dark green palmate leaves || Corallocarpus epigeus: deeply lobed palmate leaves || Croton lobatus: large deeply lobed palmate leaves	FLOPO_VALUE_palmate	subclass	PATO_0000052	""
FLOPO_0980108	http://purl.obolibrary.org/obo/FLOPO_0980108	deep rosy-lilac	A composite botanical phenotype value denoting deep rosy-lilac, used in flora descriptions; its component qualities are lilac, rosy, pink, red.	PATO_0000001	quality	5	flower color (5)	An erect herb branching from the base with: deep rosy-lilac flowers || Endostemon gracile: deep rosy-lilac flowers || Endostemon tenuiflorus: deep rosy-lilac flowers || Fagonia glutinosa: deep rosy-lilac flowers	FLOPO_VALUE_deep_rosy_lilac	components	PATO_0001943|PATO_0001425|PATO_0000954|PATO_0000322	""
FLOPO_0980109	http://purl.obolibrary.org/obo/FLOPO_0980109	bright scarlet	A botanical phenotype value denoting bright scarlet, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): red.	PATO_0000322	red	5	flower color (3)|fruit color (2)	An erect woody shrublet: bright scarlet fruits || Euphorbia sp. aff. ammak: bright scarlet fruits || Indigofera arabica: bright scarlet flowers || Plicosepalus acaciae: aging bright scarlet	FLOPO_VALUE_bright_scarlet	subclass	PATO_0000322	""
FLOPO_0980110	http://purl.obolibrary.org/obo/FLOPO_0980110	flushed with pink	A botanical phenotype value denoting flushed with pink, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): pink.	PATO_0000954	pink	5	flower color (4)|petal color (1)	Astragalus spinosus: occasionally flushed with pink || Convolvulus arvensis: flushed with pink || Jasminum grandiflorum var. floribundum: flushed with pink behind the petals || Lonicera etrusca: flushed with pink	FLOPO_VALUE_flushed_with_pink	subclass	PATO_0000954	""
FLOPO_0980111	http://purl.obolibrary.org/obo/FLOPO_0980111	deep lilac	A botanical phenotype value denoting deep lilac, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): lilac.	PATO_0001943	lilac	5	flower color (4)|bract color (1)	Astragalus vogelii: deep lilac flowers || Cakile arabica: deep lilac flowers || Horwoodia dicksoniae: deep lilac flowers wide || Lavandula dentata: deep lilac bracts	FLOPO_VALUE_deep_lilac	subclass	PATO_0001943	""
FLOPO_0980112	http://purl.obolibrary.org/obo/FLOPO_0980112	bluish	A botanical color in which blue is the predominant color and an unspecified other color is present as a minor component.	PATO_0000014	color	5	leaf color (3)|stamen color (1)|banner petal color (1)	Chrozophora tinctoria: bluish leaves || Hochstettera schimperi: prominent bluish stamens || Macrotyloma axillare var. axillare: standard with a bluish blotch || Nitraria retusa: leathery bluish leaves	FLOPO_VALUE_bluish	subclass		https://www.upov.int/documents/d/upov/tgp-documents-en-tgp_14.pdf
FLOPO_0980113	http://purl.obolibrary.org/obo/FLOPO_0980113	lilac-blue	A composite botanical phenotype value denoting lilac-blue, used in flora descriptions; its component qualities are lilac, blue.	PATO_0000001	quality	5	flower color (5)	Echium longifolium: age lilac-blue || Ixiolirion tataricum: tubular lilac-blue flowers || Nepeta deflersiana: lilac-blue flowers || Plectranthus tenuiflorus: lilac-blue flowers	FLOPO_VALUE_lilac_blue	components	PATO_0001943|PATO_0000318	""
FLOPO_0980116	http://purl.obolibrary.org/obo/FLOPO_0980116	deep crimson	A botanical phenotype value denoting deep crimson, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): red.	PATO_0000322	red	4	flower color (4)	Caralluma shadhbana var. barhana: deep crimson glabrous flowers || Paracaryum cf. rugulosum: deep crimson flowers || Scrophularia hypericifolia: deep crimson and white flowers || Teucrium yemense: deep crimson flowers	FLOPO_VALUE_deep_crimson	subclass	PATO_0000322	""
